"Profit and emission database, by Robert Höglund www.marginalcarbon.com. CC BY 4.0. Economic data from Forbes Global 2000 List (2021 version with 2020 data). Emission data (for 2020) manually collected (so will likely contain smaller mistakes!) You can make your own filter view and sort the document by clicking Data > Filterview > New temporary filter view",,2 019,2020 data,,,,"185,000,000","185,000,000",,,,,,,,,,,,,,,
2021 Global Rank Forbes 2000,Company Name,Industry,Country/Territory,Scope 1 GHG emissions tons CO₂e,Scope 2 emissions tons CO₂e,Scope 3 emissions tons CO₂e,Scope 1 GHG emissions tons CO₂e,Scope 2 emissions tons CO₂e (location based when available),Scope 1+2,Scope 3 emissions tons CO₂e,Scope 1-3 emissions,Profit per ton in Scope 1+2,Profit per ton in Scope 1+2+3,Share of profit if carbon price for Scope 1-2 is 100 USD,Share of profit if carbon price X for Scope 3,Combined share of profits,Share of Revenue (Sales) Scope 1+2 if carbon price 100 USD,Share of Revenue (sales) Scope 1+2+3 if carbon price 100 USD,CO2 intensity gram CO2/USD. (Scope 1-3/Revenue),1% of profit means,"Datasource emission data (name, link + page nr)",Sales/Revenue,Profit
95,American Express,Diversified Financials,United States,24363,117117,51679,19620,92488,112108,5933,118041,"$27,741 ","$26,347 ","0,6669%","0,70%",13691%,"0,0543%","0,06%",3,"$263,47","AXP-2020-2021-ESG-Report, page 63 https://s1.q4cdn.com/692158879/files/doc_downloads/2021/09/AXP-2020-2021-ESG-Report.pdf","$38200000000,00","$3110000000,00"
97,GlaxoSmithKline,Drugs & Biotechnology,United Kingdom,795000,522000,14620000,773000,507000,1280000,--,,"$5,758 ",,32130%,#VALUE!,,"0,5419%",#VALUE!,"0,000000000",,"Esg-performance-summary-2020, Page 9 and 10 https://www.gsk.com/media/6636/esg-performance-summary-2020.pdf","$43700000000,00","$7370000000,00"
100,China State Construction Engineering,Construction,China,75482,5496,36628,56502,3846,60348,7002,67350,"$101,743 ","$91,166 ","0,1818%","0,20%","0,3848%","0,0052%","0,01%",0,"$911,66","sus_2019, page 57 https://www.cscechk.com/pdf/sus_2019_en.pdf ; sus_2020, page 70 https://www.cscechk.com/pdf/sus_2020_en.pdf","$215300000000,00","$6140000000,00"
102,Coca-Cola,"Food, Drink & Tobacco",United States,253215,6670,3926411,196919,144011,340930,3144035,3484965,"$22,732 ","$2,224 ","0,8138%","8,32%",91328%,"0,1911%","1,95%",106,"$22,24","2020-Corporate-data, page 5 https://www.cocacolaep.com/assets/Sustainability/Documents/1345c2f33c/2020-Corporate-data-tables-v2.pdf","$33000000000,00","$7750000000,00"
103,Iberdrola,Utilities,Spain,5782303,2081745,54278199,12971710,1882654,14854364,57851881,72706245,$277 ,$57 ,667004%,"326,47%",3931726%,"7,27%","35,58%",1923,"$0,57","Statement of Non-Financial Information - Sustainability Report, page 75,79,266 https://www.iberdrola.com/documents/20125/42388/IB_Sustainability_Report.pdf","$37800000000,00","$4120000000,00"
105,Prudential,Insurance,United Kingdom,7332,97992,6248,5637,43120,48757,2164,50921,"$43,071 ","$41,240 ","0,4295%","0,45%","0,8781%","0,0165%","0,02%",1,"$412,40","esg-report-2020, page 49 https://www.prudentialplc.com/~/media/Files/P/Prudential-V3/reports/2020/esg-report-2020.pdf","$54800000000,00","$2100000000,00"
106,KDDI,Telecommunications Services,Japan,6581,1041559,6458524,5709,1050417,1056126,5390054,6446180,"$5,833 ",$956 ,31718%,"19,36%",225313%,"0,3963%","2,42%",131,"$9,56","Report2021, page 43 https://www.kddi.com/extlib/files/english/corporate/csr/csr_report/2021/pdf/report2021_en.pdf","$49300000000,00","$6160000000,00"
107,Bank of Montreal,Banking,Canada,45672,90457,25637,31621,62661,94282,8454,102736,"$43,699 ","$40,103 ","0,4234%","0,46%","0,8847%","0,0712%","0,08%",4,"$401,03","2021 Climate Report, Page 28 https://our-impact.bmo.com/wp-content/uploads/2022/03/BMO_2021_Climate-Report_EN_FINAL.pdf","$24500000000,00","$4120000000,00"
109,Itaú Unibanco Holding,Banking,Brazil,13502,43738,156364,15121,34933,50054,78618,128672,"$73,121 ","$28,444 ","0,2530%","0,65%","0,9034%","0,0249%","0,06%",3,"$284,44","Itau Unibanco ESG Report 2020, page 94 https://www.itau.com.br/relacoes-com-investidores/annual-report/2020/pdf/ESG-Report-2020-Itau-Unibanco.pdf","$37200000000,00","$3660000000,00"
110,State Bank of India,Banking,India,418,1163367,181822,390,1066386,1066776,192459,1259235,"$2,934 ","$2,486 ",63052%,"7,44%",137480%,"0,3900%","0,46%",25,"$24,86","Sustainability Report 2020-21, page 24 https://sbi.co.in/documents/17826/24401/140621-Sustainability+Report%28SR%29+year+2020-21.pdf/ba271367-9542-e96a-0589-2968954b2e17?t=1623659643326","$50600000000,00","$3130000000,00"
111,Chubb,Insurance,Switzerland,26332,--,42520,16313,35388,51701,--,,"$68,277 ",,"0,2710%",#VALUE!,,"0,0265%",#VALUE!,,,"2019, page 15 https://www.chubb.com/content/dam/annual-corporate-governance/Chubb%202020%20Environmental%20Report.pdf ; 2020, page 9 https://www.chubb.com/content/dam/chubb-sites/chubb-com/us-en/about-chubb/environment/doc/Chubb_2021_Climate-Related_Financial_Disclosure_and_Environmental_Report.pdf","$36100000000,00","$3530000000,00"
112,Mitsubishi,Trading Companies,Japan,110000,416000,35429,79000,289000,368000,20286000,20654000,"$8,424 ",$150 ,21961%,"123,26%",1254539%,"0,0583%","3,27%",177,"$1,50","sustainability2021, page 111 https://www.mitsubishi-motors.com/en/sustainability/pdf/report-2021/sustainability2021.pdf?201214","$116700000000,00","$3100000000,00"
113,Vale,Materials,Brazil,11300000,800000,562900000,9600000,600000,10200000,480500000,490700000,$508 ,$11 ,364286%,"1752,50%",17889286%,"4,67%","224,70%",12146,"$0,11","Sustainability Reports 2020, page 109 https://api.mziq.com/mzfilemanager/v2/d/53207d1c-63b4-48f1-96b7-19869fae19fe/598acdd8-0879-4396-baf7-9d7b25c3bbb0?origin=1","$40400000000,00","$5180000000,00"
114,Capital One,Business Services & Supplies,United States,9495,146671,382461,6620,118105,124725,378752,503477,"$21,407 ","$5,303 ","0,8642%","3,49%",43527%,"0,0730%","0,29%",16,"$53,03","Environmental, Social and Governance Fact Sheet, page 5 https://investor.capitalone.com/static-files/5e126c92-c312-4512-b799-d57e31b14810","$31600000000,00","$2670000000,00"
115,PNC Financial Services,Banking,United States,30286,181932,68137,23767,146807,170574,16467,187041,"$49,304 ","$44,963 ","0,3752%","0,41%","0,7867%","0,1814%","0,20%",11,"$449,63","2020 CR Report, page 20 https://www.pnc.com/content/dam/pnc-com/pdf/aboutpnc/CorporateResponsibilityReports/PNC_Corporate_Responsibility_Report_2020.pdf","$17400000000,00","$8410000000,00"
116,HDFC Bank,Banking,India,7000,449700,15700,7700,390100,397800,16400,414200,"$10,407 ","$9,995 ",17776%,"1,85%",36285%,"0,3555%","0,37%",20,"$99,95","Enviornmentalstewardship, page 1 https://v1.hdfcbank.com/htdocs/common/2020/July/AR/hdfc-AR/pdf/Enviornmentalstewardship.pdf","$20700000000,00","$4140000000,00"
117,Itochu,Trading Companies,Japan,1213000,771000,--,1202000,835000,2037000,--,,"$2,018 ",,91690%,#VALUE!,,"0,3901%",#VALUE!,,,"ESG Report 2021, page 49 https://www.itochu.co.jp/en/csr/pdf/21fulle-all.pdf","$96600000000,00","$4110000000,00"
119,FedEx,Transportation,United States,15406173,995988,3099293,15235320,948280,16183600,3230571,19414171,$187 ,$156 ,991379%,"118,93%",2180658%,"3,80%","4,56%",247,"$1,56","FedEx 2021 ESG Report, page 33 https://www.fedex.com/content/dam/fedex/us-united-states/sustainability/gcrs/FedEx_2021_ESG_Report.pdf","$78700000000,00","$3020000000,00"
120,Vodafone,Telecommunications Services,United Kingdom,260000,1880000,10700000,280000,1670000,1950000,9500000,11450000,"$1,451 ",$247 ,127473%,"74,85%",875972%,"0,7259%","4,26%",230,"$2,47","Vodafone_Annual Report 2021, page 7 and 34 ; https://investors.vodafone.com/sites/vodafone-ir/files/2021-05/vodafone-annual-report-2021.pdf","$49700000000,00","$2830000000,00"
121,Abbott Laboratories,Health Care Equipment & Services,United States,543000,917000,--,500000,480000,980000,--,,"$4,541 ",,40742%,#VALUE!,,"0,5240%",#VALUE!,,,"Global Sustainability Report 2020, page 134 https://dam.abbott.com/en-us/documents/pdfs/abbott-citizenship/Abbott-2020-Global-Sustainability-Report.pdf","$34600000000,00","$4450000000,00"
122,Visa,Business Services & Supplies,United States,9920,56217,--,4170,9730,13900,400000,413900,"$745,324 ","$25,030 ","0,0248%","0,74%","0,7639%","0,0120%","0,36%",,"$250,30","2020 Environmental, Social & Governance Report, page 37 https://usa.visa.com/content/dam/VCOM/global/about-visa/documents/visa-2020-esg-report.pdf","$21500000000,00","$10360000000,00"
126,Lowe's,Retailing,United States,485000,1624000,--,541000,1430000,1971000,--,,"$2,948 ",,62760%,#VALUE!,,"0,4070%",#VALUE!,,,"2020 CORPORATE RESPONSIBILITY REPORT, page 42 https://corporate.lowes.com/sites/lowes-corp/files/CSR-reports/Lowes_2020CSR__FINAL_ADA.pdf","$89600000000,00","$5810000000,00"
127,BlackRock,Diversified Financials,United States,6160,28531,344201,3278,19363,22641,400902,423543,"$234,972 ","$12,561 ","0,0787%","1,47%",15516%,"0,0231%","0,43%",23,"$125,61","BlackRock 2021 TCFD Report, Page 37 https://www.blackrock.com/corporate/literature/continuous-disclosure-and-important-information/tcfd-report-2021-blkinc.pdf","$18100000000,00","$5320000000,00"
129,Mizuho Financial,Banking,Japan,14756,168522,5396,13999,156877,170876,1375,172251,"$21,887 ","$21,713 ","0,8452%","0,85%",16973%,"0,1043%","0,11%",6,"$217,13","Sustainability, page 104 https://www.mizuhogroup.com/binaries/content/assets/pdf/mizuhoglobal/investors/financial-information/annual/2021-integrated-report/data2103_all.pdf","$30300000000,00","$3740000000,00"
130,Deutsche Post,Transportation,Germany,6270000,210000,26720000,6590000,190000,6780000,26860000,33640000,$501 ,$101 ,368912%,"183,04%",2199324%,"1,65%","8,17%",441,"$1,01","2021 ESG Presentation – ESG, Page 21 https://www.dpdhl.com/content/dam/dpdhl/en/media-center/investors/documents/presentations/2021/DPDHL-ESG-Presentation-2021.pdf","$76200000000,00","$3400000000,00"
131,Medtronic,Health Care Equipment & Services,Ireland,62900,225800,--,61800,218700,280500,-,,"$10,303 ",,17956%,#VALUE!,,"0,1860%",#VALUE!,,,"2021-integrated-report, page 31 https://www.medtronic.com/content/dam/medtronic-wide/public/brand-corporate-assets/resources/2021-integrated-report_corpmark_mdt.pdf","$27900000000,00","$2890000000,00"
132,Caterpillar,Capital Goods,United States,905000,1795000,--,700000,830000,1530000,--,,"$1,961 ",,94350%,#VALUE!,,"0,6788%",#VALUE!,,,"2020_Caterpillar_Sustainability_Report, page 37 https://reports.caterpillar.com/sr/2020_Caterpillar_Sustainability_Report.pdf?_ga=2.210168981.1422333215.1647099327-1842983810.1647099327","$41700000000,00","$3000000000,00"
136,Target,Retailing,United States,752552,3226580,55787000,699877,1492000,2191877,64789000,66980877,"$1,994 ",$65 ,92791%,"283,56%",2928366%,"0,4332%","13,24%",716,"$0,65","2021 Target Corporate Responsibility Report, page 80 and 81 https://corporate.target.com/_media/TargetCorp/Sustainability-ESG/PDF/2021_Target_Corporate-Responsibility-Report.pdf","$93600000000,00","$4370000000,00"
137,Deere & Company,Capital Goods,United States,388500,588700,--,343500,497000,840500,--,,"$4,117 ",,44940%,#VALUE!,,"0,4203%",#VALUE!,,,"sustainability-report-2021, page 64 https://www.deere.com/assets/pdfs/common/our-company/sustainability/sustainability-report-2021.pdf","$37000000000,00","$3460000000,00"
138,Honeywell International,Conglomerates,United States,1384849,951982,--,1387727,860579,2248306,--,,"$2,126 ",,87016%,#VALUE!,,12759%,#VALUE!,,,"Corporate Citizenship Report 2021, page 57 https://www.honeywell.com/content/dam/honeywellbt/en/documents/downloads/Hon-Corporate-Citizenship-Report.pdf","$32600000000,00","$4780000000,00"
140,Country Garden Holdings,Construction,China,23638,526767,--,17879,316353,334232,--,,"$15,229 ",,12148%,#VALUE!,,"0,0919%",#VALUE!,,,"2020 SUSTAINABILITY REPORT, page 109 https://www.bgy.com.cn/upload/file/2021-06-28/aec49441-f3a3-4c5a-98db-b97fc045ad0c.pdf","$67300000000,00","$5090000000,00"
143,Barclays,Banking,United Kingdom,24276,185743,68137,21512,148658,170170,19134,189304,"$11,518 ","$10,354 ",16062%,"1,79%",33930%,"0,1128%","0,13%",7,"$103,54","2019, page 40 https://home.barclays/content/dam/home-barclays/documents/citizenship/ESG/Barclays-PLC-ESG-Report-2019.pdf ; 2020, page 160 https://home.barclays/content/dam/home-barclays/documents/investor-relations/reports-and-events/annual-reports/2021/Barclays-PLC-Annual-Report-2021.pdf","$27900000000,00","$1960000000,00"
145,Munich Re,Insurance,Germany,44023,91039,27144,44105,51933,96038,6890,102928,"$14,369 ","$13,407 ",12875%,"1,38%",26673%,"0,0240%","0,03%",1,"$134,07","CR-Report-2020, page 94 https://www.munichre.com/content/dam/munichre/contentlounge/website-pieces/documents/CR-Report-2020.pdf/_jcr_content/renditions/original./CR-Report-2020.pdf","$73900000000,00","$1380000000,00"
146,Enbridge,Oil & Gas Operations,Canada,6962000,6489000,50902600,6853000,5827000,12680000,47477400,60157400,$198 ,$42 ,934582%,"443,39%",5368494%,"8,32%","39,46%",2133,"$0,42","Enbridge 2020 Sustainability Report, page 25 https://www.enbridge.com/~/media/Enb/Documents/Reports/Sustainability%20Report%202020/Enbridge_SR_2020.pdf","$28200000000,00","$2510000000,00"
148,China Minsheng Bank,Banking,China,10177,77185,--,9829,69937,79766,--,,"$61,555 ",,"0,3005%",#VALUE!,,"0,0301%",#VALUE!,,,"2019, page 33 file:///C:/Users/muham/Downloads/2019%20ESG%20REPORT.pdf ; 2020, page 31 file:///C:/Users/muham/Downloads/%E6%B0%91%E7%94%9F%E9%93%B6%E8%A1%8C2020%E5%B9%B4%E5%BA%A6ESG%E6%8A%A5%E5%91%8A%E7%BB%88%E7%A8%BF%EF%BC%88%E8%8B%B1%E6%96%87%E7%89%88%EF%BC%89.pdf","$49000000000,00","$4910000000,00"
149,Linde,Chemicals,United Kingdom,16461000,22250000,15412000,16247000,20969000,37216000,14403000,51619000,$67 ,$48 ,2753984%,"381,98%",6573790%,"25,31%","35,11%",1898,"$0,48","sustainable-development-report, page 62 https://www.linde.com/-/media/linde/merger/documents/sustainable-development/2020/sustainable-development-report.pdf","$27200000000,00","$2500000000,00"
150,Amgen,Drugs & Biotechnology,United States,98105,174000,3057260,117947,149914,267861,2895330,3163191,"$27,104 ","$2,295 ","0,6826%","8,06%",87430%,"0,1966%","2,32%",126,"$22,95","2019_summary_of_data, page 16 https://www.amgen.com/responsibility/reporting-and-metrics/-/media/Themes/CorporateAffairs/amgen-com/amgen-com/downloads/responsibility-report/2019_summary_of_data.pdf ; 2020, page 15 https://www.amgen.com/responsibility/reporting-and-metrics/-/media/Themes/CorporateAffairs/amgen-com/amgen-com/downloads/responsibility-report/2020_summary_of_data.pdf","$25200000000,00","$7260000000,00"
151,Allstate,Insurance,United States,39200,161100,8900,20849,77818,98667,7800,106467,"$56,453 ","$52,317 ","0,3277%","0,35%","0,6813%","0,0407%","0,04%",2,"$523,17","Allstate_ESGDataDownload2020, page 1 https://www.allstatesustainability.com/content/documents/Allstate_ESGDataDownload2020.pdf?v2021-08-06","$44800000000,00","$5570000000,00"
152,PayPal,Business Services & Supplies,United States,6500,46600,59600,3000,22100,25100,13600,38700,"$167,331 ","$108,527 ","0,1106%","0,17%","0,2810%","0,0217%","0,03%",2,"$1085,27","PayPal-2020-Global-Impact-Report, page 48 https://s26.q4cdn.com/519805829/files/doc_downloads/PayPal-2020-Global-Impact-Report-update.pdf","$21400000000,00","$4200000000,00"
153,Orange,Telecommunications Services,France,295636,1007045,60111,324692,994582,1319274,14700,1333974,"$4,169 ","$4,123 ",44376%,"4,49%",89246%,"0,5064%","0,51%",28,"$41,23","orange_integratedannualreport_2020, page 68 https://rai2020.orange.com/wp-content/uploads/sites/44/2021/07/orange_integratedannualreport_2020_en_2.pdf","$48200000000,00","$5500000000,00"
154,Hyundai Motor,Consumer Durables,South Korea,807498,1897885,115849030,716237,1680079,2396316,93881255,96277571,$505 ,$13 ,366379%,"1472,01%",15086503%,"0,50%","20,22%",1093,"$0,13","hmc-2021-sustainability-report, page 22 https://www.hyundai.com/content/hyundai/ww/data/csr/data/0000000049/attach/english/hmc-2021-sustainability-report-en-v6.pdf","$88100000000,00","$1210000000,00"
156,Danaher,Conglomerates,United States,140743,205250,--,116770,196000,312770,--,,"$11,670 ",,15853%,#VALUE!,,"0,2595%",#VALUE!,,,"Danaher-2021-Sustainability-Report, page 91 https://sustainability.danaher.com/images/Danaher-2021-Sustainability-Report.pdf","$22300000000,00","$3650000000,00"
157,Westpac Banking Group,Banking,Australia,7018,107450,83243,5694,95786,101480,88588,190068,"$15,274 ","$8,155 ",12112%,"2,27%",34798%,"0,0857%","0,16%",9,"$81,55","Guidance - Organisations - Public Disclosure Statement, page 6 https://www.westpac.com.au/content/dam/public/wbc/documents/pdf/aw/sustainability/2020_Climate_Active_Public_Disclosure_Statement.pdf","$21900000000,00","$1550000000,00"
160,NextEra Energy,Utilities,United States,45645691,--,--,43311568,14539,43326107,6017,43332124,$67 ,$67 ,2744976%,"274,54%",5490333%,"46,60%","46,61%",2519,"$0,67","2020 NEE ESG Report, page 77 https://www.nexteraenergy.com/pdf/2020%20NEE%20ESG%20Report.pdf","$17200000000,00","$2920000000,00"
161,AstraZeneca,Drugs & Biotechnology,United Kingdom,269647,386315,5716412,240052,207005,447057,5985733,6432790,"$7,136 ",$496 ,25927%,"37,31%",398988%,"0,2986%","4,30%",232,"$4,96","Sustainability_Data_Summary_2021, page 5,6 https://www.astrazeneca.com/content/dam/az/Sustainability/2022/pdf/Sustainability_Data_Summary_2021.pdf","$27700000000,00","$3190000000,00"
162,China Everbright Bank,Banking,China,8992913,344331,13554,10717354,454575,11171929,42076,11214005,$491 ,$489 ,377155%,"37,86%",755730%,"5,57%","5,59%",302,"$4,89","sr2020, page 93 https://www.cebenvironment.com/tc/csr/sustainability/sr2020.pdf","$37100000000,00","$5480000000,00"
163,Salesforce.com,IT Software & Services,United States,5511,309749,171960,6613,320772,327385,198416,525801,"$12,432 ","$7,741 ",14881%,"2,39%",38781%,"0,2843%","0,46%",25,"$77,41","sustainability-FY20-stakeholder-impact-report, page 63 https://www.salesforce.com/news/wp-content/uploads/sites/3/2020/08/sustainability-FY20-stakeholder-impact-report.pdf","$21300000000,00","$4070000000,00"
165,Aviva,Insurance,Venezuela,14207,21340,14628,11749,17834,29583,5081,34664,"$120,001 ","$102,412 ","0,1542%","0,18%","0,3348%","0,0093%","0,01%",1,"$1024,12","2020 Sustainability Summary, page 11 file:///C:/Users/muham/Downloads/sustainability-summary-kpi-sheet-and-limited-assurance-statement-2020.pdf","$59000000000,00","$3550000000,00"
169,Accenture,IT Software & Services,Ireland,20859,236644,1028073,13945,162983,176928,677994,854922,"$30,860 ","$6,387 ","0,5995%","2,90%",34962%,"0,0716%","0,35%",19,"$63,87","Performance Data Table, Page 4 https://www.accenture.com/_acnmedia/PDF-149/Accenture-UNGC-Performance-Data-Table.pdf#zoom=40","$45700000000,00","$5460000000,00"
170,Southern Company,Utilities,United States,88200000,200000,38800000,75100000,200000,75300000,36600000,111900000,$42 ,$28 ,4450639%,"661,39%",11064537%,"68,96%","102,48%",5540,"$0,28","Southern Company ESG Data Table, page 1 https://www.southerncompany.com/content/dam/southerncompany/pdfs/about/governance/reports/Southern_Company_Data_Download.pdf","$20200000000,00","$3130000000,00"
171,Canadian Imperial Bank,Banking,Canada,23172,37110,29204,22149,35041,57190,15451,72641,"$54,905 ","$43,226 ","0,3369%","0,43%","0,7649%","0,0601%","0,08%",4,"$432,26","GHG Emissions Performance Table 2020, page 1 https://www.cibc.com/content/dam/cibc-public-assets/about-cibc/corporate-responsibility/environment/documents/ghg-emissions-performance-table-en.pdf","$17600000000,00","$3140000000,00"
172,China Shenhua Energy,Materials,China,151510000,5890000,--,126680000,8220000,134900000,--,,$38 ,,4845922%,#VALUE!,,"73,62%",#VALUE!,,,"2020 Environmental, Social and Governance Report, Page 95 http://www.csec.com/zgshwwEn/csrrpt2020/202103/72e4f8a7bfa94686b23cacbdf7c2ca87/files/ba0dc29d97e04253afc4e850db3d15ea.pdf","$33900000000,00","$5150000000,00"
173,SK Hynix,Semiconductors,South Korea,103208,4706167,88959,106640,4829381,4936021,99765,5035786,$816 ,$800 ,226592%,"23,12%",457763%,"3,38%","3,45%",187,"$8,00","SK hynix 2021 Sustainability Report, page 105 file:///C:/Users/muham/Downloads/2834063118223694.pdf","$27000000000,00","$4030000000,00"
174,Philip Morris International,"Food, Drink & Tobacco",United States,437849,174905,24975982,322633,90366,412999,3590000,4002999,"$19,467 ","$2,008 ","0,9503%","9,21%",101612%,"0,2662%","2,58%",139,"$20,08","PMI Integrated Report 2020, page 140 https://pmidotcom3-prd.s3.amazonaws.com/docs/default-source/pmi-sustainability/pmi-integrated-report-2020.pdf?sfvrsn=f17a78b7_6","$28700000000,00","$8040000000,00"
177,Lloyds Banking Group,Banking,United Kingdom,48246,107410,53225,39107,87783,126890,32597,159487,"$8,748 ","$6,960 ",21148%,"2,66%",47730%,"0,0541%","0,07%",4,"$69,60","ESG report 2020, page 36 https://www.lloydsbankinggroup.com/assets/pdfs/who-we-are/responsible-business/downloads/lbg-esg-interactive-210223.pdf","$43400000000,00","$1110000000,00"
178,Mitsui,Trading Companies,Japan,3189000,587000,52000,3298000,570000,3868000,32046000,35914000,$618 ,$67 ,299406%,"278,00%",3079360%,"1,19%","11,09%",600,"$0,67","Sustainability Report 2021, page 131 https://www.mitsui.com/jp/en/sustainability/sustainabilityreport/2021/pdf/en_sustainability_2021.pdf","$59900000000,00","$2390000000,00"
179,Union Pacific,Transportation,United States,10674091,315994,17084,8979288,301504,9280792,2844836,12125628,$576 ,$441 ,320925%,"41,93%",740222%,"8,80%","11,50%",622,"$4,41","2020_build_america_rep, page 26 https://www.up.com/cs/groups/public/@uprr/@corprel/documents/up_pdf_nativedocs/pdf_up_2020_build_america_rep.pdf ; page 6 https://www.up.com/cs/groups/public/@uprr/@corprel/documents/up_pdf_nativedocs/pdf_up_2021_climate_action_pln.pdf","$19500000000,00","$5350000000,00"
180,3M,Conglomerates,United States,4464360,1962114,9832616,3600000,1680000,5280000,9278000,14558000,"$1,019 ",$370 ,181561%,"50,06%",682162%,30335%,"8,36%",452,"$3,70",https://multimedia.3m.com/mws/media/2006066O/2021-sustainability-report.pdf,"$32200000000,00","$5380000000,00"
180,The CK Hutchison Group,Conglomerates,Hong Kong,302521,210795,--,272475,175587,448062,--,,"$8,392 ",,22046%,#VALUE!,,"0,2417%",#VALUE!,,,"Sustainability, page 32 https://doc.irasia.com/listco/hk/ckh/annual/2020/esr.pdf","$34300000000,00","$3760000000,00"
182,ICICI Bank,Banking,India,16000,127000,--,17000,128000,145000,--,,"$13,724 ",,13480%,#VALUE!,,"0,1259%",#VALUE!,,,"img_ICICI-Bank-ESG-Report-2021, page 49 file:///C:/Users/muham/Downloads/img_ICICI-Bank-ESG-Report-2021.pdf","$21300000000,00","$1990000000,00"
184,Exelon,Utilities,United States,9395000,6103000,180732000,8493000,5228000,13721000,178659000,192380000,$143 ,$10 ,1295094%,"1815,83%",19453411%,"7,60%","106,56%",5760,"$0,10","dwnld_Exelon_CSR, page 142 https://www.exeloncorp.com/sustainability/Documents/dwnld_Exelon_CSR%20(1).pdf","$33400000000,00","$1960000000,00"
185,Credit Suisse Group,Banking,Switzerland,11214,117874,95523,10773,78537,89310,26466,115776,"$31,799 ","$24,530 ","0,5818%","0,75%",13359%,"0,0507%","0,07%",4,"$245,30","Sustainability Report 2021, page 62 file:///C:/Users/muham/Downloads/csg-sr-2021-en.pdf","$32600000000,00","$2840000000,00"
186,Eli Lilly,Drugs & Biotechnology,United States,192000,596000,235000,159000,551000,710000,176000,886000,"$8,718 ","$6,986 ",21220%,"2,65%",47700%,"0,5361%","0,67%",36,"$69,86",https://esg.lilly.com/environmental,"$24500000000,00","$6190000000,00"
188,Legal & General Group,Insurance,United States,15226,26731,7594,15163,21441,36604,5021,41625,"$56,005 ","$49,249 ","0,3303%","0,38%","0,7060%","0,0105%","0,01%",1,"$492,49","data-centre-2020, page 20 https://group.legalandgeneral.com/media/kr2gmdd3/data-centre-2020.pdf","$64400000000,00","$2050000000,00"
191,BBVA-Banco Bilbao Vizcaya,Banking,Spain,17092,546521,56700,12467,286000,298467,7506,305973,"$4,992 ","$4,870 ",37058%,"3,80%",75048%,"0,1678%","0,17%",9,"$48,70","Portada_y_Portadillas_Informe_Anual_2020, page 99 https://shareholdersandinvestors.bbva.com/wp-content/uploads/2021/02/Annual-Report-2020_ENG_1.pdf","$32900000000,00","$1490000000,00"
196,DBS,Banking,Singapore,136,37304,15755,992,40724,41716,13008,54724,"$81,983 ","$62,495 ","0,2257%","0,30%","0,5217%","0,0585%","0,08%",4,"$624,95","2019, page 24 https://www.dbs.com/iwov-resources/images/sustainability/reporting/pdf/DBS%20Sustainability%20Report%202019%2020200306.pdf?pid=sg-group-pweb-sustainability-pdf-dbs-sustainability-report-2019 ; 2020, page 50 https://links.sgx.com/FileOpen/DBS%20Sustainability%20Report%202020.ashx?App=Announcement&FileID=651247","$13200000000,00","$3420000000,00"
197,Bank of New York Mellon,Banking,United States,8930,147270,16099,6524,121708,128232,2490,130722,"$27,762 ","$27,233 ","0,6664%","0,68%",13457%,"0,1492%","0,15%",8,"$272,33","2019, page 99 https://www.bnymellon.com/content/dam/bnymellon/documents/pdf/2019-csr-report.pdf.coredownload.pdf ; 2020, page 89 https://www.bnymellon.com/content/dam/bnymellon/documents/pdf/2020-enterprise-esg-report.pdf.coredownload.pdf","$15900000000,00","$3560000000,00"
200,Travelers,Insurance,United States,26175,30831,19642,14881,24149,39030,6245,45275,"$68,665 ","$59,194 ","0,2694%","0,31%","0,5820%","0,0226%","0,03%",1,"$591,94","2020 Travelers Sustainability Report, page 84 https://sustainability.travelers.com/downloads/Travelers_SustainabilityReport2020.pdf","$32000000000,00","$2680000000,00"
201,McDonald's,"Hotels, Restaurants & Leisure",United States,117985,542462,58373603,107362,475531,582893,59199519,59782412,"$8,115 ",$79 ,22798%,"233,82%",2361011%,"0,5616%","57,60%",3114,"$0,79","2019 ESG Reporting, page 85 https://corporate.mcdonalds.com/content/dam/gwscorp/assets/ourpurposeimpact/McDonalds_ESGReporting_WebsiteArchive_2019.pdf ; 2020 https://corporate.mcdonalds.com/corpmcd/our-purpose-and-impact/our-planet/climate-action.html#:~:text=As%20of%20the%20end%20of,the%20way%20toward%20our%20target.","$19200000000,00","$4730000000,00"
203,Tokio Marine Holdings,Insurance,Japan,17478,62100,31594,13163,53977,67140,22754,89894,"$20,405 ","$15,240 ","0,9066%","1,21%",21205%,"0,0250%","0,03%",2,"$152,40","sustainability_web_2021, page 190 https://www.tokiomarinehd.com/en/sustainability/pdf/sustainability_web_2021_2.pdf","$49700000000,00","$1370000000,00"
204,China Telecom,Telecommunications Services,China,210000,13340000,--,210000,13550000,13760000,--,,$218 ,,848533%,#VALUE!,,"4,47%",#VALUE!,,,"annual2020, page 117 https://www.chinatelecom-h.com/en/ir/report/annual2020.pdf","$57000000000,00","$3000000000,00"
205,Nike,Household & Personal Products,United States,102985,10300796,3583331,47395,159266,206661,11500000,11706661,"$16,597 ",$293 ,11146%,"63,14%",642555%,"0,0993%","5,63%",304,"$2,93","Impact-Report1, page 45, https://purpose-cms-preprod01.s3.amazonaws.com/wp-content/uploads/2021/03/30191542/FY20-NIKE-Inc.-Impact-Report1.pdf","$38500000000,00","$3430000000,00"
