Country,Data source,Sector,Gas,Unit,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990
Australia,UNFCCC_AI,"Land Use, Land-Use Change and Forestry",Aggregate GHGs,MtCO₂e,-26.29,-22.51,-33.79,-23.37,0.53,11.1,17.15,20.93,35.57,64.77,78.38,81.05,97.85,84.53,87.84,64.68,79.77,67.77,77.52,54.48,44.19,34.88,48.51,52.41,57.69,86.56,88.19,110.02,176.93,191.81
New Zealand,UNFCCC_AI,"Land Use, Land-Use Change and Forestry",Aggregate GHGs,MtCO₂e,-27.43,-26.76,-25.93,-25.4,-26.89,-25.79,-23.74,-25.2,-25.76,-29.69,-28.8,-29.7,-22.96,-23.7,-25.31,-25.89,-26.04,-24.89,-26.76,-26.82,-27.19,-25.23,-24.17,-23.81,-24.34,-25.64,-25.79,-25.53,-25.83,-24.01
Romania,UNFCCC_AI,"Land Use, Land-Use Change and Forestry",Aggregate GHGs,MtCO₂e,-30.22,-26.18,-28.64,-30.77,-30.6,-30.71,-30.74,-30.66,-27.46,-29.03,-28.25,-28.06,-27.44,-27.98,-28.37,-27.1,-27.38,-26.88,-28.96,-28.05,-28.23,-28.72,-26.46,-25.91,-26.86,-27.37,-27.93,-26.74,-25.42,-25.4
France,UNFCCC_AI,"Land Use, Land-Use Change and Forestry",Aggregate GHGs,MtCO₂e,-30.41,-30.4,-31.86,-33.49,-30.82,-34.57,-40.72,-37.46,-35.3,-35.55,-34.81,-45.32,-45.41,-46.02,-44.37,-43.73,-40.54,-37.7,-28.94,-17.16,-34.05,-30.89,-28.98,-28.74,-22.39,-20.02,-22.45,-19.49,-21.7,-21.58
Belarus,UNFCCC_AI,"Land Use, Land-Use Change and Forestry",Aggregate GHGs,MtCO₂e,-31.76,-39.34,-37.06,-41.08,-45.33,-47.11,-48.94,-47.01,-49.15,-50.27,-47.85,-44.68,-44.48,-42.28,-39.83,-37.86,-35.49,-38.36,-40.16,-40.79,-39.1,-32.8,-34.03,-34.71,-35.16,-34.73,-25.66,-31.57,-32.54,-30.68
Sweden,UNFCCC_AI,"Land Use, Land-Use Change and Forestry",Aggregate GHGs,MtCO₂e,-35.49,-35.31,-37.01,-39.43,-34.88,-36.91,-37.23,-39.34,-38.7,-38.56,-36.44,-36.49,-35.34,-42.1,-32.33,-33.3,-39.81,-42.43,-42.82,-42.02,-40.31,-40.63,-39.45,-38.58,-36.31,-33.68,-31.41,-35.5,-35.88,-36.53
Spain,UNFCCC_AI,"Land Use, Land-Use Change and Forestry",Aggregate GHGs,MtCO₂e,-37.58,-38.88,-38.83,-38.6,-38.75,-36.31,-34.34,-35.44,-37.42,-37.47,-35.25,-37.8,-38.14,-40.4,-38.38,-38.66,-38.53,-39.1,-40.61,-39.56,-38.3,-35.22,-34.68,-35.19,-34.61,-32.77,-34.71,-34.48,-35.2,-36.0
Italy,UNFCCC_AI,"Land Use, Land-Use Change and Forestry",Aggregate GHGs,MtCO₂e,-41.56,-36.0,-20.34,-40.66,-43.68,-41.03,-40.07,-24.9,-33.95,-41.92,-35.5,-31.31,-13.22,-35.97,-35.04,-34.0,-27.68,-35.63,-31.28,-20.92,-23.66,-14.45,-16.89,-25.22,-23.67,-16.97,-4.01,-16.82,-18.82,-3.49
Japan,UNFCCC_AI,"Land Use, Land-Use Change and Forestry",Aggregate GHGs,MtCO₂e,-50.13,-55.9,-56.49,-52.38,-56.55,-61.03,-63.06,-70.24,-68.14,-69.98,-65.77,-68.83,-79.63,-84.12,-88.77,-94.28,-97.83,-87.08,-85.31,-84.74,-83.73,-84.58,-84.44,-83.42,-79.25,-79.85,-80.12,-76.79,-73.38,-65.34
Turkey,UNFCCC_AI,"Land Use, Land-Use Change and Forestry",Aggregate GHGs,MtCO₂e,-83.99,-94.57,-99.88,-95.94,-97.27,-77.51,-76.49,-74.47,-77.08,-73.42,-72.77,-69.16,-74.35,-74.66,-74.66,-73.65,-74.54,-72.46,-64.71,-61.55,-64.03,-62.61,-61.69,-57.7,-57.38,-57.43,-56.05,-56.82,-56.72,-55.78
European Union (27),UNFCCC_AI,"Land Use, Land-Use Change and Forestry",Aggregate GHGs,MtCO₂e,-248.73,-261.67,-255.65,-296.3,-297.7,-302.49,-321.84,-319.07,-312.26,-314.87,-328.46,-321.03,-279.36,-328.39,-310.5,-318.7,-289.38,-316.11,-331.12,-305.96,-340.52,-329.82,-314.73,-318.83,-297.53,-268.12,-271.24,-269.03,-293.86,-210.9
Russia,UNFCCC_AI,"Land Use, Land-Use Change and Forestry",Aggregate GHGs,MtCO₂e,-534.81,-586.67,-603.34,-608.92,-588.95,-670.34,-614.58,-678.24,-654.99,-713.75,-645.3,-595.63,-551.53,-537.55,-530.52,-539.87,-562.94,-561.18,-533.4,-472.08,-440.81,-422.79,-347.69,-269.64,-205.82,-130.14,-40.3,-40.06,-37.13,-72.24
United States,UNFCCC_AI,"Land Use, Land-Use Change and Forestry",Aggregate GHGs,MtCO₂e,-789.23,-801.44,-766.06,-842.81,-763.85,-798.51,-788.55,-806.98,-800.56,-783.88,-756.24,-791.69,-798.8,-847.29,-788.05,-735.14,-837.04,-815.68,-852.28,-853.96,-856.57,-862.8,-855.82,-871.14,-855.32,-883.48,-867.45,-886.2,-898.61,-900.8
Annex-I Parties to the Convention,UNFCCC_AI,"Land Use, Land-Use Change and Forestry",Aggregate GHGs,MtCO₂e,-1787.9,-1882.25,-1891.43,-1990.84,-1880.09,-1984.06,-1940.53,-2039.02,-1986.85,-2022.04,-1931.51,-1884.64,-1806.0,-1901.24,-1802.03,-1802.68,-1923.23,-1913.56,-1937.16,-1852.35,-1895.13,-1884.74,-1753.9,-1690.21,-1576.59,-1487.06,-1370.39,-1378.99,-1357.58,-1269.8
