Account Number,City Name,Country,City Short Name,C40,Reporting Year,Measurement Year,Boundary,Primary Methodology,Methodology Details,Gases included,Total City-wide Emissions (metric tonnes CO2e),Total Scope 1 Emissions (metric tonnes CO2e),Total Scope 2 Emissions (metric tonnes CO2e),Increase/Decrease from last year,Reason for increase/decrease in emissions,Current Population Year,Current Population,City GDP,GDP Currency,Year of GDP,GDP Source,Average annual temperature (in Celsius)​,​Land area (in square km),Average altitude (m),City Location,Country Location
50579,City of Winnipeg,Canada,City of Winnipeg,,2016,12/31/1998 12:00:00 AM,Administrative boundary of a local government,Other,"This was applied in compliance with the national Partners for Climate Protection program,",CO2; CH4; N2O,5257325,5167453,89872,Decreased,"Some waste fell outside of measurement scope.
Decrease in natural gas consumption (reason unknown).",2015,718400,35000000000,CAD     Canadian Dollar,2014,Economic Development Winnipeg,2.4,464,230,"(49.8997541, -97.1374937)","(56.130366, -106.346771)"
58610,Municipality of Hjørring,Denmark,Hjørring,,2016,12/31/2014 12:00:00 AM,Other: Energy plan for Hjoerring Municipality,Other,,CO2,417000,289000,128000,Decreased,"Collective supply: decrease in fuel consumption, especially from fossil fuels. Electricity production has decreased substantially.
Industry: Large decrease in fuel consumption, especially from fossil fuels.",2016,65308,19088026316,DKK     Danish Krone,,http://www.danskbyggeri.dk/media/7648/regional-oversigt-over-bnp-i-kommunerne.pdf,7.5,7.5,22,"(57.456779, 9.995764)","(56.26392, 9.501785)"
36045,Santiago de Guayaquil,Ecuador,Santiago de Guayaquil,,2016,12/31/2014 12:00:00 AM,Administrative boundary of a local government,Other,"ISO 14064: Data generating activity Greenhouse Gas (GHG) multiplied by the emission factor (EF) or removal of GHG.
Eg = Da x EFa
Where, Eg = corresponds to the emission of GHG.
Da = corresponds to the data of GHG generating activity.
EFa = corresponds to emission factor generating activity.",CO2; CH4; N2O,6787374,5429899,1357475,This is our first year of calculation,,2010,2350915,5862,,2014,"Banco Central del Ecuador, INEC (2010), Municipio de Guayaquil",26,5047,,"(-2.170998, -79.922359)","(-1.831239, -78.183406)"
31117,City of Toronto,Canada,Toronto,C40,2016,12/31/2013 12:00:00 AM,Administrative boundary of a local government,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)","Currently, Toronto’s emissions calculations focus on our major emissions sources – energy (heating and cooling), transportation (mobile sources), and waste.

a. Energy Heating and Cooling:
The City of Toronto’s emissions factors for electricity and natural gas are updated annually and based on the National Inventory Reports (Environment Canada); however, the City of Toronto adds a 10% transmission loss to the NIR figure. Additionally, data is acquired from Toronto Hydro and Enbridge Gas on the electricity and natural gas consumption of the entire city, including residential, industrial, commercial, institutional etc...

b. Transportation: 
Data are collected and standardized only for car and truck traffic through the City using four main sources: 
-truck traffic counts of over 2,000 intersections throughout the city from the City of Toronto’s Transportation Services Division
-accumulated traffic count data from years 1987 to 2009 from the City of Toronto’s Transportation Services Division
--a Canadian standard developed by a Canadian consultant

The above traffic data is then used to calculate “vehicle kilometers traveled” (VKT) and emissions factors for vehicle types are applied to calculate total emissions from mobile sources.

c. Waste: 
Tonnages of waste and approximate waste compositions are used in mass balance equations in the calculation of emissions from landfills.",CO2,18320966,16151019,2169947,Decreased,"a.  Eliminating the use of coal in the electricity mix which facilitated substantive per capita reductions in energy consumption
b.  Significantly reducing the amount of waste going to landfill, and therefore, the amount of methane gas generated

Our transportation emissions have remained the same because we have not been able to update this data for the year 2012 and so we used the same data from 2011 for our inventory.",2011,2753100,157300000000000,CAD     Canadian Dollar,2013,http://www1.toronto.ca/wps/portal/contentonly?vgnextoid=41e067b42d853410VgnVCM10000071d60f89RCRD&vgnextchannel=57a12cc817453410VgnVCM10000071d60f89RCRD,8,634,77,"(43.653226, -79.3831843)","(56.130366, -106.346771)"
35868,Free and Hanseatic City of Hamburg,Germany,Hamburg,,2016,12/31/2013 12:00:00 AM,Administrative boundary of a local government,Other,"The emissions figures in fields C1.4 and C1.6 solely state Hamburg’s CO2 emissions (sum of Scope 1 and Scope 2 emissions) – they do not include any CH4, N2O etc. emissions. This is due to the statistical principles used in Germany for the ""Energiebilanzen der Bundesländer"" (energy balances of the German federal states) and the ""CO2-Bilanzen der Bundesländer"" (CO2 balances of the German federal states), which are based on the energy consumption within the respective statistical area. Nevertheless, these figures do reflect Hamburg’s CO2e emissions quite accurately, because CH4, N2O etc. emissions only cause less than 4% of Hamburg’s overall CO2e emissions.",CO2,17755,,,Decreased,"The most important factor responsible for the lower emissions is – despite a generally strong economic growth – a strong decline in the consumption of natural gas and petroleum products in the industry sector. However, a few industrial large-scale consumers in the field of petroleum and metal industry, whose production usually fluctuates, are responsible for a significant percentage of the consumption.",2014,1762791,102500000000,EUR     Euro,2014,Statistikamt Nord,8.8,755,6,"(53.5510846, 9.9936818)","(51.165691, 10.451526)"
43912,City of Edmonton,Canada,Edmonton,,2016,12/31/2014 12:00:00 AM,Administrative boundary of a local government,International Emissions Analysis Protocol (ICLEI),"Each year we manually collect empirical utility use information from the utilities for natural gas and electricity used within the geographic border of the City of Edmonton. This information is provided to us in various reporting categories such as residential, commercial and industrial. We are now receiving this information at the finest level of granularity that can be provided from the utilities. Propane fuel use for transportation is taken from Statistics Canada as recorded for the Province of Alberta, and then prorated according to the population of Edmonton compared to the population of Alberta. The diesel and gasoline use in litres is done in a similar fashion, but the information in this case is provided to us from the Alberta provincial government. The natural gas consumption in vehicles is received directly from the natural gas distributor. The conversion factors are derived from various sources: electricity grid intensity comes from Statistics Canada - this factor, is always two years behind the calendar year; natural gas and liquid fuels from US Environmental protection Agency, or Natural Resources Canada references, and the local utilities. The data is input manually each year into an excel spreadsheet model, and the conversion factors are checked for updates each year. Reports on the results are sent out on an as needed, customized basis.",CO2; CH4; N2O,16576702,10215142,6361560,Increased,"The changes from the 2013 dataset are as follows:Residential increased slightly, likely due to an increase in about 9,000 customers over the year, commercial increased energy consumption possibly due to a slight expansion in numbers, industrial showed a small decrease in emissions but we can't determine why, it was very much the same as 2013 values. All the vechicle fuel consumption numbers: gasoline, diesel, propane, natural gas for vehicles were very much the same as for 2013, ""Other"" emissions went up slightly due to an increase in some industrial sector emission due to production increases. Overall, total EMISSIONS in 2014 went up by 3.3% over 2013.",2014,878000,45969000000,CAD     Canadian Dollar,2014,Edmonton Chief Economist - Real GDP at Market Prices in 2007 dollars,3.6,684,671,"(53.544389, -113.4909267)","(56.130366, -106.346771)"
50555,City of Hamilton,Canada,Hamilton,,2016,12/31/2012 12:00:00 AM,A metropolitan area,International Emissions Analysis Protocol (ICLEI),"Waste information directly from Public Works and reports to Ministry of Environment re: energy capture of methane control at landfill
Transportation and Agriculture data from Statistics Canada Census
Industrial (Steel Sector) GHG emissions data reported directly to Canada's National Pollutants Release Inventory (NPRI) 
Commercial, Residential, Industrial (not Steel) from local electricity and natural gas utilities",CO2; CH4,16469283,6304593,10164690,Decreased,"In 2012 community emissions were estimated at 16,469,283 tonnes, a reduction of - 29% from 2006 emissions levels (estimated at 23,206,135 tonnes). These changes occurred due to the capturing of energy from methane emissions from the Glanbrook landfill, reduced energy demand and shifting of energy from coal as part of the Province’s actions towards the phasing out of coal in Ontario’s energy mixture sources by 2014, a reduction in steel manufacturing, and changing commuting habits and locations of employment.

Translated into per capita emissions, the Hamilton community has decreased its emissions by 26% from an estimated 46 tonnes CO2e/person in 2006 to an estimated 34 tonnes CO2e/person in 2011 while population has increased 3%.",2011,519949,22228328,CAD     Canadian Dollar,2014,The Conference Board of Canada – Metropolitan Outlook 1: Winter 2015,8.2,1117,75,"(43.250021, -79.866091)","(56.130366, -106.346771)"
58489,Hoeje-Taastrup Kommune,Denmark,Hoeje-Taastrup Kommune,,2016,12/31/2014 12:00:00 AM,Administrative boundary of a local government,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)",National standard for municipalities in Denmark,CO2,297000,173000,124000,Decreased,"From 390.000 ton CO2 in 2009. Energy conservation activities, conversion from oil and electricity heating to district heating, less fossil fuel in the combined heat and power production as well as in the district heating",2016,50002,3402000000,USD     US Dollar,2012,Danmarks Statistik,8.1,78,27,"(55.656328, 12.2898)","(56.26392, 9.501785)"
42178,Distrito Metropolitano de Quito,Ecuador,Distrito Metropolitano de Quito,C40,2016,12/31/2011 12:00:00 AM,A metropolitan area,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)",,CO2; CH4; N2O,5233350,4653611,579739,Decreased,"The GHGs emissions in 2011, decreased in comparison to the 2007 projected GHGs emissions growth rate, particularly in the transport sector.",2010,2239191,15100000000,USD     US Dollar,2012,Ecuador Central Bank,22,4232,2815,"(-0.2333, -78.5167)","(-1.831239, -78.183406)"
31146,Addis Ababa City Administration,Ethiopia,Addis Ababa,C40,2016,12/31/2012 12:00:00 AM,Administrative boundary of a local government,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)",Reported according to the BASIC+ requirement,CO2; CH4; N2O,3708292,3708292,,This is our first year of calculation,lack of capacity,2008,3384569,,ETB     Ethiopian Birr,,,,540,2650,"(9.028874, 38.754366)","(9.145, 40.489673)"
50558,"City of London, ON",Canada,"London, ON",,2016,12/31/2014 12:00:00 AM,Administrative boundary of a local government,International Emissions Analysis Protocol (ICLEI),as adapted by ICLEI Canada for use in the FCM's Partners for Climate Protection Program,CO2; CH4; N2O,3070000,2771000,299000,Increased,"Winter temperatures in 2014 were below normal (i.e., the ""Polar Vortex"") compared to 2013 (normal winter temperatures) and the unusually warm winter of 2012. As a result, overall natural gas use was up by eight percent in 2014 compared to 2013.

Total greenhouse gas emissions from London have decreased compared to the peak in 2007. In 2014, greenhouse gas emissions were 19 percent lower than 2007. In fact, London's emissions in 2014 were six percent lower than the 1990 level used to benchmark emission reduction efforts. This is below the Kyoto Protocol objective (six percent below 1990) that Canada had previously committed to.

Greenhouse gas emissions associated with electricity are significantly lower in 2014 (about 80 percent) than their peak in 2003. In 2014, only 0.1 percent of Ontario's electricity demand was generated by burning coal as these plants were shut down, and 10 percent was generated by burning natural gas. The rest of Ontario's electricity demand was met with emissions-free generation: 62 percent nuclear, 24 percent hydroelectric, 4 percent wind and other renewables.

Conservation and peak demand reduction programs also contribute to lower emissions from power generation. Unfortunately, lower demand from the economic slow-down in manufacturing sector also contributes to lower emissions.",2014,375000,15400000000,CAD     Canadian Dollar,2014,"Conference Board of Canada, London Census Metropolitan Area data prorated by population and adjusted to 2007",7.9,421,251,"(42.9837, -81.2497)","(56.130366, -106.346771)"
35894,Ville de Montreal,Canada,Montreal,,2016,12/31/2009 12:00:00 AM,Other: The regional entity that constitutes the agglomeration of Montreal (it is not the metropolitan area of Montreal whitch is bigger than the agglomeration of Montreal) - see Question 1 in the Introduction for more information,2006 IPCC Guidelines for National Greenhouse Gas Inventories,"2006 IPCC Guidelines for National Greenhouse Gas Inventories AND Guide d'inventaire des émissions de gaz à effet de serre d'un organisme municipal (MDDEP, 2009)",CO2; CH4; N2O,13722942,13634331,88611,Stayed the same,We have not produced a new inventory.,2011,1886481,120118000000,CAD     Canadian Dollar,2014,"Ville de Montréal, Montréal en statistiques, http://ville.montreal.qc.ca/portal/page?_pageid=6897,67887843&_dad=portal&_schema=PORTAL",6.8,500,17,"(45.5086699, -73.5539925)","(56.130366, -106.346771)"
59669,City of North Vancouver,Canada,North Vancouver,,2016,12/31/2010 12:00:00 AM,Administrative boundary of a local government,U.S. Community Protocol for Accounting and Reporting of Greenhouse Gas Emissions (ICLEI),Partners for Climate Protection - Canadian Supplement to the International Emissions Analysis Protocol,CO2; CH4,196840,,,This is our first year of calculation,"This is the first year the City has completed its community emissions inventory for the CDP. Previous community emissions inventories completed by the City and the Province (2007, 2010) of BC have shown a decrease in emissions due to a reduction of natural gas consumption in the building sector.",2014,52346,,,,,11,11.8,90,"(49.32699, -123.07328)","(56.130366, -106.346771)"
54088,City of Peterborough,Canada,Peterborough,,2016,12/31/2011 12:00:00 AM,A metropolitan area,International Emissions Analysis Protocol (ICLEI),,CO2; CH4,283061,,,,,2011,78698,,,,,12.1,63.8,195,"(44.309058, -78.319747)","(56.130366, -106.346771)"
20113,City of Vancouver,Canada,Vancouver,C40,2016,12/31/2014 12:00:00 AM,Administrative boundary of a local government,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)",The City has compiled a GPC-compliant inventory for 2014 as a Compact of Mayors signatory.,CO2; CH4; N2O,2442602,2389748,52855,Decreased,"Community LDV emissions have decreased with declining fuel sales within the city. Also, continued increase in landfill gas capture efficiency, coupled with a decrease in overall electricity grid GHG intensity, reduced overall GHG emissions.",2011,603500,83600000000,CAD     Canadian Dollar,2015,Conference Board of Canada (forecast); Vancouver Economic Commission,11,115,45,"(49.261226, -123.1139268)","(56.130366, -106.346771)"
31009,City of Copenhagen,Denmark,Copenhagen,C40,2016,12/31/2015 12:00:00 AM,Administrative boundary of a local government,Other,"The methodology used provides an inventory of greenhouse gases at the municipality level, divided into sectors. The sectors are similar to those used for the official Danish emission inventory (IPCC sectors), and include; collective power and heating, Indivitual heating, Mobile sources, Tranportation and machinery, Industrial processes, Solvents, Agriculture, Land use, and waste depositing and wastewater.

Simplified generalizations of the equations used for emission calculations are used. These are based on the assumption that emissions of a given activity can be estimated using data descriptive for the size of the activity multiplied by an emission factor pr unit or activity. That is, the inventory is primarily based on scope-2 data on heat and power consumption and scope-1 data on road traffic.

The method includes CO2-, CH4- and N2O-emission in the inventory.

As for the national inventories the calculation is built into several levels (Tiers) with increased requirements for municipalities regarding data quality. Each municipality may use different tiers for different sectors depending on the data available.

Tier 1 is mainly based on the Danish national greenhouse gas inventory data using appropriate distribution keys, in most cases the municipality's share of total population, for a given activity into municipality level.

Tier 2 is more detailed and includes emission factors used in the Danish national greenhouse gas inventories, while municipalities use their own activity data.

At Tier 3, which is the most detailed level; municipalities use municipality specific emission factors and activity data.",CO2; CH4; N2O,1450358,,,Decreased,"The CO2-emissions from the City of Copenhagen in 2015 was 11% lower than the emissions in 2014. The reduction in the emissions is primarily caused by more wind power i the power production in Copenhagen and in Denmark in general.


For Denmark as a whole, one kilowatt-hour of electricity emitted an average of almost 29% less CO2 in 2015 than in 2014. This drop is partly attributable to higher wind production as well as more use of biomass in combined heat and power production.",2015,591481,308279000000,DKK     Danish Krone,2014,"Danmarks Statistik, Statistics Denmark",8,86,9,"(55.6760968, 12.5683371)","(56.26392, 9.501785)"
59165,Gladsaxe Kommune,Denmark,Gladsaxe Kommune,,2016,12/31/2014 12:00:00 AM,A metropolitan area,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)",,CO2; CH4; N2O,362078,9924,214496,Decreased,"Energy saving plans, Projects and goals. Expansion of district heating which provide Citizens and Companies with ecofriendly heating.",2014,66656,35234000,DKK     Danish Krone,2014,Statistic Denmark,,24.9,,"(55.733461, 12.488686)","(56.26392, 9.501785)"
54329,Bogor City Government,Indonesia,Bogor ,,2016,12/31/2014 12:00:00 AM,Administrative boundary of a local government,2006 IPCC Guidelines for National Greenhouse Gas Inventories,Following the protocol used at the national level,CO2; CH4; N2O,2193642,2193642,,Increased,"due to population growth, transportation and economic activity",2014,1030720,117412136000000,IDR     Rupiah,2014,Central Statistic Bureau,32.1,118.5,260,"(-6.597147, 106.806039)","(-0.789275, 113.921327)"
8242,City of Helsinki,Finland,Helsinki,,2016,12/31/2014 12:00:00 AM,Administrative boundary of a local government,Other,Regionally developed methodology equivalent to GPC (and IPCC guidelines),CO2; CH4; N2O,2789724,2096206,2789724,Decreased,"Energy efficiency has improved in buildings and vehicles. National grid electricity produces less CO2 emissions than before. Traffic fuel mix includes more CO2-neutral fuels.
Long term: Less coal in district heating, waste management has improved, industry has decreased.",2014,612664,,,,,5.9,214,,"(60.1733244, 24.9410248)","(61.92411, 25.748151)"
1184,City of Austin,USA,Austin,C40,2016,12/31/2013 12:00:00 AM,Combination of administrative divisions,U.S. Community Protocol for Accounting and Reporting of Greenhouse Gas Emissions (ICLEI),,CO2; PFCs; CH4; N2O,13700000,6439000,7261000,Decreased,"Renewable energy in our electricity generation, energy efficiency, and fuel efficiency of the city wide vehicle fleet",2015,888204,,,,,20,704,149,"(30.2672, -97.7431)","(37.09024, -95.712891)"
54402,City of Lahti,Finland,Lahti,,2016,12/31/2013 12:00:00 AM,Administrative boundary of a local government,2006 IPCC Guidelines for National Greenhouse Gas Inventories,With some national modifications,CO2; CH4; N2O,685460,922120,123680,Decreased,Decreased from baseline year 1990. New waste gasification plant 2012 and collecting separate energy waste from citizens. Effective waste water treatment with collecting biogas before composting the sludge. Effective and energy-efficient waste and biowaste collection and treatment (new biogas plant 2014). Better energy effiency in buildings.,2016,120432,6057000000,EUR     Euro,2013,http://www.tilastokeskus.fi/tup/suoluk/suoluk_vaesto.html#bruttokansantuote,4,517,119,"(60.9833, 25.65)","(61.92411, 25.748151)"
31187,Seoul Metropolitan Government,South Korea,Seoul ,C40,2016,12/31/2013 12:00:00 AM,Administrative boundary of a local government,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)","Plus, For Local Government Greenhouse Gas Inventories.,  Korea Environment Corporation, 2010,)",CO2; PFCs; CH4; SF6; N2O; HFCs,47612664,25082520,22530144,,,2015,10297138,327602162000000,KRW     South Korean Won,2014,Korean Statistical Information Service,12.1,605,85,"(37.566535, 126.9779692)","(35.907757, 127.766922)"
50154,City of Turku,Finland,Turku,,2016,12/31/2013 12:00:00 AM,Administrative boundary of a local government,2006 IPCC Guidelines for National Greenhouse Gas Inventories,"For a local authority level the IPCC guidelines have been applied according to: European Union/Covenant of Mayors, 2010. How to develop a Sustainable Energy Action Plan - Guidebook. Part II, Baseline emissions inventory. The sectors included are: heating, electricity consumption (including industry), fuels for industry and machinery, road traffic, other traffic, agriculture and waste management.",CO2; CH4; N2O,1107500,421200,686300,Stayed the same,"Most sectors decreased, but the emission factor for electricity increased in Finland.",2015,186000,8700000000,USD     US Dollar,2012,Statistics Finland,5.5,246,10,"(60.4518126, 22.2666303)","(61.92411, 25.748151)"
62180,Communauté urbaine du Grand Nancy,France,Communauté urbaine du Grand Nancy,,2016,12/31/2016 12:00:00 AM,A metropolitan area,Other,http://www.citepa.org/fr/activites/inventaires-des-emissions/secten,CO2; PFCs; CH4; SF6; N2O; HFCs,2150000,,,,,2014,265000,,EUR     Euro,2015,,10.5,142.3,212,"(48.692054, 6.184417)","(46.227638, 2.213749)"
31169,Government of Hong Kong Special Administrative Region,Hong Kong,Hong Kong,C40,2016,12/31/2012 12:00:00 AM,Administrative boundary of a local government,2006 IPCC Guidelines for National Greenhouse Gas Inventories,"We made reference to the ""2006 IPCC Guidelines for National Greenhouse Gas Inventories"".",CO2; PFCs; CH4; SF6; N2O; HFCs,42700000,,,Increased,"Hong Kong's GHG emission recorded a small increase of 4.7% from 40.8 million tones CO2e in 2010 to 42.7 million tonnes CO2e in 2011, mainly due to (i) the increase in electricity generation to cope with GDP and population growth;
(ii) more use of coal for electricity generation to make up the shortfall in natural gas supply.",2015,7305700,310000000000,USD     US Dollar,2015,Census and Statistics Department,23.3,1104,129,"(22.2880809, 114.1398015)","(22.396428, 114.109497)"
54459,City of Reykjavík,Iceland,Reykjavík,,2016,12/31/2013 12:00:00 AM,A metropolitan area,2006 IPCC Guidelines for National Greenhouse Gas Inventories,"Well, this is the total emissions as we only calculate scope 1. As I understand scope 1 this is scope 1 emissions, due to activities of citizens and businesses within the city limits, waste and flight / shipping. Emissions from energy generation is not included. That kind of emission is though very low as our energy and district heating runs on Hydro power and geothermal heat. We are not counting emissions from activities outside of the borders of the city, such as emissions from the international airport which is outside of Reykjavik and not the emissions of any production outside of the city which I understand is scope 3.",CO2; CH4; N2O,346630,346630,,Increased,"Emissions from traffic has  increased by 2% since 2011. Estimation of GHG emissions from aviation, fishing and sailing have increased by 19% since 2011. The most significant part of the increase is in navigation (passenger, cargo and other ships).",2015,122460,6248000000,ISK     Iceland Krona,2015,http://www.statice.is/,6,275,40,"(64.12652, -21.81744)","(64.963051, -19.020835)"
54108,City of Durham,USA,Durham,,2016,06/30/2015 12:00:00 AM,Administrative boundary of a local government,U.S. Community Protocol for Accounting and Reporting of Greenhouse Gas Emissions (ICLEI),,CO2; CH4; N2O,4530469,1973070,2557399,Decreased,"weather, changed the way we were calculating",2015,250815,,,,,15,277,,"(35.994, -78.8986)","(37.09024, -95.712891)"
31166,Jakarta City Government,Indonesia,Jakarta ,C40,2016,12/31/2014 12:00:00 AM,Administrative boundary of a local government,Other,"Identify GHG emissions from potential sector, such energy using, transportation, solid waste, waste water, and industrial.
Inventory GHG emissions and transportation as potential source.
Identify mitigaton action through define criteria and scoring


Method of calculation:Emission / absorption of GHG = AD x EF

AD: The data generated from the construction activities and human activities
EF: The amount of emissions per uptake per unit",,27780000,,,Decreased,"- Commitment to Reduce the Greenhouse Gas Emissions 

- Jakarta’s commitment to reduce greenhouse gas     emissions, the target to cut emissions by 30% by 2030  will be applied. The greenhouse gas emisions target is based upon the base line of emision in ",2015,10075300,,,2015,Central Statistics Agency (BPS),29,662,,"(-6.2087634, 106.845599)","(-0.789275, 113.921327)"
31313,Dublin City Council,Ireland,Dublin,,2016,12/31/2011 12:00:00 AM,Administrative boundary of a local government,Other,See LGO1.3 attachment,CO2,2942349,,,This is our first year of calculation,,2011,527612,29018660000,EUR     Euro,2011,Brookings Institution,10,115,85,"(53.344479, -6.270843)","(53.41291, -8.24389)"
36286,Comune di Ferrara,Italy,Ferrara,,2016,12/31/2007 12:00:00 AM,Administrative boundary of a local government,2006 IPCC Guidelines for National Greenhouse Gas Inventories,"The Baseline Emissions Inventory (BEI) was created according to the methodological instrument made available by Emilia-Romagna Region, with the technical-scientific support of the ARPA (Regional Agency for the Prevention and the Environment) within the Climate Plans regional work group, in which the Municipality of Ferrara participates. 
The cognitive foundation for producing the inventory is represented by the regional inventory of greenhouse gas emissions, created by the Emilia-Romagna Region and ARPA Emilia-Romagna, according to the standard methods of estimation recognised on an international level (IPCC, CORINAIR). To construct this regional inventory, the INEMAR software was used (INventario EMissioni ARia: Air Emissions Inventory), which consists of an application system created to estimate the emissions of various pollutants, for various types of activity (e.g.: heating, traffic, agriculture and industry) and by type of fuel, according to the international classification adopted in the field of EMEP-CORINAIR inventories. As envisaged by the Intergovernmental Panel on Climate Change (IPCC) Guidelines, in order to calculate emissions, the “bottom‐up” method was used, based on the sector end-use of fuels. In those cases where it was not possible to obtain accurate data, particularly concerning territorial data, a ""top-down"" approach was used, resorting to statistical processing of data aggregated at a provincial level.
The overall picture of emissions of the Terre Estensi Association was built from the emissions inventory of the individual Municipalities of Ferrara, Masi Torello and Voghiera that constitute the Association, making the sum of the contributions of the three Municipalities. In line with the agreements within the Regional Work Group on Climate Plans, the year 2007 was chosen as a baseline reference year. The classification of the sources was created in accordance with the Cartesio Guidelines, which correspond with the ICLEI Protocol and ISO 14064.",CO2; PFCs; CH4; SF6; N2O; NF3; HFCs,1582605.13,,,Decreased,Measures foreseen in the SEAP has been properly implemented.,2015,133155,,,,,15.5,404,9,"(44.8357395, 11.6189949)","(41.87194, 12.56738)"
36262,Comune di Genova,Italy,Genova,,2016,12/31/2011 12:00:00 AM,Administrative boundary of a local government,Other,The data that have been monitored by MEI 2011 and reported on SEAP,CO2,1810370,,,Other,Is not possible a comparison because the categories are quantified differently,2014,592995,25977591566,,2015,www.ilsole24h.com,15,1118,19,"(44.347961, 9.318415)","(41.87194, 12.56738)"
35886,Comune di Torino,Italy,Torino,,2016,12/31/2014 12:00:00 AM,"Other: Our  emission inventory takes in account the City of Turin  and its boundary, following the instruction of the JRC methodology (""How to develope a sustainable energy action plan"") setted up for the Covenant of Mayors initiative.",Other,"The city of Turin used, for its emission inventory, the methodology suggested by JRC (""How to develope a sustainable energy action plan"") for the Covenant of Mayors initiative. The methodology consists in the collection of data about yearly energy consumption (MWh/year) from different sources (electricity, natural gas, diesel, liquid gas, biomass, pv, solar thermal, wind…). Following methodology of covenant of mayors , by considering different emission coefficients (Ton CO2/MWh) for all different suorces – is possible to obtain the total CO2 emission (Ton/year).",CO2,3496156,,,Decreased,"Last updated in 2014. 
Since the last inventory performed a reduction of 22% in CO2 emissions compared to the base year (1991).",2014,898714,26933203382,,2013,http://www.centroestero.org/FTP/opploc/TorinoUrbanProfile2013.pdf,15,130,239,"(45.1006374, 7.6680046)","(41.87194, 12.56738)"
31173,Comune di Milano,Italy,Milano,C40,2016,12/31/2013 12:00:00 AM,Administrative boundary of a local government,Other,"We didn't adopt any specific Protocol, anyway, let apart a few details,  the adopted methodology is compliant with the GPC Protocol. Just part of it. With respect to compact basic requirements (first year after the adhesion) only urban railway is missing, we are collecting data regarding this",CO2,5976779,3728678,2248100,,"The most reliable comparison (for data completeness and coherence in the methodology ) can be made with reference to year 2005.
CO2 emissions decreased as a whole
 This is partially due to a decrease in the electricty national emission factor (due to better technologies and to the increasing quota of renewable energy sources ). Anyway if we calculate the emission inventory in 2005 and 2013 with the same electricity emission factor there is still a decrease in emissions
Despite a litlle increase in population there was a reduction both in the bulding and in the mobility sector. Regarding buildings there was a progressive fuel switch from diesel oils to methane, more efficient boilers, an extension of the district heating service and a reduction in domestic electricity consumption.
We registered also a decrease in traffic that together with the renovation of circulating vehicles generated a decrease of CO2 emissions in the mobility sector",2014,1350680,,,,,15.5,182,122,"(45.802578, 9.086356)","(41.87194, 12.56738)"
35755,Village of Kadiovacik,Turkey,Kadiovacik,,2016,12/31/2015 12:00:00 AM,Administrative boundary of a local government,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)",,CO2,443.79,404.65,39.14,Decreased,Due to the energy saving training to the villagers,2016,216,10000,TRY     New Turkish Lira,2016,Governental,19,5947,327,"(38.3434574, 26.553613)","(38.963745, 35.243322)"
36254,Comune di Venezia,Italy,Venezia,C40,2016,12/31/2005 12:00:00 AM,Administrative boundary of a local government,Other,Our BEI (Baseline Emission Inventory) has been made according to the Covenant of Mayors Guide Lines.,CO2,1418344,955471,462872,Stayed the same,"Our BEI is based on 2005. Unfortunately, we have not a more updated inventory so that's why we consider that our emissions have no change. Next update is scheduled for the end of 2014 and will be liely based on 2012 or 2013.",2016,263104,146605000000,EUR     Euro,2012,ISTAT - this data is referred to whole Veneto Region (4881756 inhabitants),13,414,3,"(45.4332515, 12.3210704)","(41.87194, 12.56738)"
31113,City of Yokohama,Japan,Yokohama,C40,2016,03/31/2013 12:00:00 AM,Administrative boundary of a local government,Other,"Yokohama determines levels of greenhouse gas (GHG) emissions, promotes their reduction, and manages the progress of reduction on the basis of the Yokohama City Action Plan for Global Warming Countermeasures (district measure revised edition; 2014), which was prepared in accordance with the provisions of Article 20, Item 3, Paragraph 3 of the Act on Promotion of Global Warming Countermeasures.  It measures GHG emissions in accordance with “the manual for formulation of action plans by local public entities for global warming countermeasures (regional measure edition, 2014)”, which was formulated by the Ministry of the Environment.",CO2; PFCs; CH4; SF6; N2O,21950000,12572000,9378000,Increased,"after the Great East Japan Earthquake, the portion of thermal plant has been increased, emission coefficients in the power sector has been increased.",2015,3719589,104000000000,USD     US Dollar,2012,"The calculation of citizen economy in Yokohama, 2012, (issued in 2015)",16,437,39,"(35.4437078, 139.6380256)","(36.204824, 138.252924)"
