Year Reported to CDP,Account Number,Organization,City,Country,CDP Region,Access,City-wide emissions inventory,Accounting year,Administrative city boundary,Inventory boundary (compared to Administrative city boundary),Primary Protocol,Primary Protocol Comment,Common Reporting Framework inventory format (GPC),Gases Included,Direct emissions (metric tonnes CO2e) for Total generation of grid-supplied energy,Direct emissions (metric tonnes CO2e) for Total emissions (excluding generation of grid-supplied energy),Indirect emissions from use of grid supplied energy (metric tonnes CO2e) for Total generation of grid supplied energy,Indirect emissions from use of grid supplied energy (metric tonnes CO2e) for Total Emissions (excluding generation of grid-supplied energy),Emissions occurring outside city boundary (metric tonnes CO2e) for Total Generation of grid supplied energy,Emissions occurring outside city boundary (metric tonnes CO2e) for Total Emissions (excluding generation of grid-supplied energy),TOTAL Scope 1 Emissions (metric tonnes CO2e),TOTAL Scope 2 emissions (metric tonnes CO2e),TOTAL Scope 3 Emissions,TOTAL BASIC Emissions (GPC),TOTAL BASIC+ Emissions (GPC),Change in emissions,Primary reason for the change in emissions,Land area (in square km),Population,Population Year,City Location,Last update
2020,826450,Durham County Council,,United Kingdom of Great Britain and Northern Ireland,Europe,public,Yes,2017-01-01 - 2017-12-31,Province / County,Same – covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),Data reported are provided by the UK government through their publication of UK local authority and regional carbon dioxide emissions national statistics.,Yes,"CH4, CO2, N20",2261.09,2069613.77,0,656297.71,417.61,715767.1,,,,,,Decreased,Technological change,2230,523500,2017,,2021-07-16T02:03:37.903
2020,834058,Bogor Regency,,Indonesia,Southeast Asia and Oceania,public,Yes,2018-01-01 - 2018-12-31,City / Municipality,Same – covers entire city and nothing else,2006 IPCC Guidelines for National Greenhouse Gas Inventories,"The management of GHG inventory data is carried out so that the data has beenavailable can be input according to the data needs that have been provided in the calculation tool (IPCC Inventory Software)The process of implementing the GHG inventory includes the stages of preparation,coordination stage, data collection and data management stage. The methodology used in calculating GHG emissions is based on at Tier 1 in the IPCC 2006 issued by Ministry of Environment and Forestry. Four (4)the sectors studied were energy procurement and use; process industrial and product use; forestry agriculture and use other land; as well as the waste sector",,"CH4, CO2, N20",,,,,,,2054673000,0,0,,,This is our first year of calculation,Lack of resource / funding overcome,2663.81,5965410,2019,,2021-07-16T02:03:37.903
2020,31115,City of Johannesburg,Johannesburg,South Africa,Africa,public,Yes,2016-01-01 - 2016-12-31,City / Municipality,Same – covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),,Yes,"CH4, CO2, N20",,8622822,,6421642,,2650844,,,,,,Decreased,"Other, please specify: Possible reduced consumption driven by economic slump. Also, improved approach at data analysis may explain the reduction.",1645,5740000,2020,POINT (28.0473 -26.2041),2021-07-16T02:03:37.903
2020,63762,Metropolitan Washington Council of Governments (COG),,United States of America,North America,public,Yes,2018-01-01 - 2018-12-31,Metropolitan area,Same – covers entire city and nothing else,U.S. Community Protocol for Accounting and Reporting of Greenhouse Gas Emissions (ICLEI),,,"CH4, CO2, HFCs, N20, PFCs",,40007541,,22635418,,,,,,,,Decreased,"Other, please specify: Cleaner grid",3722,5570234,2018,,2021-07-16T02:03:37.903
2020,54402,City of Lahti,Lahti,Finland,Europe,public,Yes,2017-01-01 - 2017-12-31,City / Municipality,Same – covers entire city and nothing else,2006 IPCC Guidelines for National Greenhouse Gas Inventories,With some national modifications. Emissions and energy use are calculated from data year 2017.,,"CH4, CO2, N20",,690300,,,,,,,,,,Decreased,Technological change,459,119937,2020,POINT (25.65 60.9833),2021-07-16T02:03:37.903
2020,54623,Prefeitura de Betim,Betim,Brazil,Latin America,public,Yes,2013-01-01 - 2013-12-31,City / Municipality,Same – covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),"A elaboração do primeiro inventário de emissões de GEE de Betim para os anos de 2012 e 2013 teve como base as metodologias propostas pelo Global Protocol for Community-Scale Greenhouse Gas Emission Inventories¹ (GPC).   Os setores reportados foram Energia Estacionária, Transporte e Resíduos. Para que a relatoria dos dados esteja adequada aos requisitos estabelecidos pela metodologia, os cálculos e a elaboração deste inventário estão em consonância com as orientações de 2006 do IPCC para inventários nacionais de GEE.Os princípios elencados na metodologia e respeitados na elaboração foram: relevância, abrangência, consistência, transparência e exatidão.",No,"CH4, CO2, HFCs, N20, NF3, PFCs, SF6",,,,,,,,,,1763018,,This is our first year of calculation,,346,378089,2010,POINT (-44.2012 -19.9673),2021-07-16T02:03:37.903
2020,50365,Municipalidad  de Valparaíso,,Chile,Latin America,public,Not intending to undertake,,City / Municipality,,,,,,,,,,,,,,,,,,,400,296655,2017,,2021-07-16T02:03:37.903
2020,840038,Justiniano Posse,,Argentina,Latin America,public,Yes,2016-01-01 - 2016-12-31,City / Municipality,Same – covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),"Excel. Se utilizó la herramienta de cálculo desarrollada por la Red Argentina de Municipios frente al Cambio Climática, que fue diseñada en base al protocolo GPC para inventarios de emisiones de GEI para ciudades argentinas.",Yes,"CH4, CO2, N20",,35975.92,,6906.66,,1121.41,,,,,,This is our first year of calculation,"Other, please specify",8026,8883,2016,,2021-07-16T02:03:37.903
2020,60140,City of Nakuru,Nakuru,Kenya,Africa,public,Intending to undertake in the next 2 years,,Province / County,,,,,,,,,,,,,,,,,,,7498.82,2038945,2019,POINT (36.08 -0.30309),2021-07-16T02:03:37.903
2020,847245,Leandro . N. Alem,,Argentina,Latin America,public,Yes,2018-01-01 - 2018-12-31,City / Municipality,Same – covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),"Excel. Se utilizó la herramienta de cálculo desarrollada por la Red Argentina de Municipios frente al Cambio Climática, que fue diseñada en base al protocolo GPC para inventarios de emisiones de GEI para ciudades argentinas.",Yes,"CH4, CO2, N20",,91927.7,,28361.4,,21924.68,,,,,,This is our first year of calculation,"Other, please specify",177,31364,2018,,2021-07-16T02:03:37.903
2020,59166,Municipalidad de Independencia,Independencia,Chile,Latin America,public,Yes,2018-01-01 - 2018-12-31,City / Municipality,Smaller – covers only part of the city,Regional or country specific methodology,"ISO 14064, metodología del programa del ministerio de medio ambiente Huella Chile.",,"CH4, CO2, N20",,,,,,,,,,,,This is our first year of calculation,,7,105794,2020,POINT (-68.8154 -32.8421),2021-07-16T02:03:37.903
2020,54603,Alcaldia de Pasto,Pasto,Colombia,Latin America,public,Intending to undertake in the next 2 years,,City / Municipality,,,,,,,,,,,,,,,,,,,1.181,455678,2015,,2021-07-16T02:03:37.903
2020,60423,Municipalidad de la Ciudad de Neuquén,,Argentina,Latin America,public,Yes,2018-01-01 - 2018-12-31,Province / County,Same – covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),"Excel. Se utilizó la herramienta de cálculo desarrollada por la Red Argentina de Municipios frente al Cambio Climática, que fue diseñada en base al protocolo GPC para inventarios de emisiones de GEI para ciudades argentinas.",Yes,"CH4, CO2, N20",,1412824.81,,169098.1,,71826.94,,,,,,This is our first year of calculation,"Other, please specify",128,259182,2018,,2021-07-16T02:03:37.903
2020,43926,City of Mannheim,Mannheim,Germany,Europe,public,Yes,2018-01-01 - 2018-12-31,City / Municipality,Same – covers entire city and nothing else,Regional or country specific methodology,BISKO-Standard (territorial-based),,"CH4, CO2, N20",7924,861437,,2269512,,,,,,,,Increased,Change in accounting methodology,145,312722,2015,POINT (8.46603 49.4875),2021-07-16T02:03:37.903
2020,74680,City of Iasi,Iasi,Romania,Europe,public,Yes,2018-01-01 - 2019-01-01,City / Municipality,Same – covers entire city and nothing else,2006 IPCC Guidelines for National Greenhouse Gas Inventories,,,CO2,97520,672516,0,0,0,0,,,,,,This is our first year of calculation,Lack of resource / funding overcome,9.391,793559,2019,POINT (27.35 47.1),2021-07-16T02:03:37.903
2020,59678,"City of Evanston, IL",Evanston,United States of America,North America,public,Yes,2018-01-01 - 2018-12-31,City / Municipality,Same – covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),,Yes,"CH4, CO2, N20",,524034,,415356,,20288,,,,,,Increased,Increased energy/electricity consumption,12.55,75603,2015,POINT (-87.6898 42.0669),2021-07-16T02:03:37.903
2020,8242,City of Helsinki,Helsinki,Finland,Europe,public,Yes,2019-01-01 - 2019-12-31,City / Municipality,Same – covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),,Yes,"CH4, CO2, N20",3233000,824063,,1785915,,,,,,,,Increased,Change in weather conditions,214.25,655395,2020,POINT (24.941 60.1733),2021-07-16T02:03:37.903
2020,74423,"City of Key West, FL",Key West,United States of America,North America,public,In progress,-,City / Municipality,Same – covers entire city and nothing else,,"Not sure which one we will be using., just that it's ICLEI based.",,"CH4, CO2",,,,,,,,,,,,,,7.24,24565,2018,POINT (24.5551 81.78),2021-07-16T02:03:37.903
2020,35903,Le Grand Casablanca,Casablanca,Morocco,Africa,public,Not intending to undertake,,Metropolitan area,,,,,,,,,,,,,,,,,,,1117,3360000,2014,POINT (-7.56806 33.5206),2021-07-16T02:03:37.903
2020,848128,Ocú,,Panama,Latin America,public,Intending to undertake in the next 2 years,,City / Municipality,,,,,,,,,,,,,,,,,,,618,15539,2010,,2021-07-16T02:03:37.903
2020,54498,Ayuntamiento de Murcia,Murcia,Spain,Europe,public,Yes,2019-01-01 - 2019-12-31,City / Municipality,Larger – covers the whole city and adjoining areas,Regional or country specific methodology,"El establecido en el Pacto de las Alcaldías. El tipo de factor de emisión que se utiliza es el basado en el IPCC (Panel Intergubernamental sobre el Cambio Climático): factores de emisión para la combustión de combustible, basándose en el contenido en carbono de cada uno.",,"CH4, CO2, N20",0,0,,,,,,,,,,Decreased,Policy change,890,453258,2019,POINT (-1.00495 37.799),2021-07-16T02:03:37.903
2020,60092,City of Porvoo,Porvoo,Finland,Europe,public,Yes,2018-01-01 - 2018-12-31,City / Municipality,Same – covers entire city and nothing else,Regional or country specific methodology,ALas calculation model developed by Finnish Environment Institute (based on GPC).,,"CH4, CO2, HFCs, N20, NF3, PFCs, SF6",,,,,,,145050,51900,55350,,,Increased,"Other, please specify: Weather, Electricity, Traffic",2139.81,50380,2019,,2021-07-16T02:03:37.903
2020,46514,City of Porto,Porto,Portugal,Europe,public,Yes,2017-01-01 - 2017-12-31,City / Municipality,Same – covers entire city and nothing else,City specific methodology,The GHG emissions inventory was developed through the energy supply and demand data by the Portuguese Directorate-General for Energy and Geology (www.dgeg.pt) and the National Statistics Institute (www.ine.pt). The Transports sector was estimated through a separate and specific mobility needs model.,,"CH4, CO2, N20",,434026,,477887,,,,,,,,Increased,"Other, please specify: Increased of the Electricity Specific Emission Factor",42,237591,2011,POINT (-8.6291 41.1579),2021-07-16T02:03:37.903
2020,60656,"City of Piedmont, CA",Piedmont,United States of America,North America,public,Yes,2017-01-01 - 2017-12-31,City / Municipality,Larger – covers the whole city and adjoining areas,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),,,"CH4, CO2, N20",,,,,,,,,,,,Increased,"Other, please specify: The new IPCC assessment report increased the emissions associated with the usage. The increases could also be attributed to temperature extremes and increased usage.",4.4,11378,2017,POINT (-122.232 37.8244),2021-07-16T02:03:37.903
2020,54109,City of Bloomington,Bloomington,United States of America,North America,public,Yes,2018-01-01 - 2018-12-31,City / Municipality,Same – covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),"The GPC methodology was chosen because it a comprehensive protocol that is used by cities across the world. It was also chosen in an attempt to establish a consistent methodology for GHG accounting going forward.Now that Bloomington is a part of the Global Covenant of Mayors, using the GPC is a requirement for GHG reporting. A new GHG inventory for the community will be completed by fall 2019 using GPC and guidance from ICLEI Local Governments for Sustainability ClearPath software.",No,"CH4, CO2, N20",,,,,,,627454,829264,182942,1639657,1639657,Do not know,Change in methodology,60,85755,2019,POINT (-86.5264 39.1653),2021-07-16T02:03:37.903
2020,849042,Plottier,,Argentina,Latin America,public,Yes,2018-01-01 - 2018-12-31,City / Municipality,Same – covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),"Excel. Se utilizó la herramienta de cálculo desarrollada por la Red Argentina de Municipios frente al Cambio Climática, que fue diseñada en base al protocolo GPC para inventarios de emisiones de GEI para ciudades argentinas.",Yes,"CH4, CO2, N20",,159559.01,,20052.31,,8805.76,,,,,,This is our first year of calculation,"Other, please specify",143,42329,2018,,2021-07-16T02:03:37.903
2020,31173,Comune di Milano,Milano,Italy,Europe,public,Yes,2017-01-01 - 2017-12-31,City / Municipality,Same – covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),,No,"CH4, CO2, N20",,,,,,,3299641,2237029,160372,5266149,5425445,Decreased,Technological change,182,1404431,2019,POINT (9.08635 45.8026),2021-07-16T02:03:37.903
2020,849039,Ceres (Argentina),,Argentina,Latin America,public,Yes,2018-01-01 - 2018-12-31,City / Municipality,Same – covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),"Excel. Se utilizó la herramienta de cálculo desarrollada por la Red Argentina de Municipios frente al Cambio Climática, que fue diseñada en base al protocolo GPC para inventarios de emisiones de GEI para ciudades argentinas.",Yes,"CH4, CO2, N20",,,,,,,,,,,,This is our first year of calculation,"Other, please specify",593.83,16731,2018,,2021-07-16T02:03:37.903
2020,69840,Município de Itacoatiara,,Brazil,Latin America,public,Intending to undertake in the next 2 years,,Metropolitan area,,,,,,,,,,,,,,,,,,,8891.906,86839,2010,,2021-07-16T02:03:37.903
2020,840936,Prefeitura de Guanhães,,Brazil,Latin America,public,Intending to undertake in the next 2 years,,City / Municipality,,,,,,,,,,,,,,,,,,,1075.124,34319,2019,,2021-07-16T02:03:37.903
2020,14874,"City of Portland, OR","Portland, OR",United States of America,North America,public,Yes,2018-01-01 - 2018-12-31,City / Municipality,Larger – covers the whole city and adjoining areas,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),None.,Yes,"CH4, CO2, N20",,5209522.32,,1968592.56,,138968.17,,,,,,Decreased,Change in weather conditions,1207,811880,2018,POINT (-122.682 45.52),2021-07-16T02:03:37.903
2020,845308,Puerto Cortés,,Honduras,Latin America,public,In progress,-,City / Municipality,Larger – covers the whole city and adjoining areas,2006 IPCC Guidelines for National Greenhouse Gas Inventories,,,,,,,,,,,,,,,,,390.6,122428,2013,,2021-07-16T02:03:37.903
2020,848127,Santa Bárbara (Costa Rica),,Costa Rica,Latin America,public,Intending to undertake in the next 2 years,,City / Municipality,,,,,,,,,,,,,,,,,,,52000,42778,2020,,2021-07-16T02:03:37.903
2020,57347,Pingtung County Government,Pingtung County,"Taiwan, Greater China",East Asia,public,Yes,2018-01-01 - 2018-12-31,Province / County,Same – covers entire city and nothing else,Regional or country specific methodology,"In the early 2000s, Taiwan's government tended to build a method for GHG inventory. However, the lack of objectivity results from the differences in the emission categories, calculation methods, selection of activity data, and data sources of the municipalities. Therefore, theGuidelines for City Level Greenhouse Gas Inventorieswas proposed by the Environmental Protection Administration (EPA), the inventory followed the International Local Government Greenhouse Gas Emissions Analysis Protocol (IEAP) by Intergovernmental Panel on Climate Change (IPCC). TheGuidelines for City Level Greenhouse Gas Inventoriesnot only followed the five basic principles of greenhouse gas inventories: relevance, completeness, consistency, accuracy, and transparency but also highly connected to the international trend. In this case, the method is considered a self-assessment of reducing GHG for each city and being inspectable and verifiable internationally.",,"CH4, CO2, N20, SF6",,,,,,,2521096.06,2456552.31,,,,Decreased,Behavioural change,2775,816636,2020,POINT (120.47 22.6558),2021-07-16T02:03:37.903
2020,50671,Município de Fafe,Fafe,Portugal,Europe,public,Not intending to undertake,,City / Municipality,,,,,,,,,,,,,,,,,,,219.08,50633,2011,POINT (-8.17286 41.4508),2021-07-16T02:03:37.903
2020,54652,Prefeitura de Osasco,Osasco,Brazil,Latin America,public,Not intending to undertake,,City / Municipality,,,,,,,,,,,,,,,,,,,64,676,2017,POINT (23.5328 46.7919),2021-07-16T02:03:37.903
2020,14088,City of Oslo,Oslo,Norway,Europe,public,Yes,2018-01-01 - 2018-12-31,City / Municipality,Same – covers entire city and nothing else,"Other, please specify","The Norwegian Environment Agency publish annual greenhouse gas emission inventories for municipalities in Norway, including Oslo. The inventories cover scope 1 emissions as defined in the GHG protocol for cities ('territorial emissions'), and heavily rely on the methodology and factors described in the 2006 IPCC Guidelines. The city of Oslo report the inventory unaltered from the Norwegian Environment Agency. The Climate Agency has coded the emission sources to GPC references. Details are included in the attachment.",,"CH4, CO2, N20",270657,791886,,,,,,,,,,Decreased,Policy change,454,673469,2017,POINT (10.7522 59.9139),2021-07-16T02:03:37.903
2020,60110,Municipality of Chişinău,Municipality of Chişinău,Republic of Moldova,Europe,public,,,City / Municipality,,,,,,,,,,,,,,,,,,,123,2550000,2020,,2021-07-16T02:03:37.903
2020,35853,City of Baltimore,Baltimore,United States of America,North America,public,Yes,2017-01-01 - 2017-12-31,Independent city,Same – covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),,Yes,"CH4, CO2, N20",120614,4687611,,2784290,,,,,,,,Increased,"Other, please specify: Improved data accuracy and change in available data",129.2947,593490,2019,POINT (-76.6122 39.2904),2021-07-16T02:03:37.903
2020,58668,"City of New Bedford, MA",New Bedford,United States of America,North America,public,Yes,2018-01-01 - 2018-12-31,City / Municipality,Same – covers entire city and nothing else,"Other, please specify: EPA Calculator",,,"CH4, CO2, N20",0,728024,0,0,0,0,,,,,,Decreased,"Other, please specify",62.5,95120,2017,POINT (-70.9342 41.6362),2021-07-16T02:03:37.903
2020,849040,General Pueyrredon,,Argentina,Latin America,public,Yes,2018-01-01 - 2018-12-31,City / Municipality,Same – covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),"Comment: Excel. Se utilizó la herramienta de cálculo desarrollada por la Red Argentina de Municipios frente al Cambio Climática, que fue diseñada en base al protocolo GPC para inventarios de emisiones de GEI para ciudades argentinas.",Yes,"CH4, CO2, N20",,,,,,,,,,,,This is our first year of calculation,"Other, please specify",1460.74,650332,2018,,2021-07-16T02:03:37.903
2020,54409,City of Espoo,Espoo,Finland,Europe,public,Yes,2019-01-01 - 2019-12-31,City / Municipality,Same – covers entire city and nothing else,Regional or country specific methodology,The emission inventory of the city of Espoo  has been calculated by using a regionally developed methodology equivalent to GPC (and IPCC guidelines).  The organization responsible for the calculations is the Helsinki Region Environmental Services Authority HSY.,,"CH4, CO2, N20",,878000,,213000,,,,,,,,Decreased,Technological change,312,289731,2019,POINT (24.6559 60.2055),2021-07-16T02:03:37.903
2020,826208,Junta Intermunicipal de Medio Ambiente de Sierra Occidental y Costa (JISOC),JISOC,Mexico,Latin America,public,Yes,-,Intercommunality,Same – covers entire city and nothing else,U.S. Community Protocol for Accounting and Reporting of Greenhouse Gas Emissions (ICLEI),,,"CH4, CO2, N20",,,,,,,,,,,,,,9395,344325,2015,POINT (-104.783 20.517),2021-07-16T02:03:37.903
2020,54116,City of Dubuque,Dubuque,United States of America,North America,public,Yes,2018-01-01 - 2018-12-31,City / Municipality,Same – covers entire city and nothing else,U.S. Community Protocol for Accounting and Reporting of Greenhouse Gas Emissions (ICLEI),,,"CH4, CO2, N20",,,,,,,,,,,,Decreased,Technological change,77.62,57882,2019,POINT (-90.5071 42.5006),2021-07-16T02:03:37.903
2020,50356,Ayuntamiento de Morelia,Morelia,Mexico,Latin America,public,Intending to undertake in the next 2 years,,City / Municipality,,,,,,,,,,,,,,,,,,,1196950,784776,2015,POINT (-117.069 32.5026),2021-07-16T02:03:37.903
2020,31163,Istanbul Metropolitan Municipality,Istanbul,Turkey,Europe,public,Yes,2019-01-01 - 2019-12-31,Metropolitan area,Same – covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),Calculations made based on GPC Methodology but answers entered in CRF format as desired.,Yes,"CH4, CO2, N20",2469405,31333196,,19418552,,4903371,,,,,,Decreased,"Other, please specify: In some fields (fuel consumption and transportation), a decreasement has been shown.",5.313,15519267,2019,POINT (28.9784 41.0082),2021-07-16T02:03:37.903
2020,31009,City of Copenhagen,Copenhagen,Denmark,Europe,public,Yes,2018-01-01 - 2018-12-31,City / Municipality,Same – covers entire city and nothing else,City specific methodology,"The GHG accounting methodology is based on the 'CO2-calculator' developed for Local Government Denmark in 2008/9.  The methodology behind the calculator was developed by National Environmental Research Institute as an adaptation of the IPCC guidelines. The original methodological guidance is available in Danish online: https://www.dmu.dk/Pub/FR700.pdfThe calculator has since been discontinued, but the approach was adopted and continued manually by the city of Copenhagen and has subsequently been further developed. The municipal administration has detailed the approach, procedures and methodological changes in a methodological standard that is maintained by the Climate Change Unit.",,"CH4, CO2, HFCs, N20, PFCs, SF6",1846459,606636,,802501,,,,,,,,Increased,Change in accounting methodology,91.3,623500,2019,POINT (12.5683 55.6761),2021-07-16T02:03:37.903
2020,834374,Tagum City,,Philippines,Southeast Asia and Oceania,public,Yes,2016-01-01 - 2016-12-31,City / Municipality,Same – covers entire city and nothing else,2006 IPCC Guidelines for National Greenhouse Gas Inventories,,,"CH4, CO2, N20",,,,,,,,,,,,This is our first year of calculation,Lack of resource / funding overcome,195.8,259444,2015,,2021-07-16T02:03:37.903
2020,840935,Prefeitura de Brasiléia,,Brazil,Latin America,public,Not intending to undertake,,City / Municipality,,,,,,,,,,,,,,,,,,,3916.507,25848,2018,,2021-07-16T02:03:37.903
2020,60599,"Town of Bridgewater, NS",Bridgewater,Canada,North America,public,Intending to undertake in the next 2 years,,City / Municipality,,,,,,,,,,,,,,,,,,,13.63,8532,2016,POINT (-64.5188 44.3786),2021-07-16T02:03:37.903
2020,3422,Greater London Authority,London,United Kingdom of Great Britain and Northern Ireland,Europe,public,Yes,2018-01-01 - 2018-12-31,City / Municipality,Same – covers entire city and nothing else,City specific methodology,IPCC guidance is used & for some sub-sectors emission estimates either modelled or measured are used,,"CH4, CO2, HFCs, N20, NF3, PFCs, SF6",1288861.33,20652935,,6175088,,374112,,,,,,Decreased,Technological change,1595,8908081,2018,POINT (-0.07868 51.5048),2021-07-16T02:03:37.903
2020,42384,Göteborgs Stad,Göteborg,Sweden,Europe,public,Yes,2017-01-01 - 2017-12-31,City / Municipality,Same – covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),,Yes,"CH4, CO2, N20",848459,2031483,,1595790,,,,,,,,Decreased,"Other, please specify",44784,579281,2019,,2021-07-16T02:03:37.903
2020,826238,Alcaldia de Mosquera,Mosquera,Colombia,Latin America,public,Intending to undertake in the next 2 years,,City / Municipality,,,,,,,,,,,,,,,,,,,107,86954,2017,POINT (-74.2302 4.70592),2021-07-16T02:03:37.903
2020,35880,Municipality of Porto Alegre,Porto Alegre,Brazil,Latin America,public,Yes,2013-01-01 - 2013-12-31,City / Municipality,Same – covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),"A elaboração do inventário de GEE teve como base as metodologias propostas pelo Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC), com cálculos em consonância com as orientações de 2006 do IPCC para inventários nacionais de GEE, atendendo aos princípios de relevância, abrangência, consistência, transparência e exatidão.",Yes,"CH4, CO2, HFCs, N20, NF3, PFCs, SF6",,2478424,350704,,,,,,,,,Do not know,"Other, please specify",496.682,1479101,2010,POINT (51 30),2021-07-16T02:03:37.903
2020,35274,"City of Portland, ME",Portland,United States of America,North America,public,Yes,2017-01-01 - 2017-12-31,City / Municipality,Same – covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),,Yes,"CH4, CO2, N20",,,,,,,,,,,,,,55.2,66937,2017,POINT (-70.2553 43.6615),2021-07-16T02:03:37.903
2020,834313,Municipality of Tópaga,,Colombia,Latin America,public,Yes,2018-01-01 - 2018-12-31,City / Municipality,Same – covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),Fue la metodología que la red ICLEi y el GCoM facilitó al municipio.  Sin embargo el MADS aconsejo ceñirse a la metodología empleada en el inventario nacional de GEI contenido en la Tercera comunicación nacional para evitar conflictos en el momento de ingresar datos sobre medidas de reducción al RENARE,No,"CH4, CO2, N20",,,,,,,18078050,394580,50646190,10385660,69118810,This is our first year of calculation,,37,3956,2018,,2021-07-16T02:03:37.903
2020,849044,Villa Amelia,,Argentina,Latin America,public,Yes,2018-01-01 - 2018-12-31,City / Municipality,Same – covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),"Excel. Se utilizó la herramienta de cálculo desarrollada por la Red Argentina de Municipios frente al Cambio Climática, que fue diseñada en base al protocolo GPC para inventarios de emisiones de GEI para ciudades argentinas.",Yes,"CH4, CO2, N20",,13512.89,,714.95,,531.52,,,,,,This is our first year of calculation,"Other, please specify",76,1488,2018,,2021-07-16T02:03:37.903
2020,53959,"City of Fayetteville, AR",Fayetteville,United States of America,North America,public,Yes,2019-01-01 - 2019-12-31,City / Municipality,Same – covers entire city and nothing else,U.S. Community Protocol for Accounting and Reporting of Greenhouse Gas Emissions (ICLEI),,,"CH4, CO2, N20",,,,,,,529606,865107,0,,,Decreased,Technological change,143,91400,2019,POINT (-94.1719 36.0821),2021-07-16T02:03:37.903
2020,840035,Cerrito,,Argentina,Latin America,public,Yes,2018-01-01 - 2018-12-31,City / Municipality,Same – covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),"Excel. Se utilizó la herramienta de cálculo desarrollada por la Red Argentina de Municipios frente al Cambio Climática, que fue diseñada en base al protocolo GPC para inventarios de emisiones de GEI para ciudades argentinas.",Yes,"CH4, CO2, N20",,24301.69,,2471.3,,447.17,,,,,,This is our first year of calculation,"Other, please specify",77,6874,2018,,2021-07-16T02:03:37.903
2020,54349,Balikpapan City Government,,Indonesia,Southeast Asia and Oceania,public,Yes,2018-01-01 - 2018-12-31,City / Municipality,Same – covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),,Yes,"CH4, CO2, N20",,,,,,,,,,,,Decreased,Improved data accuracy,503.33,655178,2019,POINT (116.831 -1.26539),2021-07-16T02:03:37.903
2020,54364,City of Kuala Lumpur,Kuala Lumpur,Malaysia,Southeast Asia and Oceania,public,In progress,2017-01-01 - 2017-12-31,City / Municipality,Same – covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),"Low Carbon Society Blueprint  is using the GHG modelling based on the internationally recognized Asia Pacific Integrated model AIM.GHG emissions modelling includes energy (extended snapshot tools), waste (solid waste model) and carbon storage & sequestration (carbon sink model).GHG emission modelling was based on the Asia Pacific Integrated Model (AIM) whic quantifies GHG emissions for Kuala Lumpur for Business as Usual (BaU) and counter measure (CM) scenarios for 2020 and 2030.",,"CH4, CO2, N20",,,,,,,,,,,,,,243,1790000,216,POINT (101.687 3.139),2021-07-16T02:03:37.903
2020,73701,San Carlos Sud,,Argentina,Latin America,public,Yes,2018-01-01 - 2018-12-31,City / Municipality,Same – covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),"Excel. Se utilizó la herramienta de cálculo desarrollada por la Red Argentina de Municipios frente al Cambio Climática, que fue diseñada en base al protocolo GPC para inventarios de emisiones de GEI para ciudades argentinas.",Yes,"CH4, CO2, N20",0,35803.01,0,2937.32,0,531.49,,,,,,Increased,Change in available data,95,2233,2018,,2021-07-16T02:03:37.903
2020,839667,Municipio de Guanagazapa,,Guatemala,Latin America,public,Yes,2019-01-01 - 2020-01-01,City / Municipality,Same – covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),Seguiremos usando el formato GPC,,"CH4, CO2, N20",,,,,,,,,,,,Do not know,"Other, please specify",220,20083,2019,,2021-07-16T02:03:37.903
