Year Reported to CDP,Account Number,Organization,City,Country,CDP Region,Access,City-wide emissions inventory,Accounting year,Administrative city boundary,Inventory boundary (compared to Administrative city boundary),Primary Protocol,Primary Protocol Comment,Gases Included,Direct emissions (metric tonnes CO2e) for Total generation of grid-supplied energy,Direct emissions (metric tonnes CO2e) for Total emissions (excluding generation of grid-supplied energy),Indirect emissions from use of grid supplied energy (metric tonnes CO2e) for Total generation of grid supplied energy,Indirect emissions from use of grid supplied energy (metric tonnes CO2e) for Total Emissions (excluding generation of grid-supplied energy),Emissions occurring outside city boundary (metric tonnes CO2e) for Total Generation of grid supplied energy,Emissions occurring outside city boundary (metric tonnes CO2e) for Total Emissions (excluding generation of grid-supplied energy),TOTAL Scope 1 Emissions (metric tonnes CO2e),TOTAL Scope 2 emissions (metric tonnes CO2e),TOTAL Scope 3 Emissions,TOTAL BASIC Emissions (GPC),TOTAL BASIC+ Emissions (GPC),Change in emissions,Primary reason for the change in emissions,Land area (in square km),Population,Population Year,City Location,Last update
2021,859176,Aka Village,,Japan,East Asia,public,,,City / Municipality,,,,,,,,,,,,,,,,,,,,0,,10/04/2021 09:23:47 AM
2021,54293,People's Government of Guangzhou Municipality,Guangzhou,China,East Asia,public,Yes,2018-01-01 - 2018-12-31,City / Municipality,Same – covers entire city and nothing else,Regional or country specific methodology,,"CH4, CO2, HFCs, N20, NF3, PFCs, SF6",,,,,,,,,,,,,,7436,15305900,2019,POINT (113.264 23.1291),10/04/2021 09:23:47 AM
2021,5871,Essex County Council,,United Kingdom of Great Britain and Northern Ireland,Europe,public,Yes,2018-01-01 - 2018-12-31,Province / County,Same – covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),SCATTER.,"CH4, CO2, N20",,,,,,,,,,,,Increased,Change in accounting methodology,3465,1498181,2020,,10/04/2021 09:23:47 AM
2021,31156,Municipality of Curitiba,Curitiba,Brazil,Latin America,public,Yes,2016-01-01 - 2016-12-31,City / Municipality,Same – covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),O inventário foi realizado segundo a abordagem do nível Básico.,"CH4, CO2, N20",,3045254,,368882,,90910,,,,,,Decreased,Technological change,432036,1948626,2020,POINT (-49.2647 -25.4311),10/04/2021 09:23:47 AM
2021,859132,Iwakura City,,Japan,East Asia,public,,,City / Municipality,,,,,,,,,,,,,,,,,,,,0,,10/04/2021 09:23:47 AM
2021,859091,Matsubushi Town,,Japan,East Asia,public,,,City / Municipality,,,,,,,,,,,,,,,,,,16.2,28684,2021,,10/04/2021 09:23:47 AM
2021,862482,San Pedro Garza García,,Mexico,Latin America,public,In progress,2020-01-01 - 2020-12-31,City / Municipality,Smaller – covers only part of the city,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),,"CH4, CO2, N20",,,,,,,,,,,,,,70,132169,2020,,10/04/2021 09:23:47 AM
2021,50203,Gaziantep Metropolitan Municipality,Gaziantep,Turkey,Europe,public,Yes,2015-01-01 - 2015-12-31,City / Municipality,Same – covers entire city and nothing else,2006 IPCC Guidelines for National Greenhouse Gas Inventories,,"CH4, CO2, HFCs, N20, PFCs, SF6",,,,,,,,,,,,Increased,Population increase,7642,2101157,2020,,10/04/2021 09:23:47 AM
2021,36501,Comune di Prato,Prato,Italy,Europe,public,Yes,2016-01-01 - 2016-12-31,City / Municipality,Same – covers entire city and nothing else,Regional or country specific methodology,,CO2,,461023.72,403280.91,,,,,,,,,Decreased,Policy change,97.59,195089,2019,,10/04/2021 09:23:47 AM
2021,73667,San Rafael de Heredia,,Costa Rica,Latin America,public,In progress,2019-12-02 - 2020-11-30,City / Municipality,Partial – covers part of the city and adjoining ar,2006 IPCC Guidelines for National Greenhouse Gas Inventories,,"CH4, CO2, HFCs, N20",,,,,,,,,,,,,,48.9,55269,2020,,10/04/2021 09:23:47 AM
2021,859191,Nakatane Town,,Japan,East Asia,public,,,City / Municipality,,,,,,,,,,,,,,,,,,,,0,,10/04/2021 09:23:47 AM
2021,2430,"City of Burlington, VT",Burlington,United States of America,North America,public,Yes,2015-01-01 - 2015-12-31,City / Municipality,Larger – covers the whole city and adjoining areas,"Other, please specify: Local Government Greenhouse Gas (GHG) Emissions Analysis Protocol developed by the Climate Registry and ICLEI",,CO2,0,359615,,,,,,,,,,Decreased,"Other, please specify: Change in energy source",27.5,42284,2015,POINT (-73.2121 44.4759),10/04/2021 09:23:47 AM
2021,54529,City of Leicester,Leicester,United Kingdom of Great Britain and Northern Ireland,Europe,public,Yes,2018-01-01 - 2018-12-31,City / Municipality,Same – covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),,"CH4, CO2, N20",557.59,1145139.75,0,378332.35,94.73,335844.19,,,,,,Increased,Change in accounting methodology,73.35,355218,2018,POINT (-1.1333 52.6333),10/04/2021 09:23:47 AM
2021,31110,Roma Capitale,Roma,Italy,Europe,public,Yes,2015-01-01 - 2015-12-31,Special city,Same – covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),,"CH4, CO2, N20",,,,,,,,,,,,Decreased,"Other, please specify: Grazie agli aggiornamenti legislativi (per esempio le direttive sul rinnovo del parco veicolore)  e all'avanzamento tecnologico",1287,2822981,2020,POINT (12.2858 41.53),10/04/2021 09:23:47 AM
2021,859167,Imabari City,,Japan,East Asia,public,,,City / Municipality,,,,,,,,,,,,,,,,,,,,0,,10/04/2021 09:23:47 AM
2021,839669,Municipio de San Jose,,Guatemala,Latin America,public,Yes,2021-01-01 - 2022-01-01,City / Municipality,Same – covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),Porque se considero el indicado en nuestro Municipio.,"CH4, CO2, N20",,,,,,,,,,,,Do not know,"Other, please specify: Por ser primer inventario",280,67611,2021,,10/04/2021 09:23:47 AM
2021,44196,Hwaseong Metropolitan Government,Hwaseong-si,Republic of Korea,East Asia,public,Intending to undertake in the next 2 years,,City / Municipality,,,,,,,,,,,,,,,,,,698.19,896967,2021,,10/04/2021 09:23:47 AM
2021,49330,"Kansas City, MO",Kansas City,United States of America,North America,public,Yes,2019-01-01 - 2019-12-31,Independent city,Same – covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),"While the ICLEI protocol was used, the ICLEI format was not used. Consultant The Brendle Group developed their own Excel spreadsheet that we used for 2013 and 2017 updates. That spreadsheet is uploaded.","CH4, CO2, N20",,,,,,,,,,,,Increased,"Other, please specify: Reduced emissions factors of the local electric utility by increased reliance on renewable energy sources",826,503443,2021,POINT (-94.573 39.1429),10/04/2021 09:23:47 AM
2021,831999,Concejo Municipal de Distrito de Monte Verde,,Costa Rica,Latin America,public,Yes,2016-01-01 - 2016-12-31,Sub-municipal district,Same – covers entire city and nothing else,Regional or country specific methodology,"La metodología utilizada para la medición, reporte y verificación de las emisiones, reducciones , remociones y compensaciones de GEI a nivel cantonal para Costa Rica fue elaborado por la Dirección de Cambio Climático del Ministerio de Ambiente y Energía de Costa Rica.  Esta implica la actualización por parte de cada cantón /distrito cada 3 años.","CH4, CO2, HFCs, N20, NF3, PFCs, SF6",,14600.62,,,,1418.96,,,,,,This is our first year of calculation,"Other, please specify: Aún no se presentan cambios",53.14,6624,2020,,10/04/2021 09:23:47 AM
2021,859087,Shiki City,,Japan,East Asia,public,,,City / Municipality,,,,,,,,,,,,,,,,,,,,0,,10/04/2021 09:23:47 AM
2021,73712,Camilo Aldao,,Argentina,Latin America,public,Yes,2018-01-01 - 2018-12-31,City / Municipality,Same – covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),"Excel. Se utilizó la herramienta de cálculo desarrollada por la Red Argentina de Municipios frente al Cambio Climática, que fue diseñada en base al protocolo GPC para inventarios de emisiones de GEI para ciudades argentinas.","CH4, CO2, N20",0,40446.9,0,2805.77,0,507.69,,,,,,Increased,Improved data accuracy,437,5209,2010,,10/04/2021 09:23:47 AM
2021,73669,"San Luis Obispo, CA",,United States of America,North America,public,Yes,2016-01-01 - 2016-12-31,City / Municipality,Same – covers entire city and nothing else,U.S. Community Protocol for Accounting and Reporting of Greenhouse Gas Emissions (ICLEI),"The City prepared a 2016 comprehensive community-wide and local government GHG emissions inventory update compliant with all relevant protocols and guidance documents including the U.S. CommunityProtocol, Local Government Operations Protocol (LGOP), the Global Protocol for CommunityScale GHG Emissions (GPC), and the Intergovernmental Panel on Climate Change (IPCC) Guidelines for National GHG Inventories.","CH4, CO2, N20",,255610,,83680,,,,,,,,Decreased,Technological change,33.5,46802,2019,,10/04/2021 09:23:47 AM
2021,44184,Ulsan Metropolitan Government,Ulsan-si,Republic of Korea,East Asia,public,Yes,2020-01-01 - 2020-12-31,Local government area within a greater city / metropolitan area,Same – covers entire city and nothing else,2006 IPCC Guidelines for National Greenhouse Gas Inventories,"우리 시는 국가 온실가스 통계 기준인 IPCC 가이드라인에 따라 배출량을 산정했습니다.일부 정부(환경부, 한국환경공단)에서 제안한 방법론 적합니다.","CH4, CO2, HFCs, N20, PFCs, SF6",0,40627460,0,15653830,0,0,,,,,,Increased,Increased energy/electricity consumption,1061.54,1153901,2020,,10/04/2021 09:23:47 AM
2021,60105,Kirklees Council,Huddersfield,United Kingdom of Great Britain and Northern Ireland,Europe,public,Yes,2018-01-01 - 2018-12-31,Metropolitan area,Same – covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),,"CH4, CO2, N20",17535.96,1688283.92,0,414897.89,2437.05,640510.64,,,,,,Increased,Increased energy/electricity consumption,408.6,438727,2018,,10/04/2021 09:23:47 AM
2021,834196,Miyoshi City,,Japan,East Asia,public,,,City / Municipality,,,,,,,,,,,,,,,,,,,,0,,10/04/2021 09:23:47 AM
2021,43938,"The Executive Council, Govt of Dubai",Dubai,United Arab Emirates,Middle East,public,Yes,2019-01-01 - 2019-12-31,City / Municipality,Same – covers entire city and nothing else,City specific methodology,The GPC  is used along with the revised IPCC 1996 Guidelines to calculate the city-wide GHG emissions of Dubai.,"CH4, CO2, N20",22500437,26362398,0,0,0,0,,,,,,Increased,Population increase,4477,3411200,2020,POINT (55.2708 25.2048),10/04/2021 09:23:47 AM
2021,60408,Municipalidad de Talca,,Chile,Latin America,public,Intending to undertake in the next 2 years,,City / Municipality,,,,,,,,,,,,,,,,,,232,220357,2017,,10/04/2021 09:23:47 AM
2021,840371,Falkoping Kommun,Falköping,Sweden,Europe,public,Yes,2018-01-01 - 2018-12-31,City / Municipality,Same – covers entire city and nothing else,Regional or country specific methodology,"Swedish database""Emissioner av Växthusgaser totalt som CO2-ekvivalenter""Länsrapport, http://www.airviro.smhi.se/cgi-bin/RUS/apub.html_rusreport.cgi","CH4, CO2, HFCs, N20, PFCs, SF6",721,231610,,23646,,,,,,,,Decreased,,1045,33334,2020,,10/04/2021 09:23:47 AM
2021,63862,"City of Ashland, OR",,United States of America,North America,public,In progress,2020-01-01 - 2020-12-31,City / Municipality,Same – covers entire city and nothing else,U.S. Community Protocol for Accounting and Reporting of Greenhouse Gas Emissions (ICLEI),"Previous inventories used US community protocol. We have since shifted to a market based inventory that more accurately reflects our emissions. It's possible to create another US Community protool using different carbon intensities for electricity, but that work remains to be completed.","CH4, CO2, HFCs, N20",,,,,,,,,,,,,,17.1,21056,2019,,10/04/2021 09:23:47 AM
2021,60274,Prefeitura de Cruzeiro do Sul,Cruzeiro do Sul,Brazil,Latin America,public,Intending to undertake in the next 2 years,,City / Municipality,,,,,,,,,,,,,,,,,,8783470,78507,2010,POINT (-72.6761 -7.62799),10/04/2021 09:23:47 AM
2021,31149,City of Athens,Athens,Greece,Europe,public,Yes,2019-01-01 - 2019-12-31,City / Municipality,Same – covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),Emissions are estimated according to GPC and IPCC.National factors derive from NIR.,"CH4, CO2, HFCs, N20, NF3, PFCs, SF6",0,1587592,0,1721213,0,1273157,,,,,,Decreased,Change in weather conditions,39,661299,2019,POINT (23.7275 37.9838),10/04/2021 09:23:47 AM
2021,31114,City of Sydney,City of Sydney,Australia,Southeast Asia and Oceania,public,Yes,2019-07-01 - 2020-06-30,Local government area within a greater city / metropolitan area,Same – covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),,"CH4, CO2, HFCs, N20, NF3, PFCs, SF6",0,694290.14,281199.77,2491844.42,0,12839.18,,,,,,Decreased,Behavioural change,26.72,248736,2020,POINT (151.207 -33.8675),10/04/2021 09:23:47 AM
2021,63543,Fredensborg Kommune,Fredensborg,Denmark,Europe,public,Yes,2018-01-01 - 2018-12-31,City / Municipality,Same – covers entire city and nothing else,Regional or country specific methodology,Energi- og CO2-regnskabet from sparenergi.dk; Based on Global Protocol for Community-scale GHGEmissions Inventories,"CH4, CO2, HFCs, N20, NF3, PFCs, SF6",0,104668,,57171,,39407,,,,,,Increased,Change in accounting methodology,112,41047,2021,POINT (12.4058 55.9747),10/04/2021 09:23:47 AM
2021,50356,Ayuntamiento de Morelia,Morelia,Mexico,Latin America,public,Intending to undertake in the next 2 years,,City / Municipality,,,,,,,,,,,,,,,,,,1196950,784776,2015,POINT (-117.069 32.5026),10/04/2021 09:23:47 AM
2021,861779,Järfälla Municipality,,Sweden,Europe,public,Yes,2017-01-01 - 2018-01-01,City / Municipality,Same – covers entire city and nothing else,Regional or country specific methodology,,"CH4, CO2, HFCs, N20, NF3, PFCs, SF6",,,,,,,30779.74,42581,2554,,,Decreased,"Other, please specify",63.5,78480,2018,,10/04/2021 09:23:47 AM
2021,50398,Ciudad de Juárez,Juárez,Mexico,Latin America,public,Intending to undertake in the next 2 years,,City / Municipality,,,,,,,,,,,,,,,,,,3561.14,1501551,2020,POINT (-106.425 31.6904),10/04/2021 09:23:47 AM
2021,31150,Bangkok Metropolitan Administration,Bangkok,Thailand,Southeast Asia and Oceania,public,Yes,2016-01-01 - 2016-12-31,Local government area within a greater city / metropolitan area,Same – covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),-,"CH4, CO2, N20",,,,,,,,,,,,Stayed the same,"Other, please specify: Slightly increase from 41.3 to 41.5 MtCO2e",1568.737,8420887,2016,POINT (100.556 13.7712),10/04/2021 09:23:47 AM
2021,54478,Gemeente Nijmegen,Nijmegen,Netherlands,Europe,public,Yes,2019-01-01 - 2019-12-31,City / Municipality,Same – covers entire city and nothing else,City specific methodology,"Natural gas:The CO2 emissions factor for natural gas is extracted from the national list https://www.co2emissiefactoren.nl/lijst-emissiefactoren/  Natural gas in the Netherlands is called ""aardgas"" . The CO2 emissionsfactor for natural gas is  1.884 kg CO2 per m3.Electricity:The national used CO2 emissionsfactor for electricity is reported by the ""Centraal Bureau voor de Statistiek (CBS)"" : https://www.cbs.nl/nl-nl/achtergrond/2021/08/rendementen-en-co2-emissie-van-elektriciteitsproductie-in-nederland-update-2019These reported emissionsfactors are used by national research institutions for monitoring and evaluating GHG emissions and can be seen as national standardized emissionsfactors.The emissionfactors are reported annually. Within the CO2 emissionfactor, the non renewable (mix of fossil fuels) and renewable energysources are taken in to account. This emissionfactor differs annually due to 1) the transition from coal  plants to natural gas for the production of electricity  and 2) due to the growing percentage of solar power and windpower in the Netherlands. The emissionfactor fluctuated from 2000 till 2017 between 0.56 and 0.44 kg CO2/kWh. In 2018 it was 0.43 and in 2019 0.37 kg CO2/kWh. All these emissionsfactors are notated in the sheet ""Emission factors"" in de CIRIS standardized format excel spreadsheet.","CH4, CO2, N20",,301820,,315213,,,,,,,,Decreased,Behavioural change,57.6,179000,2019,POINT (5.84282 51.8449),10/04/2021 09:23:47 AM
2021,54277,New Plymouth District Council,New Plymouth District,New Zealand,Southeast Asia and Oceania,public,Yes,2017-07-01 - 2018-07-01,City / Municipality,Same – covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),,"CH4, CO2, HFCs, N20",1555,1625538,,152494,,,,,,,,This is our first year of calculation,,2324,84400,2021,POINT (174.354 -39.1011),10/04/2021 09:23:47 AM
2021,859192,Tokunoshima Town,,Japan,East Asia,public,,,City / Municipality,,,,,,,,,,,,,,,,,,,,0,,10/04/2021 09:23:47 AM
2021,859143,Miyazu City,,Japan,East Asia,public,Yes,2010-04-01 - 2011-03-31,City / Municipality,Same – covers entire city and nothing else,Regional or country specific methodology,,"CH4, CO2, N20",,,,,,,,,,,,Decreased,,,,0,,10/04/2021 09:23:47 AM
2021,43917,Sofia Municipality,Sofia,Bulgaria,Europe,public,Yes,2018-01-01 - 2018-12-31,City / Municipality,Same – covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),"The inventory covers the following sectors: Stationary energy - residential, municipal, and tertiary buildings, equipment and facilities; manufacturing industries and construction; agriculture and forestry; fugitive emissions from natural gas systems; Transportation - road, railroad, aviation.Waste - waste management and wastewater treatment. For each of the sectors identified in the methodology, the available data in the municipality of Sofia has been collected. Additional information from a large number of private and public organizations has also been obtained. The inventory covers all of the 24 districts of Sofia municipality.","CH4, CO2, N20",,,,,,,,,,,,Decreased,"Other, please specify: Emission reduction actions",1311,1328120,2018,POINT (23.3219 42.6977),10/04/2021 09:23:47 AM
2021,35863,eThekwini Municipality,Durban,South Africa,Africa,public,Yes,2019-01-01 - 2019-12-31,Metropolitan area,Same – covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),,"CH4, CO2, N20",,,,,,,,,,,,Increased,Improved data accuracy,2556,3987578,2019,POINT (31.0218 -29.8587),10/04/2021 09:23:47 AM
2021,862673,"City of Selkirk, MB",,Canada,North America,public,Yes,2020-01-01 - 2020-12-31,City / Municipality,Smaller – covers only part of the city,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),,CO2,,,,,,,,,,,,Decreased,Behavioural change,24.87,10603,2020,,10/04/2021 09:23:47 AM
2021,826243,Alcaldia de Cartago,Cartago,Colombia,Latin America,public,Intending to undertake in the next 2 years,,City / Municipality,,,,,,,,,,,,,,,,,,279000,138042,2021,POINT (-83.9194 9.86444),10/04/2021 09:23:47 AM
2021,73671,Godoy Cruz,,Argentina,Latin America,public,Yes,2018-01-01 - 2018-12-31,City / Municipality,Same – covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),"Excel. Se utilizó la herramienta de cálculo desarrollada por la Red Argentina de Municipios frente al Cambio Climática, que fue diseñada en base al protocolo GPC para inventarios de emisiones de GEI para ciudades argentinas.","CH4, CO2, N20",,,,,,,,,,,,Decreased,Change in available data,225.3,199392,2018,,10/04/2021 09:23:47 AM
2021,54119,"City of Palo Alto, CA",Palo Alto,United States of America,North America,public,Yes,2019-01-01 - 2019-12-31,City / Municipality,Same – covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),,"CH4, CO2, N20",,475666.36,,,,6658.81,,,,,,Increased,Change in data collection methods,66.95,68990,2019,POINT (-122.143 37.4419),10/04/2021 09:23:47 AM
2021,859178,Ureshino City,,Japan,East Asia,public,,,City / Municipality,,,,,,,,,,,,,,,,,,,,0,,10/04/2021 09:23:47 AM
2021,36494,Comune di Padova,Padova,Italy,Europe,public,Yes,2017-01-01 - 2017-12-31,City / Municipality,Same – covers entire city and nothing else,"Other, please specify: JRC methodology for drafting the Baseline Emission Inventory within the Covenant of Mayors initiative",The methodology is based on the final energy consumptions occurring within the municipal boundary by sector.  The convertion between energy consumptions and CO2 emissions is performed through specific emission factors for each energy carrier (different GWP potentials).,CO2,235067,844474,,465541,,,,,,,,Decreased,Technological change,92.85,210440,2017,POINT (11.8768 45.4064),10/04/2021 09:23:47 AM
2021,859083,Katashina Village,,Japan,East Asia,public,,,City / Municipality,,,,,,,,,,,,,,,,,,,,0,,10/04/2021 09:23:47 AM
2021,834126,Dobong-gu Municipal Government,,Republic of Korea,East Asia,public,Yes,2017-01-01 - 2017-12-31,City / Municipality,Same – covers entire city and nothing else,Regional or country specific methodology,"Korea Environment Corporation’s (KECO) 「Guidelines for Calculating Greenhouse Gas Emissions (September, 2010)」, based on the 2006 IPCC guidelines was used.The calculation of emissions was performed on direct emissions in which GHG is generated directly from the source (Scope 1), and indirect emissions in which GHG is generated by the consumption of power, heat, and water (Scope 2), mixed emissions to identify the characteristics of greenhouse gas emissions due to the production-consumption relationship within the local governments, and emissions considering the authority of local governments to manage the emission sources. The greenhouse gases subject to inventory construction were composed of 6 substances: CO2, CH4, N2O, PCFs, HFCs, SF6, and the period was from 2000 to 2008, in consideration of the domestic statistical publishing system.","CH4, CO2, HFCs, N20, PFCs, SF6",,711226,,472815,,,,,,,,Decreased,Behavioural change,20.64,327361,2020,,10/04/2021 09:23:47 AM
2021,60337,Prefeitura de Quissamã,,Brazil,Latin America,public,Not intending to undertake,,City / Municipality,,,,,,,,,,,,,,,,,,719.2,20242,2010,,10/04/2021 09:23:47 AM
2021,36261,Comune di Bolzano,Bolzano,Italy,Europe,public,Yes,2017-01-01 - 2017-12-31,City / Municipality,Same – covers entire city and nothing else,2006 IPCC Guidelines for National Greenhouse Gas Inventories,The inventory has been submitted to the Covenant of Mayors as part of the SEAP,CO2,,485684,,,,,,,,,,Decreased,Technological change,52.29,107816,2020,POINT (11.3566 46.4997),10/04/2021 09:23:47 AM
2021,42388,Intendencia de Montevideo,Montevideo,Uruguay,Latin America,public,In progress,2018-01-01 - 2018-12-31,Province / County,Larger – covers the whole city and adjoining areas,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),,"CH4, CO2, N20",,,,,,,,,,,,,,530,1383601,2021,POINT (-58.2987 -34.7112),10/04/2021 09:23:47 AM
2021,60423,Municipalidad de la Ciudad de Neuquén,,Argentina,Latin America,public,Yes,2018-01-01 - 2018-12-31,Province / County,Same – covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),"Excel. Se utilizó la herramienta de cálculo desarrollada por la Red Argentina de Municipios frente al Cambio Climática, que fue diseñada en base al protocolo GPC para inventarios de emisiones de GEI para ciudades argentinas.","CH4, CO2, N20",,1412824.81,,169098.1,,71826.94,,,,,,This is our first year of calculation,"Other, please specify",128,259182,2018,,10/04/2021 09:23:47 AM
2021,834139,Gangdong-gu Municipal Government,,Republic of Korea,East Asia,public,Yes,2019-01-01 - 2019-12-31,City / Municipality,Same – covers entire city and nothing else,Regional or country specific methodology,National Green House Gas Monitoring System,"CH4, CO2, N20",,,,,,,,,,,,Decreased,"Other, please specify",24.56,455042,2020,,10/04/2021 09:23:47 AM
2021,54282,Hangzhou City People's Government,Hangzhou City,China,East Asia,public,In progress,2020-06-06 - 2021-06-05,City / Municipality,Same – covers entire city and nothing else,City specific methodology,,"CH4, CO2, N20",,,,,,,,,,,,,,16850,11936010,2020,,10/04/2021 09:23:47 AM
2021,58868,"Regional Municipality of Durham, ON",Durham,Canada,North America,public,,,City / Municipality,,,,,,,,,,,,,,,,,,2537,699460,2019,POINT (-78.9288 43.9368),10/04/2021 09:23:47 AM
2021,852523,Stroud District Council,,United Kingdom of Great Britain and Northern Ireland,Europe,public,Yes,2020-04-01 - 2021-03-31,Local government area within a greater city / metropolitan area,Same – covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),,CO2,,,,,,,,,,,,Decreased,Behavioural change,460.65,119964,2019,,10/04/2021 09:23:47 AM
2021,859170,Ogori City,,Japan,East Asia,public,,,City / Municipality,,,,,,,,,,,,,,,,,,,,0,,10/04/2021 09:23:47 AM
2021,54078,"City of Hayward, CA",Hayward,United States of America,North America,public,Yes,2019-01-01 - 2019-12-31,City / Municipality,Same – covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),,"CH4, CO2, N20",,797588.59,,13093,,,,,,,,Decreased,"Other, please specify: The biggest decrease in emissions has been in the electricity sector, as our electricity provider works towards California's RPS and is increasing renewable energy on the grid.",165,160197,2019,POINT (-122.081 37.6689),10/04/2021 09:23:47 AM
2021,859054,Kitahiroshima City,,Japan,East Asia,public,Yes,2011-04-01 - 2012-03-31,City / Municipality,Same – covers entire city and nothing else,Regional or country specific methodology,,"CH4, CO2, HFCs, N20, NF3, PFCs, SF6",,,,,,,,,,,,,,,,0,,10/04/2021 09:23:47 AM
2021,54092,"City of Ann Arbor, MI",Ann Arbor,United States of America,North America,public,Yes,2020-01-01 - 2020-12-31,City / Municipality,Larger – covers the whole city and adjoining areas,U.S. Community Protocol for Accounting and Reporting of Greenhouse Gas Emissions (ICLEI),"The inventory uses the ICLEI methodology, including some recommended values for US cities.","CH4, CO2, N20",,828725,,636369,,241733,,,,,,Decreased,"Other, please specify: Decreased VMT activity",72.2,119980,2019,POINT (-83.743 42.2808),10/04/2021 09:23:47 AM
2021,849895,Commune di Maga,,Cameroon,Africa,public,,,,,,,,,,,,,,,,,,,,,1100,180534,2017,POINT (14.933 10.8541),10/04/2021 09:23:47 AM
2021,862705,Comodoro Rivadavia,,Argentina,Latin America,public,Yes,2018-01-01 - 2018-12-31,City / Municipality,Same – covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),"Excel. Se utilizó la herramienta de cálculo desarrollada por la Red Argentina de Municipios frente al Cambio Climática, que fue diseñada en base al protocolo GPC para inventarios de emisiones de GEI para ciudades argentinas.","CH4, CO2, N20",9458.8,2057886.72,40.95,131888.34,7.41,23864.59,,,,,,This is our first year of calculation,"Other, please specify",567,197442,2018,,10/04/2021 09:23:47 AM
2021,54389,Taichung City Government,Taichung,"Taiwan, Greater China",East Asia,public,Yes,2019-01-01 - 2019-12-31,City / Municipality,Same – covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),"Taiwan has promulgated the “Guideline of GHG Inventory for County and Municipal Government” in 2011, the guideline has been revised according to the Global Protocol for Community-Scale Greenhouse Gas Emission Inventories from ICLEI. With the latest GPC concept and methodology, the inventory has compliance with international regulation.Therefore, Taichung City counts greenhouse gas emission inventories in accordance with the regulations formulated by the central government, and reports the results of the report to the central competent authority.","CH4, CO2, HFCs, N20, NF3, PFCs, SF6",,17295798.17,,16027321.7,,,,,,,,Decreased,Policy change,2214.9,2829930,2021,POINT (120.647 24.1619),10/04/2021 09:23:47 AM
2021,58668,"City of New Bedford, MA",New Bedford,United States of America,North America,public,Yes,2018-01-01 - 2018-12-31,City / Municipality,Same – covers entire city and nothing else,"Other, please specify: EPA Calculator",,"CH4, CO2, N20",,728024,,,,,,,,,,Decreased,"Other, please specify",62.5,95315,2018,POINT (-70.9342 41.6362),10/04/2021 09:23:47 AM
2021,54459,City of Reykjavík,Reykjavík,Iceland,Europe,public,Yes,2020-01-01 - 2020-12-31,City / Municipality,Same – covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),,"CH4, CO2, N20",,491281,,25058,,18251,,,,,,Decreased,Behavioural change,274,133262,2021,POINT (-21.8174 64.1265),10/04/2021 09:23:47 AM
2021,60385,Alcaldía de Villavicencio,,Colombia,Latin America,public,Intending to undertake in the next 2 years,,"Other, please specify: Municipio",,,,,,,,,,,,,,,,,,1328,549883,2020,,10/04/2021 09:23:47 AM
2021,68378,Municipalidad de Santiago de Surco,Santiago de Surco,Peru,Latin America,public,Intending to undertake in the next 2 years,,Sub-municipal district,,,,,,,,,,,,,,,,,,45,499210,2015,POINT (-77.0051 -12.1453),10/04/2021 09:23:47 AM
2021,859110,Okaya City,,Japan,East Asia,public,Yes,2017-04-01 - 2018-03-31,City / Municipality,Same – covers entire city and nothing else,Regional or country specific methodology,,CO2,,,,,,,,,,,,,,,,0,,10/04/2021 09:23:47 AM
