Reporter,Year,Sector,Subsector,Primary NAICS Code,NAICS Definition,Parent Company,City,County,Jurisdiction,Total Emissions (MTCO2e),Biogenic Carbon Dioxide (MTCO2e),Carbon Dioxide (MTCO2e),Methane (MTCO2e),Nitrous Oxide (MTCO2e),HFCs (MTCO2e),PFCs (MTCO2e),Sulfur Hexafluoride (MTCO2e),Fluorinated - Other (MTCO2e),Notes,Point Size,Location,New Georeferenced Column
Nippon Dynawave - Longview,2019,Pulp and Paper,Kraft Mills,322121,Paper (except Newsprint) Mills,Nippon Paper Industries USA Co Ltd,Longview,Cowlitz,Ecology: Industrial Section,1609193,1277546,323869,1659,6119,0,0,0,0,Emissions no longer include units that split to become North Pacific Paper Company in 2016.,4,"(46.130495, -122.983637)",POINT (-122.98363700000002 46.130495)
U.S. Department of Energy Hanford Site - Richland,2018,Government,Other Government,924110,Administration of Air and Water Resource and Solid Waste Management Programs,US Government,Richland,Benton,Ecology: NWP,13510,0,4171,9333,6,0,0,0,0,,1,"(46.55069, -119.489007)",POINT (-119.48900700000002 46.55069)
Ascensus Specialties LLC - Elma,2020,Chemicals,Other Chemicals,325188,All Other Basic Inorganic Chemical Manufacturing,Ascensus Specialties LLC,Elma,Grays Harbor,Olympic Region Clean Air Agency,18037,0,18019,9,10,0,0,0,0,,1,"(46.995459, -123.382316)",POINT (-123.382316 46.995459)
Washington State University - Pullman,2015,Government,Education,611310,"Colleges, Universities, and Professional Schools",State of Washington,Pullman,Whitman,Ecology: Eastern Regional Office,57309,0,57248,27,34,0,0,0,0,,2,"(46.728702, -117.151481)",POINT (-117.15148099999999 46.728702)
Okanogan County Central Landfill - Okanogan,2019,Waste,Landfills,562212,Solid Waste Landfill,Okanogan County,Okanogan,Okanogan,Ecology: Central Regional Office,14933,0,0,14933,0,0,0,0,0,,1,"(48.341148, -119.620109)",POINT (-119.62010900000001 48.341148)
J.R. Simplot Company - Othello,2020,Food Production,Potato Products,311411,"Frozen Fruit, Juice, and Vegetable Manufacturing",J.R. Simplot Company,Othello,Adams,Ecology: Eastern Regional Office,110848,0,47794,63027,27,0,0,0,0,,3,"(46.837778, -119.176389)",POINT (-119.17638900000001 46.837778)
Marathon Anacortes Refinery - Anacortes,2018,Petroleum Systems,Petroleum Refineries,324110,Petroleum Refineries,Marathon Petroleum Corp,Anacortes,Skagit,Northwest Clean Air Agency,1234174,0,1228806,2184,3184,0,0,0,0,,4,"(48.493816, -122.564845)",POINT (-122.564845 48.493816)
SDS Lumber Company - Bingen,2020,Wood Products,Lumber Mills,321113,Sawmills,SDS Lumber Company,Bingen,Klickitat,Ecology: Central Regional Office,77699,76559,118,147,876,0,0,0,0,,2,"(45.713913, -121.468688)",POINT (-121.468688 45.713913000000005)
Great Western Malt - Vancouver,2017,Food Production,Other Food Products,311213,Malt Manufacturing,Great Western Malt,Vancouver,Clark,Southwest Clean Air Agency,17689,0,17671,8,10,0,0,0,0,,1,"(45.631069, -122.690043)",POINT (-122.69004299999999 45.631069)
"RPMG, Inc.",2017,Transportation Fuel Supplier,Transportation Fuel Supplier,424700,Petroleum and Petroleum Products Merchant Wholesalers,"Renewable Products Marketing Group, LLC",NA,NA,NA,97522,97522,0,0,0,0,0,0,0,,,,
bp Cherry Point Refinery - Blaine,2014,Petroleum Systems,Petroleum Refineries,324110,Petroleum Refineries,BP America Inc.,Blaine,Whatcom,Northwest Clean Air Agency,2349652,0,2333857,10767,5028,0,0,0,0,,5,"(48.8864, -122.7353)",POINT (-122.7353 48.8864)
Star Forge LLC dba Jorgensen Forge - Tukwila,2018,Metals,Iron and Steel Production,332111,Iron and Steel Forging,Jorgensen Forge Corp.,Tukwila,King,Puget Sound Clean Air Agency,1238,0,1237,1,1,0,0,0,0,,1,"(47.526872, -122.303906)",POINT (-122.303906 47.526872)
J.R. Simplot Company - Moses Lake,2016,Food Production,Potato Products,311411,"Frozen Fruit, Juice, and Vegetable Manufacturing",J.R. Simplot Company,Moses Lake,Grant,Ecology: Eastern Regional Office,34811,3651,27025,4108,28,0,0,0,0,,2,"(47.131732, -119.18926)",POINT (-119.18926000000002 47.131732)
Roosevelt Regional Landfill - Roosevelt,2019,Waste,Landfills,562212,Solid Waste Landfill,"Republic Services, Inc.",Roosevelt,Klickitat,Ecology: Central Regional Office,241511,0,273,241238,1,0,0,0,0,,3,"(45.807146, -120.179785)",POINT (-120.179785 45.807146)
Lamb Weston - Pasco,2017,Food Production,Potato Products,311411,"Frozen Fruit, Juice, and Vegetable Manufacturing","Lamb Weston, Inc.",Pasco,Franklin,Ecology: Eastern Regional Office,50961,0,50908,24,29,0,0,0,0,,2,"(46.288137, -119.115336)",POINT (-119.115336 46.288137)
Southern Counties Oil Co Ltd,2019,Transportation Fuel Supplier,Transportation Fuel Supplier,424720,Petroleum and Petroleum Products Merchant Wholesalers (except Bulk Stations and Terminals),"Southern Counties Oil Co., A California LP",NA,NA,NA,54569,1214,53355,0,0,0,0,0,0,,,,
Georgia-Pacific Consumer Products LLC - Camas,2016,Pulp and Paper,Kraft Mills,322121,Paper (except Newsprint) Mills,Koch Industries Inc.,Camas,Clark,Ecology: Industrial Section,585907,420749,153710,10055,1393,0,0,0,0,,3,"(45.584271, -122.40843)",POINT (-122.40843 45.584271)
Northwest Hardwoods Inc. - Mount Vernon,2017,Wood Products,Lumber Mills,321113,Sawmills,Littlejohn & Co. LLC,Mount Vernon,Skagit,Northwest Clean Air Agency,10531,7441,2987,16,87,0,0,0,0,,1,"(48.451642, -122.443028)",POINT (-122.44302800000001 48.451642)
Cathcart Landfill - Snohomish,2015,Waste,Landfills,562111,Solid Waste Collection,Snohomish County,Snohomish,Snohomish,Puget Sound Clean Air Agency,23520,0,190,23329,0,0,0,0,0,,1,"(47.870014, -122.118284)",POINT (-122.11828399999999 47.870014)
Agrium Kennewick Fertilizer Operations (KFO) - Kennewick,2014,Chemicals,Fertilizer Production,325311,Nitrogenous Fertilizer Manufacturing,Agrium US Inc.,Kennewick,Benton,Benton Clean Air Agency,132249,0,8221,0,124028,0,0,0,0,,3,"(46.165957, -119.017218)",POINT (-119.017218 46.165957000000006)
Northwest Pipeline C/S - Mount Vernon,2020,Natural Gas Systems,Natural Gas Transmission/Compression,486210,Pipeline Transportation of Natural Gas,"The Williams Companies, Inc.",Mount Vernon,Skagit,Northwest Clean Air Agency,28539,0,27033,1491,15,0,0,0,0,,2,"(48.421967, -122.21547)",POINT (-122.21547000000001 48.421967)
Naval Base Kitsap - Bremerton,2012,Government,National Security,928110,National Security,US Government,Bremerton,Kitsap,Puget Sound Clean Air Agency,49575,0,49522,24,29,0,0,0,0,,2,"(47.557047, -122.645933)",POINT (-122.645933 47.557047)
Great Western Malt - Vancouver,2019,Food Production,Other Food Products,311213,Malt Manufacturing,Great Western Malt,Vancouver,Clark,Southwest Clean Air Agency,15095,0,15079,7,8,0,0,0,0,,1,"(45.631069, -122.690043)",POINT (-122.69004299999999 45.631069)
Sierra Pacific Industries - Burlington - Mount Vernon,2013,Wood Products,Lumber Mills,321113,Sawmills,Sierra Pacific Industries,Mount Vernon,Skagit,Northwest Clean Air Agency,297759,291480,2384,560,3335,0,0,0,0,,3,"(48.448553, -122.434613)",POINT (-122.43461299999998 48.448553)
Naval Air Station Whidbey Island - Oak Harbor,2013,Government,National Security,928110,National Security,US Government,Oak Harbor,Island,Northwest Clean Air Agency,16248,0,16231,8,10,0,0,0,0,,1,"(48.345281, -122.669741)",POINT (-122.669741 48.345281)
"Tyson Fresh Meats, Inc. - Wallula",2016,Food Production,Meat Products,311611,Animal (except Poultry) Slaughtering,"Tyson Foods, Inc",Wallula,Walla Walla,Ecology: Eastern Regional Office,88363,0,21901,66449,12,0,0,0,0,,2,"(46.137521, -118.913051)",POINT (-118.91305099999998 46.137521)
Frederickson Power LP - Tacoma,2015,Power Plants,Natural Gas Turbine Plants,221112,Fossil Fuel Electric Power Generation,Puget Holdings LLC,Tacoma,Pierce,Puget Sound Clean Air Agency,496752,0,496248,230,274,0,0,0,0,,3,"(47.086342, -122.365686)",POINT (-122.36568599999998 47.086342)
Puget Sound Energy T&D - statewide,2012,Power Plants,Electrical Transmission and Distribution,221122,Electric Power Distribution,Puget Holdings LLC,Bellevue,King,Puget Sound Clean Air Agency,12271,0,0,0,0,0,0,12271,0,,1,"(47.61345, -122.19454)",POINT (-122.19453999999999 47.61345)
Matheson - Anacortes,2018,Petroleum Systems,Other Petroleum Systems,325120,Industrial Gas Manufacturing,Linde Gas North America LLC,Anacortes,Skagit,Northwest Clean Air Agency,60984,0,60984,0,0,0,0,0,0,,2,"(48.467646, -122.554343)",POINT (-122.554343 48.467646)
Seaport Sound Terminal LLC,2018,Transportation Fuel Supplier,Transportation Fuel Supplier,493190,Bulk petroleum storage,"ArcLight Energy Partners Fund VI, L.P.",NA,NA,NA,9446,3769,5677,0,0,0,0,0,0,,,,
Lamb Weston - Pasco,2019,Food Production,Potato Products,311411,"Frozen Fruit, Juice, and Vegetable Manufacturing","Lamb Weston, Inc.",Pasco,Franklin,Ecology: Eastern Regional Office,46270,0,46223,22,26,0,0,0,0,,2,"(46.288137, -119.115336)",POINT (-119.115336 46.288137)
Inland Empire Paper Company - Spokane,2018,Pulp and Paper,Other Pulp and Paper,322122,Newsprint Mills,Cowles Publishing Co.,Spokane,Spokane,Spokane Regional Clean Air Agency,28858,17715,10895,39,209,0,0,0,0,,2,"(47.688295, -117.279323)",POINT (-117.279323 47.688295)
Northwest Hardwoods Inc. - Mount Vernon,2012,Wood Products,Lumber Mills,321113,Sawmills,Littlejohn & Co. LLC,Mount Vernon,Skagit,Northwest Clean Air Agency,12633,8698,3742,76,118,0,0,0,0,,1,"(48.451642, -122.443028)",POINT (-122.44302800000001 48.451642)
Marathon Anacortes Refinery - Anacortes,2017,Petroleum Systems,Petroleum Refineries,324110,Petroleum Refineries,Marathon Petroleum Corp,Anacortes,Skagit,Northwest Clean Air Agency,1359656,0,1353878,2293,3485,0,0,0,0,,4,"(48.493816, -122.564845)",POINT (-122.564845 48.493816)
Puget Sound Energy - Ferndale Generating Station - Ferndale,2020,Power Plants,Natural Gas Turbine Plants,221112,Fossil Fuel Electric Power Generation,Puget Holdings LLC,Ferndale,Whatcom,Northwest Clean Air Agency,509155,0,508637,236,281,0,0,0,0,,3,"(48.828707, -122.685533)",POINT (-122.68553299999999 48.82870700000001)
U.S. Department of Energy Hanford Site - Richland,2014,Government,Other Government,924110,Administration of Air and Water Resource and Solid Waste Management Programs,US Government,Richland,Benton,Ecology: NWP,15792,0,5670,10112,10,0,0,0,0,,1,"(46.55069, -119.489007)",POINT (-119.48900700000002 46.55069)
PacifiCorp Energy - Chehalis Generation Facility - Chehalis,2016,Power Plants,Natural Gas Turbine Plants,221112,Fossil Fuel Electric Power Generation,Berkshire Hathaway,Chehalis,Lewis,EFSEC,591615,0,591015,274,327,0,0,0,0,,3,"(46.6226, -122.9145)",POINT (-122.91449999999999 46.6226)
Tesoro Refining & Marketing Company LLC,2013,Transportation Fuel Supplier,Transportation Fuel Supplier,324110,Petroleum Refineries,Marathon Petroleum Corp,NA,NA,NA,5740456,0,5740456,0,0,0,0,0,0,,,,
Sierra Pacific Industries - Burlington - Mount Vernon,2014,Wood Products,Lumber Mills,321113,Sawmills,Sierra Pacific Industries,Mount Vernon,Skagit,Northwest Clean Air Agency,279566,272006,3923,524,3113,0,0,0,0,,3,"(48.448553, -122.434613)",POINT (-122.43461299999998 48.448553)
City of Tacoma Solid Waste Facility - Tacoma,2015,Waste,Landfills,562212,Solid Waste Landfill,City of Tacoma,Tacoma,Pierce,Puget Sound Clean Air Agency,14812,0,0,14812,0,0,0,0,0,,1,"(47.223413, -122.499775)",POINT (-122.49977500000001 47.22341300000001)
The Boeing Company - Auburn Site - Auburn,2014,Manufacturing,Transportation Industry,336413,Other Aircraft Parts and Auxiliary Equipment Manufacturing,The Boeing Company,Auburn,King,Puget Sound Clean Air Agency,36691,0,36653,17,21,0,0,0,0,,2,"(47.285551, -122.242298)",POINT (-122.242298 47.285551)
Northwest Pipeline C/S - Snohomish,2013,Natural Gas Systems,Natural Gas Transmission/Compression,486210,Pipeline Transportation of Natural Gas,"The Williams Companies, Inc.",Snohomish,Snohomish,Puget Sound Clean Air Agency,33173,0,32566,590,18,0,0,0,0,,2,"(47.78825, -122.05859)",POINT (-122.05858999999998 47.78825)
Graymont Western US. Inc. - Tacoma,2012,Minerals,Lime Production,327410,Lime Manufacturing,"Graymont, Inc.",Tacoma,Pierce,Puget Sound Clean Air Agency,86850,0,86662,70,118,0,0,0,0,,2,"(47.271365, -122.397262)",POINT (-122.39726200000001 47.271365)
Cosmo Specialty Fibers Inc - Cosmopolis,2018,Pulp and Paper,Sulfite Mills,322110,Pulp Mills,Gores Group,Cosmopolis,Grays Harbor,Ecology: Industrial Section,696916,672324,19500,3223,1869,0,0,0,0,,3,"(46.952907, -123.76211)",POINT (-123.76211 46.952907)
"Coleman Oil Company, LLC",2020,Transportation Fuel Supplier,Transportation Fuel Supplier,424720,Petroleum and Petroleum Products Merchant Wholesalers (except Bulk Stations and Terminals),"Coleman Oil Company, LLC",NA,NA,NA,714497,30682,683815,0,0,0,0,0,0,,,,
Tree Top - Prosser,2015,Food Production,Fruit Products,311411,"Frozen Fruit, Juice, and Vegetable Manufacturing",Tree Top Inc.,Prosser,Benton,Benton Clean Air Agency,18596,0,18577,9,10,0,0,0,0,,1,"(46.21842, -119.73397)",POINT (-119.73397 46.21842)
DH Feeders - Eltopia,2014,Livestock,Cattle Feedlots,112112,Cattle Feedlots,Easterday Ranches,Eltopia,Franklin,Ecology: Eastern Regional Office,14416,0,867,1035,12513,0,0,0,0,,1,"(46.50919, -118.881203)",POINT (-118.88120300000001 46.50919)
WaferTech LLC - Camas,2013,Manufacturing,Electronics Industry,334413,Semiconductor and Related Device Manufacturing,WaferTech LLC,Camas,Clark,Southwest Clean Air Agency,140759,115,14151,7,7332,5124,79164,17663,17204,,3,"(45.619569, -122.454955)",POINT (-122.454955 45.619569)
Sierra Pacific Industries - Centralia,2015,Wood Products,Lumber Mills,321113,Sawmills,Sierra Pacific Industries,Centralia,Lewis,Southwest Clean Air Agency,40254,39724,0,76,454,0,0,0,0,,2,"(46.756413, -122.995433)",POINT (-122.99543300000002 46.756413)
Sonoco Products - Sumner,2016,Pulp and Paper,Other Pulp and Paper,322130,Paperboard Mills,Sonoco Products Company,Sumner,Pierce,Puget Sound Clean Air Agency,13941,0,13927,7,8,0,0,0,0,,1,"(47.210641, -122.239474)",POINT (-122.23947400000002 47.210641)
"Boise Cascade Wood Products, LLC.  Kettle Falls Lumber - Kettle Falls",2013,Wood Products,Lumber Mills,321912,"Cut Stock, Resawing Lumber, and Planing",Boise Cascade Company,Kettle Falls,Stevens,Ecology: Eastern Regional Office,56886,56136,0,108,642,0,0,0,0,,2,"(48.609799, -118.067441)",POINT (-118.06744099999999 48.609799)
Hampton Lumber Mills Washington Inc. - Randle,2015,Wood Products,Lumber Mills,321113,Sawmills,Hampton Lumber Mills Washington Inc.,Randle,Lewis,Southwest Clean Air Agency,54461,53743,0,103,615,0,0,0,0,,2,"(46.533743, -121.917906)",POINT (-121.91790600000002 46.533743)
Roosevelt Regional Landfill - Roosevelt,2012,Waste,Landfills,562212,Solid Waste Landfill,"Republic Services, Inc.",Roosevelt,Klickitat,Ecology: Central Regional Office,270943,0,304,270638,1,0,0,0,0,,3,"(45.807146, -120.179785)",POINT (-120.179785 45.807146)
Packaging Corporation of America - Wallula,2014,Pulp and Paper,Kraft Mills,322121,Paper (except Newsprint) Mills,Packaging Corp of America,Wallula,Walla Walla,Ecology: Industrial Section,884980,765685,107830,8818,2647,0,0,0,0,,3,"(46.10396, -118.9184)",POINT (-118.91840000000002 46.10396000000001)
"Analog Devices, Inc. - Camas",2015,Manufacturing,Electronics Industry,334413,Semiconductor and Related Device Manufacturing,Linear Technology Corporation,Camas,Clark,Southwest Clean Air Agency,33622,0,1803,1,1236,1783,25804,2736,258,,2,"(45.598844, -122.45232)",POINT (-122.45232 45.59884400000001)
Seattle-Tacoma International Airport - Seattle,2014,Government,Other Government,488119,Other Airport Operations,Port of Seattle,Seattle,King,Puget Sound Clean Air Agency,15754,0,15738,7,9,0,0,0,0,,1,"(47.443643, -122.302452)",POINT (-122.302452 47.443643)
Cowlitz County Headquarters Landfill - Castle Rock,2014,Waste,Landfills,562212,Solid Waste Landfill,Cowlitz County,Castle Rock,Cowlitz,Southwest Clean Air Agency,154619,1205,0,153411,4,0,0,0,0,,3,"(46.246902, -122.772284)",POINT (-122.772284 46.246902)
"World Fuel Services, Inc.",2017,Transportation Fuel Supplier,Transportation Fuel Supplier,424720,Petroleum and Petroleum Products Merchant Wholesalers (except Bulk Stations and Terminals),"World Fuel Services, Corp",NA,NA,NA,314725,3016,311709,0,0,0,0,0,0,,,,
Sonoco Products - Sumner,2012,Pulp and Paper,Other Pulp and Paper,322130,Paperboard Mills,Sonoco Products Company,Sumner,Pierce,Puget Sound Clean Air Agency,10342,0,10331,5,6,0,0,0,0,,1,"(47.210641, -122.239474)",POINT (-122.23947400000002 47.210641)
Vitol Inc.,2015,Transportation Fuel Supplier,Transportation Fuel Supplier,424720,Petroleum and Petroleum Products Merchant Wholesalers (except Bulk Stations and Terminals),Vitol Inc,NA,NA,NA,12307,788,11519,0,0,0,0,0,0,,,,
City of Tacoma Solid Waste Facility - Tacoma,2012,Waste,Landfills,562212,Solid Waste Landfill,City of Tacoma,Tacoma,Pierce,Puget Sound Clean Air Agency,31986,0,0,31986,0,0,0,0,0,,2,"(47.223413, -122.499775)",POINT (-122.49977500000001 47.22341300000001)
WaferTech LLC - Camas,2019,Manufacturing,Electronics Industry,334413,Semiconductor and Related Device Manufacturing,WaferTech LLC,Camas,Clark,Southwest Clean Air Agency,92891,0,14214,7,6428,9004,26094,11965,25179,,2,"(45.619569, -122.454955)",POINT (-122.454955 45.619569)
Puget Sound Energy - Jackson Prairie Gas Storage - Chehalis,2019,Natural Gas Systems,Natural Gas Storage,221210,Natural Gas Distribution,Avista Corp.,Chehalis,Lewis,Southwest Clean Air Agency,11177,0,9892,1280,6,0,0,0,0,,1,"(46.53461, -122.838569)",POINT (-122.838569 46.53461)
Graymont Western US. Inc. - Tacoma,2013,Minerals,Lime Production,327410,Lime Manufacturing,"Graymont, Inc.",Tacoma,Pierce,Puget Sound Clean Air Agency,92862,0,92723,53,87,0,0,0,0,,2,"(47.271365, -122.397262)",POINT (-122.39726200000001 47.271365)
Northwest Pipeline Willard C/S - Cook,2015,Natural Gas Systems,Natural Gas Transmission/Compression,486210,Pipeline Transportation of Natural Gas,"The Williams Companies, Inc.",Cook,Skamania,Southwest Clean Air Agency,12443,0,10325,2113,6,0,0,0,0,,1,"(45.778087, -121.626311)",POINT (-121.62631100000002 45.778087)
Gas Transmission Northwest Compressor Station 7 - Starbuck,2018,Natural Gas Systems,Natural Gas Transmission/Compression,486210,Pipeline Transportation of Natural Gas,TransCanada Northern Border Inc.,Starbuck,Columbia,Ecology: Eastern Regional Office,64228,0,63124,1068,35,0,0,0,0,,2,"(46.53558, -118.293441)",POINT (-118.29344100000002 46.53558)
"SEI Fuel Services, Inc.",2015,Transportation Fuel Supplier,Transportation Fuel Supplier,447110,Gasoline Stations with Convenience Stores,"7-Eleven, Inc.",NA,NA,NA,312704,20572,292132,0,0,0,0,0,0,,,,
Phillips 66 Ferndale Refinery - Ferndale,2013,Petroleum Systems,Petroleum Refineries,324110,Petroleum Refineries,Phillips 66 Company,Ferndale,Whatcom,Northwest Clean Air Agency,773758,0,770052,1803,1903,0,0,0,0,,3,"(48.830142, -122.692114)",POINT (-122.69211400000002 48.830142)
Darigold - Chehalis,2020,Food Production,Dairy Products,311514,"Dry, Condensed, and Evaporated Dairy Product Manufacturing",Darigold Inc.,Chehalis,Lewis,Southwest Clean Air Agency,12635,0,12622,6,7,0,0,0,0,,1,"(46.659952, -122.970162)",POINT (-122.97016200000002 46.659952)
Frito Lay - Vancouver,2020,Food Production,Other Food Products,311919,Other Snack Food Manufacturing,PepsiCo Inc,Vancouver,Clark,Southwest Clean Air Agency,13787,0,13773,7,8,0,0,0,0,,1,"(45.657037, -122.692)",POINT (-122.692 45.657037)
"Tyson Fresh Meats, Inc. - Wallula",2013,Food Production,Meat Products,311611,Animal (except Poultry) Slaughtering,"Tyson Foods, Inc",Wallula,Walla Walla,Ecology: Eastern Regional Office,65322,0,23637,41672,13,0,0,0,0,,2,"(46.137521, -118.913051)",POINT (-118.91305099999998 46.137521)
The Boeing Company - Fabrication (Frederickson Site) - Puyallup,2017,Manufacturing,Transportation Industry,336411,Aircraft Manufacturing,The Boeing Company,Puyallup,Pierce,Puget Sound Clean Air Agency,19893,0,19873,9,11,0,0,0,0,,1,"(47.088831, -122.34862)",POINT (-122.34862000000001 47.088831)
Ash Grove Cement Company - Seattle,2019,Minerals,Cement Production,327310,Cement Manufacturing,Ash Grove Cement Co.,Seattle,King,Puget Sound Clean Air Agency,366013,0,365487,207,319,0,0,0,0,,3,"(47.56799, -122.34255)",POINT (-122.34255 47.56799)
Phillips 66 Company,2017,Transportation Fuel Supplier,Transportation Fuel Supplier,424710,Petroleum Bulk Stations and Terminals,Phillips 66 Company,NA,NA,NA,3907576,225513,3682063,0,0,0,0,0,0,,,,
Great Western Malt - Vancouver,2015,Food Production,Other Food Products,311213,Malt Manufacturing,Great Western Malt,Vancouver,Clark,Southwest Clean Air Agency,18273,0,18255,9,10,0,0,0,0,,1,"(45.631069, -122.690043)",POINT (-122.69004299999999 45.631069)
Packaging Corporation of America - Wallula,2017,Pulp and Paper,Kraft Mills,322121,Paper (except Newsprint) Mills,Packaging Corp of America,Wallula,Walla Walla,Ecology: Industrial Section,678946,528740,141448,6196,2562,0,0,0,0,,3,"(46.10396, -118.9184)",POINT (-118.91840000000002 46.10396000000001)
Northwest Hardwoods Inc. - Mount Vernon,2018,Wood Products,Lumber Mills,321113,Sawmills,Littlejohn & Co. LLC,Mount Vernon,Skagit,Northwest Clean Air Agency,9335,6091,3159,13,72,0,0,0,0,Last year reporting.  Facility shut down in 2019.,1,"(48.451642, -122.443028)",POINT (-122.44302800000001 48.451642)
"Associated Petroleum Products, Inc.",2017,Transportation Fuel Supplier,Transportation Fuel Supplier,424710,Petroleum Bulk Stations and Terminals,"World Fuel Services, Corp",NA,NA,NA,2330279,76484,2253795,0,0,0,0,0,0,,,,
U.S. Department of Energy Hanford Site - Richland,2019,Government,Other Government,924110,Administration of Air and Water Resource and Solid Waste Management Programs,US Government,Richland,Benton,Ecology: NWP,14390,0,5233,9150,8,0,0,0,0,,1,"(46.55069, -119.489007)",POINT (-119.48900700000002 46.55069)
LRI Landfill - Graham,2020,Waste,Landfills,562212,Solid Waste Landfill,Waste Connections Inc.,Graham,Pierce,Puget Sound Clean Air Agency,77224,0,0,77224,0,0,0,0,0,,2,"(46.972405, -122.292799)",POINT (-122.292799 46.972405)
Riverside Feeders SFL - Kennewick,2018,Livestock,Cattle Feedlots,112112,Cattle Feedlots,Riverside Feeders,Kennewick,Benton,Benton Clean Air Agency,21475,0,2480,1473,17522,0,0,0,0,,1,"(45.991872, -119.136497)",POINT (-119.136497 45.991872)
Gas Transmission Northwest Compressor Station 6 - Rosalia,2019,Natural Gas Systems,Natural Gas Transmission/Compression,486210,Pipeline Transportation of Natural Gas,TransCanada Northern Border Inc.,Rosalia,Spokane,Spokane Regional Clean Air Agency,105918,0,105673,185,59,0,0,0,0,,3,"(47.277256, -117.406737)",POINT (-117.40673699999999 47.277256)
Phillips 66 Ferndale Refinery - Ferndale,2018,Petroleum Systems,Petroleum Refineries,324110,Petroleum Refineries,Phillips 66 Company,Ferndale,Whatcom,Northwest Clean Air Agency,798454,0,794615,1815,2024,0,0,0,0,,3,"(48.830142, -122.692114)",POINT (-122.69211400000002 48.830142)
Michelsen Packaging - Yakima,2016,Pulp and Paper,Other Pulp and Paper,322299,All Other Converted Paper Product Manufacturing,Michelson Packaging Co.,Yakima,Yakima,Yakima Regional Clean Air Agency,8817,0,8808,4,5,0,0,0,0,,1,"(46.604058, -120.513015)",POINT (-120.513015 46.604058)
Boeing Commercial Airplanes - Everett,2016,Manufacturing,Transportation Industry,336411,Aircraft Manufacturing,The Boeing Company,Everett,Snohomish,Puget Sound Clean Air Agency,76191,0,76112,36,44,0,0,0,0,,2,"(47.918622, -122.276987)",POINT (-122.27698699999999 47.918622)
"SGL Carbon, LLC - Moses Lake",2018,Manufacturing,Transportation Industry,335991,Carbon and Graphite Product Manufacturing,SGL Automotive Carbon Fibers LLC,Moses Lake,Grant,Ecology: Eastern Regional Office,9549,0,9539,5,5,0,0,0,0,,1,"(47.208993, -119.285437)",POINT (-119.285437 47.208993)
Shell Puget Sound Refinery - Anacortes,2019,Petroleum Systems,Petroleum Refineries,324110,Petroleum Refineries,Shell Petroleum Inc.,Anacortes,Skagit,Northwest Clean Air Agency,1859486,0,1848738,6741,4007,0,0,0,0,,4,"(48.470931, -122.559161)",POINT (-122.559161 48.470931)
Bonneville Power Administration - WA Only - statewide,2015,Power Plants,Electrical Transmission and Distribution,221121,Electric Bulk Power Transmission and Control,US Government,Vancouver,Clark,Southwest Clean Air Agency,14245,0,0,0,0,0,0,14245,0,,1,"(45.661178, -122.658608)",POINT (-122.658608 45.661178)
CenTrio Energy Seattle LLC - Seattle,2020,Power Plants,"Other Power, Heating, or Cooling Plants",221330,Steam and Air-Conditioning Supply,"BIF II District Energy Holdings III, Delaware",Seattle,King,Puget Sound Clean Air Agency,63601,0,63536,30,36,0,0,0,0,,2,"(47.6068, -122.340179)",POINT (-122.34017900000002 47.6068)
Chevron U.S.A. Inc.,2013,Transportation Fuel Supplier,Transportation Fuel Supplier,424710,Petroleum Bulk Stations and Terminals,Chevron U.S.A. Inc.,NA,NA,NA,3096698,190620,2906078,0,0,0,0,0,0,,,,
U.S. Oil & Refining Co. - Tacoma,2012,Petroleum Systems,Petroleum Refineries,324110,Petroleum Refineries,Par Pacific Holdings Inc.,Tacoma,Pierce,Puget Sound Clean Air Agency,169581,0,167338,1703,539,0,0,0,0,,3,"(47.256813, -122.394952)",POINT (-122.394952 47.256813)
TransAlta Centralia Generation LLC - Centralia,2020,Power Plants,Coal Plants,221112,Fossil Fuel Electric Power Generation,Transalta Centralia Generation/Mining,Centralia,Lewis,Southwest Clean Air Agency,5844587,0,5798775,16757,29055,0,0,0,0,Unit 1 permanently shut down 12/31/20.,5,"(46.7559, -122.8578)",POINT (-122.8578 46.7559)
"Boise Cascade Wood Products, LLC.  Kettle Falls Lumber - Kettle Falls",2019,Wood Products,Lumber Mills,321912,"Cut Stock, Resawing Lumber, and Planing",Boise Cascade Company,Kettle Falls,Stevens,Ecology: Eastern Regional Office,56739,55991,0,108,640,0,0,0,0,,2,"(48.609799, -118.067441)",POINT (-118.06744099999999 48.609799)
Georgia-Pacific Gypsum LLC - Tacoma,2015,Manufacturing,Building Products,327420,Gypsum Product Manufacturing,Koch Industries Inc.,Tacoma,Pierce,Puget Sound Clean Air Agency,46906,0,46857,22,26,0,0,0,0,,2,"(47.269558, -122.394869)",POINT (-122.39486900000001 47.269558)
"Rainier Veneer, Inc. - Spanaway",2016,Wood Products,Other Wood Products,321212,Softwood Veneer and Plywood Manufacturing,Rainier Veneer Inc.,Spanaway,Pierce,Puget Sound Clean Air Agency,17294,15416,1671,30,177,0,0,0,0,,1,"(47.062059, -122.318981)",POINT (-122.318981 47.062059)
"El Oro Cattle Feeders, LLC - Moses Lake",2020,Livestock,Cattle Feedlots,112112,Cattle Feedlots,Agri Beef Co.,Moses Lake,Grant,Ecology: Eastern Regional Office,0,0,0,0,0,0,0,0,0,Failed to report.,1,"(47.052176, -119.093815)",POINT (-119.09381500000002 47.052176)
