"Year.Reported.to.CDP","Account.Number","Organization","City","Country","CDP.Region","Access","City.boundary","Type.of.target","Sector","Identify.and.explain.sources.that.differ.from.the.inventory","Target.boundary.relative.to.city.boundary","Base.year","Year.target.was.set","Base.year.emissions..metric.tonnes.CO2e.","Percentage.reduction.target","Target.year","Target.year.absolute.emissions..metric.tonnes.CO2e.","Projected.population.in.target.year","Intensity.unit..Emissions.per.","Base.year.emissions.per.intensity.unit..metric.tonnes.CO2e.per.denominator.","Estimated.business.as.usual.absolute.emissions.in.target.year..metric.tonnes.CO2e.","Percentage.of.target.achieved.so.far","Select.the.initiatives.that.this.target.contributes.towards","Description.of.the.target.and.the.modelling.methodology.ies..and.parameters.used.to.define.it","Does.this.target.align.with.the.global.1.5...2..C.pathway.set.out.in.the.Paris.Agreement.","Does.this.target.align.to.a.requirement.from.a.higher.level.of.government.","Target.description","Population","Population.Year","City.Location","Last.update","name","entity_type","iso"
2021,826381,"Junta Intermunicipal de la Región Norte del Estado de Jalisco (JINOR)",NA,"Mexico","Latin America","public","Other, please specify: La JINOR tiene como objetivo brindar apoyo técnico a los municipios para la elaboración, gestión e implementación de los proyectos y programas relacionados con el medio ambiente y manejo de recursos naturales.","No target",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,84335,2020,NA,"2021-10-04T09:30:14.243","Junta Intermunicipal de la Región Norte del Estado de Jalisco (JINOR)","City","MEX"
2021,36036,"City of Ibadan","Ibadan","Nigeria","Africa","public","City / Municipality","Base year emissions (absolute) target","Waste",NA,"Larger – covers the whole city and adjoining areas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Declaring Climate Emergency; ICLEI’s Green Climate Cities Program; UN-Habitat Guiding Principles for City Climate Action Planning",NA,"Yes - 1.5 °C","Yes",NA,6591589,2020,"POINT (3.94704 7.37753)","2021-10-04T09:30:14.243","Ibadan","City","NGA"
2021,849895,"Commune di Maga",NA,"Cameroon","Africa","public",NA,"No target",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,180534,2017,"POINT (14.933 10.8541)","2021-10-04T09:30:14.243","Commune di Maga","City","CMR"
2021,59151,"City of Akureyri","Akureyri","Iceland","Europe","public","City / Municipality","Fixed level target","All emissions sources included in city inventory",NA,"Same (city-wide) – covers entire city and nothing else",NA,2018,NA,NA,2040,0,24500,NA,NA,NA,1.75,"Global Covenant of Mayors for Climate & Energy",NA,"Yes - 1.5 °C","Yes","This target still hasn't a fixed date. (2040 is just written here as an estimate). This will be determined in the new Environmental and Climate Action Policy of Akureyri, presumable adopted by the local government in autumn 2021. Iceland has an NDC. In addition to that, the Icelandic government has declared that Iceland will be carbon neutral by 2040. This commitment was written into the climate act in spring 2021.",19219,2020,"POINT (-18.1262 65.6885)","2021-10-04T09:30:14.243","Akureyri","City","ISL"
2021,60906,"Municipalidad de Vitacura",NA,"Chile","Latin America","public","City / Municipality","No target",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,85000,2017,NA,"2021-10-04T09:30:14.243","Vitacura","City","CHL"
2021,840927,"Prefeitura de São Cristóvão",NA,"Brazil","Latin America","public","Metropolitan area","No target",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,78864,2019,NA,"2021-10-04T09:30:14.243","São Cristóvão","City","BRA"
2021,834096,"City of Richmond, BC",NA,"Canada","North America","public","Local government area within a greater city / metropolitan area","Fixed level target","All emissions sources included in city inventory",NA,"Same (city-wide) – covers entire city and nothing else",NA,2020,NA,NA,2030,555203,255520,NA,NA,NA,10,"Carbon Neutral Cities Alliance; Cities Race to Zero; Global Covenant of Mayors for Climate & Energy",NA,"Yes - 1.5 °C","No","In March 2019,   City Council declared that a climate emergency exists, and instructed staff to update existing emission reduction targets for the City of Richmond in line with limiting global average warming to 1.5 degrees Celsius.   Council also instructed staff to update Richmond's Community Energy and Emissions Plan, and significant community engagement was undertaken in the spring and fall of 2019 under a branded process (“50 x 30 Advancing Richmond’s Climate Leadership”) to inform a wide range of accelerated actions within eight strategic direction areas.",224380,2020,NA,"2021-10-04T09:30:14.243","Richmond, BC","City","CAN"
2021,54518,"City of Helsingborg","Helsingborg","Sweden","Europe","public","City / Municipality","Base year emissions (absolute) target","Other, please specify: Ecological footprint.","Here we include the sources generally included in an ecological footprint.","Same (city-wide) – covers entire city and nothing else",NA,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,"This target does not contribute towards an initiative commitment",NA,"Do not know","No","The ecological footprint is reduced to a sustainable level 2045. We are convinced that to reach net zero emissions of greenhouse gases we need to reduce our use of resources. Therefore we have a target concerning the ecological footprint in our action plan for climate and energy. According to WWF 2016, a sustainable ecological footprint is 1.7 global hectar. The ecological footprint of Helsingborg 2016 was 5.2 global hectar.  We havn't calculated it since then.",149280,2020,NA,"2021-10-04T09:30:14.243","Helsingborg","City","SWE"
2021,842012,"City of Burlington, ON",NA,"Canada","North America","public","City / Municipality","Base year emissions (absolute) target","All emissions sources included in city inventory",NA,"Same (city-wide) – covers entire city and nothing else",2016,2020,998689,100,2050,0,NA,NA,NA,NA,3.67,"Global Covenant of Mayors for Climate & Energy",NA,"Yes - 1.5 °C","Yes","City council has approved a target for the community to be net carbon neutral by 2050 through the actions identified in the Climate Action Plan (focusing on new buildings, retrofitting existing buildings, supporting integrated and electric mobility, renewable energy, industrial innovation and waste.  Community emissions must be reduced from approximately one million tonnes of CO2e by 2050 to 0.",183314,2016,NA,"2021-10-04T09:30:14.243","Burlington, ON","City","CAN"
2021,59971,"Melton City Council",NA,"Australia","Southeast Asia and Oceania","public","Local government area within a greater city / metropolitan area","No target",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,180636,2020,NA,"2021-10-04T09:30:14.243","Melton","City","AUS"
2021,54293,"People's Government of Guangzhou Municipality","Guangzhou","China","East Asia","public","City / Municipality","Base year intensity target","Energy",NA,"Same (city-wide) – covers entire city and nothing else",2015,NA,NA,NA,2020,NA,NA,"Metric tonnes of CO2e per unit GDP",NA,NA,NA,NA,NA,NA,NA,NA,15305900,2019,"POINT (113.264 23.1291)","2021-10-04T09:30:14.243","Guangzhou","City","CHN"
2021,43908,"City of Milwaukee, WI","Milwaukee","United States of America","North America","public","City / Municipality","Base year emissions (absolute) target","All emissions sources included in city inventory",NA,"Same (city-wide) – covers entire city and nothing else",2018,2020,7723439,45,2030,4247891.45,NA,NA,NA,NA,0,"Global Covenant of Mayors for Climate & Energy; Individual City Commitment",NA,"Do not know","No","45% reduction of community wide GHG emissions by 2030 and net zero carbon emissions by 2050.",590157,2019,"POINT (-87.9065 43.0389)","2021-10-04T09:30:14.243","Milwaukee, WI","City","USA"
2021,54027,"City of St. John's, NL","St. John’s","Canada","North America","public","City / Municipality","Base year emissions (absolute) target","Other, please specify: Municipal Operations","The target is focused on emission sources directly under control of Municipal Council (e.g., municipal fleet, buildings, and operations).","Same (city-wide) – covers entire city and nothing else",2018,2021,12457,100,2045,0,NA,NA,NA,NA,NA,"Declaring Climate Emergency; Global Covenant of Mayors for Climate & Energy; Other, please specify: Partners for Climate Protection",NA,NA,"Yes, but it exceeds its scale or requirement","Federal government target is Net-Zero by 2050. Our target aims to be an example municipal operation by reaching net-zero by 2045. Our target was developed based on guidance from Science-Based Targets Initiative. It proposes an absolute reduction in emissions of 4.2% per year to align with ambition to prevent warming from exceeding 1.5 C.",108860,2016,NA,"2021-10-04T09:30:14.243","St. John’s","City","CAN"
2021,826201,"Ayuntamiento de Zapopan",NA,"Mexico","Latin America","public","City / Municipality","Baseline scenario (business as usual) target","Transport",NA,"Same (city-wide) – covers entire city and nothing else",2016,2020,3010166,18,2030,NA,NA,NA,NA,4297299,NA,"Global Covenant of Mayors for Climate & Energy; Other, please specify: ODS","Se estimaron los datos del sector transporte en la plataforma Moves, arroja un total de 3.010 MTonCO2eq, cálculos internos  y el dato que se usará para la presentación de datos es el de 3.008, para efectos de la elaboración de la linea base , se utilizó el pronostico de la plataforma Moves, y el compromiso de reducción se tomará de  el desagregado que viene de los compromisos a nivel nacional por sector siendo este el 18%","Yes - 1.5 °C","Yes","Se adopta las metas a nivel nacional, determinadas por las NDC para el año 2030.  El reto es reducir el 22% de emisiones de Gases del efecto Invernadero de el año 2030.  Correspondiente a nuestras emisiones, y los compromisos de reducción por subsector antes mencionados.",1476491,2020,NA,"2021-10-04T09:30:14.243","Zapopan","City","MEX"
2021,54395,"Taoyuan City Government","Taoyuan","Taiwan","East Asia","public","City / Municipality","Base year emissions (absolute) target","All emissions sources included in city inventory",NA,"Same (city-wide) – covers entire city and nothing else",2005,2015,30840051.55,100,2050,0,NA,NA,NA,NA,0,"Global Covenant of Mayors for Climate & Energy",NA,"Do not know","Yes","This year the national government of Taiwan declared a target of net-zero emissions in 2050. In order to be aligned with the national government, we adjusted our goal from 50% reduction in 2050 to net-zero in 2050.  For the mid-term target, we aim to reduce emissions by 20% by 2030 compared with 2005.  Currently,  we are drafting the Greenhouse Gas Control Implementation Plan for 2021~ 2025 , which will be reviewed and adjusted to be aligned with the mid-term target and net-zero in 2050.",2220872,2018,"POINT (121.301 24.9931)","2021-10-04T09:30:14.243","Taoyuan","City","TWN"
2021,63543,"Fredensborg Kommune","Fredensborg","Denmark","Europe","public","City / Municipality","Base year emissions (absolute) target","Transport",NA,"Same (city-wide) – covers entire city and nothing else",2010,2019,NA,100,2050,NA,NA,NA,NA,NA,NA,"Cities Race to Zero; Deadline 2020 - Delivering the 1.5 degree ambition of the Paris Agreement in a resilient, inclusive way; Global Covenant of Mayors for Climate & Energy",NA,"Do not know","Yes",NA,41047,2021,"POINT (12.4058 55.9747)","2021-10-04T09:30:14.243","Fredensborg","City","DNK"
2021,826238,"Alcaldia de Mosquera","Mosquera","Colombia","Latin America","public","Independent city","No target",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,86954,2017,"POINT (-74.2302 4.70592)","2021-10-04T09:30:14.243","Mosquera","City","COL"
2021,848977,"Busbanza",NA,"Colombia","Latin America","public","City / Municipality","No target",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1156,2019,NA,"2021-10-04T09:30:14.243","Busbanza","City","COL"
2021,832002,"Municipalidad de Quepos",NA,"Costa Rica","Latin America","public","City / Municipality","Base year emissions (absolute) target","Energy",NA,"Local Government Operations - covers only emission sources owned and operated by local government",2018,2020,1927,0.1,2025,1925.073,NA,NA,NA,NA,0,"Global Covenant of Mayors for Climate & Energy",NA,"Do not know","Do not know","La Municipalidad de Quepos, mantiene en implementación su Plan de Gestión Ambiental Institucional, que incluye metas de reducción en el consumo de energía. Ya se han desarrollado acciones de sustitución de fuentes por sistemas renovables o más eficientes como paneles solares y sustitución de luminarias. La institución  tiene pendiente la contabilización de emisiones vinculadas al sector, para verificar el avance en el cumplimiento de la meta.",26861,2011,NA,"2021-10-04T09:30:14.243","Quepos","City","CRI"
2021,54527,"Stadt Bern","Bern 8","Switzerland","Europe","public","City / Municipality","Fixed level target","All emissions sources included in city inventory",NA,"Larger – covers the whole city and adjoining areas",NA,2015,NA,NA,2045,0,NA,NA,NA,NA,NA,NA,NA,"Do not know","Yes",NA,143222,2020,NA,"2021-10-04T09:30:14.243","Bern","City","CHE"
2021,74698,"Beira",NA,"Mozambique","Africa","public",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2021-10-04T09:30:14.243","Beira","City","MOZ"
2021,50381,"Municipio de Torreón","Torreón","Mexico","Latin America","public","City / Municipality","No target",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,720848,2020,"POINT (-103.407 25.5428)","2021-10-04T09:30:14.243","Torreón","City","MEX"
2021,54338,"City of Saitama",NA,"Japan","East Asia","public","Special city","Base year emissions (absolute) target","All emissions sources included in city inventory",NA,"Same (city-wide) – covers entire city and nothing else",2013,2030,6960000,35,2030,4524000,NA,NA,NA,NA,NA,NA,NA,"Do not know","Do not know",NA,1330286,2021,NA,"2021-10-04T09:30:14.243","Saitama City","City","JPN"
2021,44185,"Suwon City","Suwon","South Korea","East Asia","public","City / Municipality","Base year emissions (absolute) target","All emissions sources included in city inventory",NA,"Same (city-wide) – covers entire city and nothing else",2005,2018,5843189,25,2030,4382391.75,NA,NA,NA,NA,9.2,"Global Covenant of Mayors for Climate & Energy; Mexico City Pact",NA,"Yes - 1.5 °C","Yes, but it exceeds its scale or requirement","According to LEDs submitted to the UN in December last year, the national NDC aims to reduce its emissions by 24.4% compared to 2017 emissions by 2030. However, the national NDC target has been requested to be raised and is under review to reset the target. The industrial sector accounts for 70% of national emissions, but in Suwon, the non-industrial sector accounts for more than 80%. Therefore, it is inappropriate to evaluate target intensity through direct comparison with national NDCs. Our reduction target corresponds to a higher level than the reduction target for the non-industrial part of the national reduction scenario. In addition, considering that Suwon's population has increased by more than 17% compared to 2005, the actual reduction is even higher.",1221095,2020,"POINT (126.805 37.17)","2021-10-04T09:30:14.243","Suwon","City","KOR"
2021,49359,"City of Harare","Harare","Zimbabwe","Africa","public","Metropolitan area","No target",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1836552,2019,"POINT (30.9328 -17.8284)","2021-10-04T09:30:14.243","Harare","City","ZWE"
2021,35894,"Ville de Montreal, QC","Montréal","Canada","North America","public","Metropolitan area","Base year emissions (absolute) target","All emissions sources included in city inventory",NA,"Larger – covers the whole city and adjoining areas",1990,2050,15702727,100,NA,0,NA,NA,NA,NA,29,"Deadline 2020 - Delivering the 1.5 degree ambition of the Paris Agreement in a resilient, inclusive way",NA,"Yes - 1.5 °C","No",NA,2069849,2020,"POINT (-73.554 45.5087)","2021-10-04T09:30:14.243","Montréal, QC","City","CAN"
2021,50378,"Municipalidad de San José","San José","Costa Rica","Latin America","public","City / Municipality","Base year emissions (absolute) target","Waste",NA,"Same (city-wide) – covers entire city and nothing else",2017,2020,201008,1,2025,198997.92,NA,NA,NA,NA,5,"Global Covenant of Mayors for Climate & Energy; Other, please specify: Plan de Descarbonización de Costa Rica",NA,"Yes - 2 °C","Yes","Año base: 2017.Recolección Selectiva y Planta Municipal de acopio y tratamiento de residuos separados.  Las reducciones responderían al aumento en la recolección clasificada de residuos por parte de la Municipalidad. Ello disminuiría la cantidad de residuos que se disponen en el relleno sanitario. Para esto, debe considerarse la composición de los residuos domiciliares, la cual, según el estudio de caracterización efectuado por la UNA en el 2015, un 54,8% corresponde a residuos biodegradables, un 10,5% a papel y cartón, un 9,9% a plástico, y en proporciones menores otros tipos de residuos. Para los residuos comerciales, la fracción de biodegradables, papel y cartón representa cada una cerca de un 27%, mientras que el plástico participa en un 15,5%, metales con 2,11%, y otros residuos en otras proporciones menores. Además, según el estudio del BID del 2016, el reciclaje en San José es menor al 1%. Por lo tanto, aumentando la recolección clasificada para la posterior valorización de residuos, se disminuirían las emisiones de metano en los rellenos. Esta acción está fundamentada en el Plan de Acción Climática Municipal / PDM 2017-2020, para lo cual se busca habilitar una planta donde se acopien y traten los residuos recolectados clasificadamente por la Municipalidad. En esta planta se tratarían los residuos orgánicos mediante alguna técnica de compostaje, digestión o tratamiento biológico, y los otros residuos valorizables recibirían algún tratamiento que permita su reaprovechamiento. Para ejecutar esta acción es necesario tomar en cuenta: Cantidad proyectada de residuos a almacenar. Planificación de rutas y horarios de recolección. Equipos y máquinas necesarios para la gestión de residuos.Lugar de construcción y área constructiva de la planta. Planos constructivos, trámites de permisos asociados (CFIA, SETENA, Ministerio de Salud, etc.). Cantidad de personal necesario. Tratamiento por implementar para cada tipo de residuos. Usos potenciales de los residuos tratados. Según el portafolio de acciones de mitigación del sector residuos (PPCNC 2.0), el servicio de recolección puede representar hasta un 60-80% del costo total de la gestión de residuos sólidos municipales. Se requiere información sobre rutas para planificar las recolecciones, definir frecuencias de recolección, consumos de combustible y otros.",347398,2020,"POINT (9.9326 -84.0796)","2021-10-04T09:30:14.243","San José","City","CRI"
2021,62171,"Métropole Rouen Normandie","ROUEN Cedex","France","Europe","public","Intercommunality","Fixed level target","Transport",NA,"Same (city-wide) – covers entire city and nothing else",NA,2005,NA,NA,2050,232921,512000,NA,NA,NA,16.7,"Individual City Commitment",NA,"Do not know","Yes","Augmentation de la part modale du vélo à 25 % au niveau de la ville centre, à l'instar de certaines grandes villes européennes Cit'ergie ainsi qu'une réduction des distances de déplacement de 17 %",492681,2018,NA,"2021-10-04T09:30:14.243","Rouen","City","FRA"
2021,60348,"Prefeitura de São José dos Pinhais",NA,"Brazil","Latin America","public","City / Municipality","Base year emissions (absolute) target",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,264000,2010,NA,"2021-10-04T09:30:14.243","São José dos Pinhais","City","BRA"
2021,834347,"Seberang Perai Municipal Council",NA,"Malaysia","Southeast Asia and Oceania","public","City / Municipality","Baseline scenario (business as usual) target","All emissions sources included in city inventory",NA,"Same (city-wide) – covers entire city and nothing else",2016,2018,8.05,60,2022,NA,NA,NA,NA,11.42,52,NA,"The Methodologies and Modelling are based on 3 years study on the emission trend and mitigation efforts","Yes - 1.5 °C","Yes, and it exceeds its scale or requirement",NA,1108000,2020,"POINT (100.383 5.38333)","2021-10-04T09:30:14.243","Seberang Perai","City","MYS"
2021,46514,"City of Porto","Porto","Portugal","Europe","public","City / Municipality","Base year emissions (absolute) target","All emissions sources included in city inventory",NA,"Same (city-wide) – covers entire city and nothing else",2004,2020,1304,100,2050,0,NA,NA,NA,NA,36.2,"Global Covenant of Mayors for Climate & Energy",NA,"Yes - 1.5 °C","Yes","Sustainable Energy Action Plan reduction target. Reductions from action at a local level (demand management) and national level (supply management). Portugal intends to be carbon neutral by 2050, just like the city of Porto.",231962,2021,"POINT (-8.6291 41.1579)","2021-10-04T09:30:14.243","Porto","City","PRT"
2021,74531,"Santa Fe County, NM","Santa Fe County","United States of America","North America","public","Province / County","Fixed level target","All emissions sources included in city inventory",NA,"Same (city-wide) – covers entire city and nothing else",NA,2017,NA,NA,2050,0,160000,NA,NA,NA,NA,"Cities Race to Zero; We Are Still In",NA,"Yes - 1.5 °C","Yes, but it exceeds its scale or requirement","Net-zero GHG emissions by 2050.",150358,2019,"POINT (-106 35.5)","2021-10-04T09:30:14.243","Santa Fe, NM","City","USA"
2021,50579,"City of Winnipeg, MB","Winnipeg","Canada","North America","public","City / Municipality","Base year emissions (absolute) target","Energy","Includes residential, commercial, industrial building emissions from natural gas and electricity consumption.","Same (city-wide) – covers entire city and nothing else",2011,2018,1819311,NA,2030,NA,NA,NA,NA,NA,NA,"This target does not contribute towards an initiative commitment",NA,"Yes - 2 °C","No","To achieve only an 8% increase in GHG emissions relative to the 2011 baseline by 2030 (or a 145,000 tonne reduction relative to business as usual), the City seeks to support the following goals:- Residential building natural gas consumption does not go above 604,010,541 » m3 (limited to anincrease of approximately 124 percent relative to the 2011 sector baseline). Limiting consumption tothis increase will require homes to incorporate energy efficiency upgrades and/or renewables.- Commercial building natural gas consumption does not go above 448,167,147 m3 (limited to anincrease of approximately 124 percent relative to the 2011 sector baseline). Limiting consumption tothis increase will require commercial buildings to incorporate energy efficiency upgrades and/orrenewables.- 8% of all residential homes have incorporated renewables and/or made significant energy efficiencyupgrades to work towards the achievement of having a net-zero energy and emissions footprint.Renewable measures are likely to include the implementation of (biomass) district energy systems,geo-exchange, and solar technologies or significantly reduce the need for natural gas for space andwater heating.- 12% of all commercial and industrial buildings have included renewables and/or made significantenergy efficiency upgrades that significantly reduce the need for natural gas and work towards being anet-zero building. Such measures are likely to include the implementation of (biomass) district energysystems, geo-exchange, and solar technologies or significantly reduce the need for natural gas forspace and water heating.",766900,2020,"POINT (-97.1375 49.8997)","2021-10-04T09:30:14.243","Winnipeg, MB","City","CAN"
2021,849023,"Uruapan",NA,"Mexico","Latin America","public","City / Municipality","No target",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,334669,2020,NA,"2021-10-04T09:30:14.243","Uruapan","City","MEX"
2021,826396,"Munícipio de Sintra","Sintra","Portugal","Europe","public","City / Municipality","Base year emissions (absolute) target","All emissions sources included in city inventory","Were  not included emissions from wast and water treatment, just energy uses in these sectors.","Same (city-wide) – covers entire city and nothing else",2008,2021,1055513,40.7,2030,625919.209,NA,NA,NA,NA,30,"Global Covenant of Mayors for Climate & Energy",NA,"Do not know","Yes","The National Climate Change Programme 2020/2030 aims to ensure a sustainable GHG emission reduction path to achieve a target of -18% to -23% in 2020 and -30% to -40% in 2030, compared to 2005, ensuring compliance with national mitigation commitments and bringing Portugal in line with European targets and the Paris Agreement. The Sintra SEAP is in line with national targets.",392887,2020,"POINT (-9.38811 38.7984)","2021-10-04T09:30:14.243","Sintra","City","PRT"
2021,68384,"Prefeitura de Engenheiro Coelho",NA,"Brazil","Latin America","public","City / Municipality","No target",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21000,2021,NA,"2021-10-04T09:30:14.243","Engenheiro Coelho","City","BRA"
2021,859252,"Municipalidad de Machu Picchu",NA,"Peru","Latin America","public","City / Municipality","Baseline scenario (business as usual) target",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4146,2020,NA,"2021-10-04T09:30:14.243","Machu Picchu","City","PER"
2021,60599,"Town of Bridgewater, NS","Bridgewater","Canada","North America","public","City / Municipality","Base year emissions (absolute) target","All emissions sources included in city inventory",NA,"Same (city-wide) – covers entire city and nothing else",2011,2018,385000,81,2050,73150,NA,NA,NA,NA,0,NA,NA,"Yes - 2 °C","Yes, but it exceeds its scale or requirement","Exceeds Nova Scotia's GHG emissions targets",8532,2016,"POINT (-64.5188 44.3786)","2021-10-04T09:30:14.243","Bridgewater, NS","City","CAN"
2021,62171,"Métropole Rouen Normandie","ROUEN Cedex","France","Europe","public","Intercommunality","Base year emissions (absolute) target","Other, please specify: Résidentiel",NA,"Same (city-wide) – covers entire city and nothing else",2005,2018,585826,84,2050,93732.16,NA,NA,NA,NA,11.3,"Individual City Commitment",NA,"Do not know","Yes","100 % des bâtiments ayant une performance énergétique supérieure ou équivalente ""BBC rénovation""",492681,2018,NA,"2021-10-04T09:30:14.243","Rouen","City","FRA"
2021,859141,"Takashima City",NA,"Japan","East Asia","public",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2021-10-04T09:30:14.243","Takashima","City","JPN"
2021,60392,"Municipalidad de San Isidro (Lima)","San Isidro (Lima)","Peru","Latin America","public","City / Municipality","Base year emissions (absolute) target","Waste","Don't differ","Same (city-wide) – covers entire city and nothing else",2017,2021,2040,99,2050,20.4,NA,NA,NA,NA,1,"Global Covenant of Mayors for Climate & Energy; One Planet City Challenge",NA,"Yes - 1.5 °C",NA,"Biological or wastewater treatment systems generate great environmental benefits, however, they also represent an important source for the emission of greenhouse gases (GHG), thus contributing directly to climate change. Direct emissions are generated during the removal of organic matter through the activity of microorganisms during treatment processes, for example. While indirect emissions represent 60% of total emissions, they result from energy production and consumption activities, as well as the transportation of fuels and chemical materials for consumption in the WWTP. Wastewater treatment systems are an important source of GHG emissions, so the determination of their GHG emission rates has become an important issue for their control.In the particular case of CH4, as it is the main compound of biogas generated in wastewater treatment systems, it is possible to use this resource in different processes for both combustion engines, lighting and refrigeration systems, as well as for industrial and domestic burners, so various techniques are proposed for their measurement and monitoring either directly on the surface and / or below the water level.Under this context, the municipality of San Isidro is proposing to enable a second Treatment Plant for the irrigation of green areas which would be located on Godofredo García street block 4. Through the redesign of its infrastructure, it seeks to treat a flow of 610 m3 / day (more capacity than the existing WWTP) of wastewater and with an approximate execution budget of S /. 3 593 705.3 million nuevos soles. The treated water will be used to irrigate the green areas of the Grecia, Gandhi, Luis Bernales and Ecological Park parks (Sector No. 02).On the side of GHG emissions reductions, the design and infrastructure of this new treatment plant will focus on the use of greenhouse gas emission reduction technologies, such as methane, mainly; so that these gases are captured to generate energy. Likewise, it is estimated to optimize these new capture systems with the objective of achieving a reduction in emissions of these gases to 21% by the year 2050, equivalent to 16 tons of GHG per year.",65333,2017,"POINT (-77.0273 -12.0977)","2021-10-04T09:30:14.243","San Isidro (Lima)","City","PER"
2021,35884,"City of San Diego, CA","San Diego","United States of America","North America","public","City / Municipality","Base year emissions (absolute) target","All emissions sources included in city inventory","N/A","Same (city-wide) – covers entire city and nothing else",2010,2015,12984993,50,2035,6492496.5,NA,NA,NA,NA,24,"Global Covenant of Mayors for Climate & Energy",NA,"Yes - 2 °C","Yes","N/A",1426000,2021,"POINT (-117.17 32.7181)","2021-10-04T09:30:14.243","San Diego, CA","City","USA"
2021,841154,"Municipalidad de Independencia (Peru)",NA,"Peru","Latin America","public","City / Municipality","No target",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,212111,2019,NA,"2021-10-04T09:30:14.243","Independencia","City","PER"
2021,36039,"Accra Metropolitan Assembly","Accra","Ghana","Africa","public","Metropolitan area","Baseline scenario (business as usual) target","All emissions sources included in city inventory",NA,"Larger – covers the whole city and adjoining areas",2015,2018,2405522,27,2030,NA,NA,NA,NA,4350472,NA,"Global Covenant of Mayors for Climate & Energy","Please Climate Action Plan","Yes - 1.5 °C","Yes","City target is more ambitious because inventory identifies carbon sources to a finer detail. NDC is limited in estimating passenger kilometres and Vehicle Kilometres Travelled data indicators for transport.  Modal split data is available at the city level for Accra.",2514005,2020,"POINT (-0.16819 5.56543)","2021-10-04T09:30:14.243","Accra","City","GHA"
2021,859165,"Kan-onji City",NA,"Japan","East Asia","public","City / Municipality","Base year emissions (absolute) target","All emissions sources included in city inventory",NA,"Same (city-wide) – covers entire city and nothing else",2013,NA,830500,13.18,2022,721040.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2021-10-04T09:30:14.243","Kan-onji","City","JPN"
2021,35993,"Singapore Government","Singapore","Singapore","Southeast Asia and Oceania","public","Sovereign city-state","Base year emissions (absolute) target","All emissions sources included in city inventory",NA,NA,2030,2020,65,50,2050,32.5,NA,NA,NA,NA,NA,"Other, please specify: UNFCCC",NA,"Yes - 2 °C","Yes","As a city-state, this target is also Singapore's Long-Term Low Emissions Development Strategy (LEDS) which we submitted to the UNFCCC.",5685807,2020,"POINT (103.82 1.35208)","2021-10-04T09:30:14.243","Singapore","City","SGP"
2021,68383,"Prefeitura de Itatiba","Itatiba","Brazil","Latin America","public","City / Municipality","No target",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,120858,2021,"POINT (-23 46.5)","2021-10-04T09:30:14.243","Itatiba","City","BRA"
