Account number,Organization,City,Country,Region,C40,Access,Reporting year,Accounting year,Boundary,Protocol,Protocol column,Gases included,Total emissions (metric tonnes CO2e),Scopes Included ,Total Scope 1 Emissions (metric tonnes CO2e),Total Scope 2 Emissions (metric tonnes CO2e),Comment,Increase/Decrease from last year,Reason for increase/decrease in emissions,Population,Population year,GDP,GDP Currency,GDP Year,GDP Source,Average annual temperature (in Celsius)​,​Average altitude (m),​Land area (in square km),City Location,Country Location
57616,"City of Lake Forest, IL","Lake Forest, IL",USA,North America,,Public,2017,2007-01-01 - 2007-12-31,A metropolitan area,U.S. Community Protocol for Accounting and Reporting of Greenhouse Gas Emissions (ICLEI),,CO2; CH4; N2O,402364,Total Scope 1 and Scope 2,,,,This is our first year of calculation,,19375,2010,,,,,8.8,205,45,"(42.258634, -87.840625)","(37.09024, -95.712891)"
31180,Región Metropolitana de Santiago,Santiago,Chile,Latin America,C40,Public,2017,2013-01-01 - 2013-12-31,Administrative boundary of a local government,2006 IPCC Guidelines for National Greenhouse Gas Inventories,"GPC was used for re-organizing information, while for the estimation of emissions (equations and emission factors) the IPCC guidelines was used.",CO2; PFCs; CH4; SF6; N2O; HFCs,28406420,Total Scope 1 and Scope 2,18030830,10375589,"Although a high level of accuracy has been reached in scope 1, scope 2 uses the national electricity consumption disaggregated according to the regional consumption of the year 2014.",Decreased,"The emissions has decreased 1% respect year 2012. 
There was a significant decrease in the energy industry emissions, however it was counteracted by an increase in the transport sector.",6527903,2012,71856593000000,CLP     Chilean Peso,2015,Central Bank of Chile,14,520,15403,"(-33.44889, -70.669265)","(-35.675147, -71.542969)"
31090,District of Columbia,"Washington, DC",USA,North America,C40,Public,2017,2015-01-01 - 2015-12-31,Administrative boundary of a local government,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)",,,8026730,"Total Scope 1, Scope 2 and Waste Scope 3 (Total BASIC emissions)",3635054,4175896,,Decreased,"The regional shift in electricity generation from coal to natural gas is responsible for the largest share of emissions reductions Additionally, the District has experienced a decline in energy consumption, which can be attributed to improvements in building energy efficiency resulting from building codes, incentive programs, and other green building and energy programs.",681170,2016,122146000000,USD     US Dollar,2015,U.S. Bureau of Economic Analysis,14.7,,158,"(38.9071923, -77.0368707)","(37.09024, -95.712891)"
14874,"City of Portland, OR","Portland, OR",USA,North America,C40,Public,2017,2014-01-01 - 2014-12-31,Administrative boundary of a local government,U.S. Community Protocol for Accounting and Reporting of Greenhouse Gas Emissions (ICLEI),,CO2; CH4; N2O,6974544,Total Scope 1 and Scope 2,4610317,2364227,,Decreased,,619360,2014,163692000000,USD     US Dollar,2013,2013 GDP & personal income. U.S. Department of Commerce Bureau of Economic Analysis,12.5,77,376,"(45.52, -122.6819)","(37.09024, -95.712891)"
69967,Alcaldia de Tulua,Tulua,Colombia,Latin America,,Public,2017,2010-01-01 - 2010-12-31,Administrative boundary of a local government,2006 IPCC Guidelines for National Greenhouse Gas Inventories,,CO2; CH4; N2O,208681,Total Scope 1 and Scope 2,,,Vale aclarar que estos datos pueden tener una incertidumbre de media a alta dado la naturaleza de los datos de actividad y los factores de emisión fueron seleccionados por defecto del IPCC.,,,209086,2017,,COP     Colombian Peso,,,27,980,910,"(4.08618, -76.19793)","(4.5709, -74.2973)"
31179,Gemeente Rotterdam,Rotterdam,Netherlands,Europe,C40,Public,2017,2016-01-01 - 2016-12-31,Other: Geopolitical Boundary - physical areas over which local government has jurisdictional control.,Other: We compute scope 1 emissions for city and port and also scope 2 for the built environment,"For the city of Rotterdam, the GHG protocol is used and the governmental boundaries apply, hence including the port, we compute all scope 1 emissions. Industrial activities in the port area encompasses several energy production plants, therefore scope 2 emissions from the industry are not computed. We only monitor scope 2 emissions for the built environment. This number is filled in in C1.5 but is not used for the monitoring of the RCI target.  An inventory was made on the emissions in 2009 and 2011 of other green house gases, but these numbers have limited accuracy. Therefore, these numbers are not included in C1.5. The most recent data that are now (April, 2017) available refer to the situation in 2015.",CO2,34190633,Total Scope 1 and Scope 2,32619756,1570877,,Increased,"The total amount of CO2-emission in Rotterdam in 2015 has increased compared to the 2014-emissions. 34190633 tonnens in 2015 compared to 31512000 tonnes in 2014. It is the second relevant increase in a row, due to two new coal fire plants that started their operations. For that cause, we expect a further increase in 2016 and a decrease in 2017 when an old coal fire plant wil be closed.",624000,2014,53457000,EUR     Euro,2013,www.rotterdam.nl,11,-5,208,"(51.9163716, 4.4509382)","(52.132633, 5.291266)"
50384,Prefeitura de Florianópolis,Florianópolis,Brazil,Latin America,,Public,2017,2013-01-01 - 2013-12-31,A metropolitan area,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)",IDOM / COBRAPE / BID /PMF (2014),,740635,"Total Scope 1, Scope 2 and Waste Scope 3 (Total BASIC emissions)",1305206,145259,,Increased,"A diferença de emissões entre os anos é de 601.421 tCO2e, ou seja, houve um acréscimo de 42% em 2013 se comparado à 2010. Os setores de maior contribuição foram AFOLU, que deixou de sequestrar 6% e Transportes que passou a emitir 3% a mais.",550000,2010,8787850000,USD     US Dollar,2013,IBGE,20,3,438,"(-27.5949884, -48.5481743)","(-14.235004, -51.92528)"
54075,City of Lakewood,Lakewood,USA,North America,,Public,2017,2015-01-01 - 2015-12-31,Administrative boundary of a local government,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)",,,1652223,"Total Scope 1, Scope 2 and Waste Scope 3 (Total BASIC emissions)",856008,774167,,Decreased,"The last inventory represented 2007 emissions, and the 2015 GPC BASIC inventory shows that emissions have decreased by approximately 8.5% since then. Significant decreases in GPC BASIC emissions occurred in residential buildings, on-road transportation, and wastewater treatment.

Colorado state law requires Lakewood's electric utility to increase the efficiency of their operations and source increasing amounts of energy from low- to zero-carbon sources (i.e. renewable energy, recycled energy, etc.). As a result, the mix of energy sources that supply the electric grid changes every year and the resulting electricity emission factor decreases every year. Based on data from Lakewood electric utility provider, Xcel Energy, electricity emission factors decreased nearly 16% from 2007 to 2015. This trend was the primary cause of decreased emissions.",152589,2015,,,,,8.4,1638,114.5,"(39.7047, -105.0814)","(37.09024, -95.712891)"
35848,Municipality of Belo Horizonte,Belo Horizonte,Brazil,Latin America,,Public,2017,2015-01-01 - 2015-12-31,Administrative boundary of a local government,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)","GHG emissions by fuel consumption -Different concentrations of biofuels (ethanol and biodiesel) were established by the national authority for the distribution of Automotive Gasoline and Diesel. These concentrations were considered in the calculations and applied to the total of each fuel checked for the municipality, according to regulatory developments in the industry. GHG emissions for electricity consumption - The indirect CO2 emissions per electricity consumption were calculated taking into account the average emission factor of the National Interconnected System in each year of the period considered. GHG emissions per treatment and release of liquid effluents - Belo Horizonte has 4 sewage treatment plants (STP) in operation, which are emitting methane and nitrous oxide.There are a fifth STP that employs physicolchemical processes that do not emit greenhouse gases. A fraction of sewage collected in Belo Horizonte is not forwarded to any treatment plant, being deposited directly into the water body; another fraction of wastewater, which is not collected, it is presumably treated in septic systems (septic tanks), followed by infiltration. GHG emissions by treating municipal solid waste - Landfill - The solids waste generated in Belo Horizonte are taken for disposal in landfill (CTR Macaúbas), where there is no biogas recovery system. It was assumed that 100% of the biogas generated in massive municipal solid waste is released into the atmosphere. A fraction of the waste collected in the city is still willing to massive treatment center CTR-BR-040 in Belo Horizonte, in a separate area where, from 2010, began a system of thermoelectric generation from biogas generated at the landfill. Thus, biogas derived from the ancient massive waste should not be considered in the GHG inventory from 2010. Is it considered only the fraction derived from the provisions in recent separate area and not covered by biogas recovery system. It is worth mentioning that according to this model first-order decay, For purposes of this inventory, we adopted a period of 10 (ten) years as horizon degradation of waste within the massif. Composting - BH also conducts composting for organic waste. These activities take place in the CTRS Rod BR-040 and may incur nitrous oxide and methane.",,4494883,"Total Scope 1, Scope 2 and Waste Scope 3 (Total BASIC emissions)",2393341.15,542481.74,,Increased,,2513451,2016,87656760000,BRL     Brazilian Real,2014,IBGE,21,900,331,"(-19.916681, -43.934493)","(-14.235004, -51.92528)"
31163,Istanbul Metropolitan Municipality,Istanbul ,Turkey,Europe,C40,Public,2017,2015-01-01 - 2015-12-31,A metropolitan area,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)",GPC Version 2.0 (2014) was used to calculate GHG emissions.,,47862539,"Total Scope 1, Scope 2 and Waste Scope 3 (Total BASIC emissions)",30915232,18065288,,Increased,"Compared to the last emissions inventory developed in 2010, it is seen that the highest increase is from stationary units. The increase in greenhouse gases emitted from the stationary units is due to the increase in electricity and natural gas consumption.Despite the reduction in consumption of LPG, gasoline and fuel in public transport vehicles, an increase of more than 50% in diesel consumption has led to an increase in on-road tranportation emissions.Along with the increase in the number of vehicles, it is considered that the amount of fuel consumed during the construction of the large infrastructural investments which have recently increased is also effective in this increase.Unlike the 2010 inventory, emissions from aviation and water-borne navigation are included in the inventory in 2015.",14804116,2016,622762000000,TRY     New Turkish Lira,2014,Turkish Statistical Institute,13.7,100,5343,"(41.0082, 28.9784)","(38.963745, 35.243322)"
59552,"City of Davis, CA","Davis, CA",USA,North America,,Public,2017,2009-01-01 - 2010-01-01,Administrative boundary of a local government,U.S. Community Protocol for Accounting and Reporting of Greenhouse Gas Emissions (ICLEI),The City updated the inventory in 2012 using the latest available data from 2010.,CO2; CH4; N2O; HFCs,348347,Total Scope 1 and Scope 2,348437,,,Decreased,Lower carbon emission electricity energy mix (grid).,65600,2010,,USD     US Dollar,2016,N/A,23,15,25,"(38.544907, -121.740517)","(37.09024, -95.712891)"
36037,Santiago de Cali,Santiago de Cali,Colombia,Latin America,,Public,2017,2010-01-01 - 2010-12-31,Combination of administrative divisions,2006 IPCC Guidelines for National Greenhouse Gas Inventories,,CO2; CH4; N2O,4174608,Total Scope 1 and Scope 2,,,,,,2369829,2015,4540,,2012,DAPM,24.7,995,566,"(3.451647, -76.531985)","(4.570868, -74.297333)"
49360,Pretoria - Tshwane,Pretoria - Tshwane,South Africa,Africa,C40,Public,2017,2014-07-01 - 2015-06-30,Administrative boundary of a local government,International Emissions Analysis Protocol (ICLEI),The methodology as defined in the International Local Government GHG Emissions Analysis Protocol V1.0 and the Local Government Operations Protocol for the Quantification and Reporting of GHG Inventories V1.1 where used where applicable and viable.,CO2; CH4; N2O,15236693,Total Scope 1 and Scope 2,4648959,10589996,The 2014/2015 GHG calculation was the third carbon footprint in three consecutive years and there has been a similar trends in the City.,Increased,The exclusion of the Eskom and Pre-paid energy usage in the baseline figures. The two subsequent years the afore-mentioned usage was included.,3300000,2017,2739000000,ZAR     South African Rand,2016,STATSSA,17,1339,6298,"(-25.746111, 28.188056)","(-30.559482, 22.937506)"
50680,Cascais,Cascais,Portugal,Europe,,Public,2017,2010-01-01 - 2010-12-31,Administrative boundary of a local government,2006 IPCC Guidelines for National Greenhouse Gas Inventories,"this was made with calculous platforms from international organizations such as UN (IPCC, and ICLEI) as well as EU comission",CO2,565382,Total Scope 1 and Scope 2,565382,266221,http://www.cm-cascais.pt/projeto/matriz-energetica-de-cascais,Decreased,We have verified a decrease in fuel consumption between the mentioned time period.,208122,2014,,,2014,,17,,97,"(38.6970565, -9.4222945)","(39.399872, -8.224454)"
31009,City of Copenhagen,Copenhagen,Denmark,Europe,C40,Public,2017,2015-01-01 - 2015-12-31,Administrative boundary of a local government,Other,"The methodology used provides an inventory of greenhouse gases at the municipality level, divided into sectors. The sectors are similar to those used for the official Danish emission inventory (IPCC sectors), and include; collective power and heating, Indivitual heating, Mobile sources, Tranportation and machinery, Industrial processes, Solvents, Agriculture, Land use, and waste depositing and wastewater.Simplified generalizations of the equations used for emission calculations are used. These are based on the assumption that emissions of a given activity can be estimated using data descriptive for the size of the activity multiplied by an emission factor pr unit or activity. That is, the inventory is primarily based on scope-2 data on heat and power consumption and scope-1 data on road traffic.The method includes CO2-, CH4- and N2O-emission in the inventory.As for the national inventories the calculation is built into several levels (Tiers) with increased requirements for municipalities regarding data quality. Each municipality may use different tiers for different sectors depending on the data available.Tier 1 is mainly based on the Danish national greenhouse gas inventory data using appropriate distribution keys, in most cases the municipality's share of total population, for a given activity into municipality level.Tier 2 is more detailed and includes emission factors used in the Danish national greenhouse gas inventories, while municipalities use their own activity data.At Tier 3, which is the most detailed level; municipalities use municipality specific emission factors and activity data.",CO2; CH4; N2O,1450358,Total Scope 1 and Scope 2,,,,Decreased,"The CO2-emissions from the City of Copenhagen in 2015 was 11% lower than the emissions in 2014. The reduction in the emissions is primarily caused by more wind power i the power production in Copenhagen and in Denmark in general.


For Denmark as a whole, one kilowatt-hour of electricity emitted an average of almost 29% less CO2 in 2015 than in 2014. This drop is partly attributable to higher wind production as well as more use of biomass in combined heat and power production.",602504,2016,323182960000,DKK     Danish Krone,2015,"Danmarks Statistik, Statistics Denmark",8,9,86,"(55.6760968, 12.5683371)","(56.26392, 9.501785)"
31052,City of Cardiff,Cardiff,United Kingdom,Europe,,Public,2017,2014-01-01 - 2014-12-31,Administrative boundary of a local government,Other,Department of Energy and Climate Change (DECC) local authority CO2 emissions data,CO2,1959900,Total Scope 1 and Scope 2,,,Central government data (DECC). This is the only data available at the city scale but progress is rigorous and consistent.,Decreased,Main reduction in industry / commercial emissions but also some decrease in domestic emissions,354300,2014,11000000000,GBP     Pound Sterling,2015,gvairereferencetables,9.7,65,140,"(51.481581, -3.17909)","(55.378051, -3.435973)"
50359,Gobierno Municipal de León de los Aldamas,León de los Aldamas,Mexico,Latin America,,Public,2017,2013-01-01 - 2013-12-31,Administrative boundary of a local government,2006 IPCC Guidelines for National Greenhouse Gas Inventories,"En el municipio de León, los sectores emisores identificados y evaluados, aplicando la metodología del IPCC 2006 y Factores de Emisión (FE), presentan adecuaciones puntuales en respuesta a las características específicas de las actividades productivas en León; por ejemplo, se incluyó la producción artesanal de tabique,  con apego a las disposiciones estipuladas en el Programa Especial de Cambio Climático.El cálculo de GEI y el inventario aquí presentado, es el primer paso para el emprendimiento de una serie de estrategias que atiendan la problemática del cambio climático en el municipio, con base en el registro de la cantidad total de GEI, su distribución en cada sector y las tendencias de generación de estos contaminantes por parte de los distintos sectores. 	Asimismo, se añade la estimación de Carbono Negro (CN) para la realización del inventario municipal, por lo que fue necesario recurrir a diferentes fuentes de información oficial, con la finalidad de tener una base sólida y verídica de los datos a emplear para los cálculos de este capítulo. Igualmente se analizó información presentada en diferentes diagnósticos y estudios de áreas específicas dentro del municipio de León, como lo fueron los estudios realizados por el IMPLAN en las zonas del Valladito y el Refugio por loa producción de ladrillos que se realiza en ambas zonas.",CO2; PFCs; CH4; SF6; N2O; HFCs,5012133,Total Scope 1 and Scope 2,4045605,4276173,La elaboración del presente inventario contó con  asistencia técnica del Centro Mario Molina (utilizando la ya mencionada metodología del IPCC 2006 y los factores de emisión para las diferentes categorías analizadas) quienes posteriormente verificaron y validaron dicho inventario.,,,1578626,2015,218,MXN Mexican Peso,2015,Gobierno Municipal de León,19.3,1800,1283,"(21.122062, -101.683659)","(23.634501, -102.552784)"
58590,"City of Easton, PA","Easton, PA",USA,North America,,Public,2017,2016-01-01 - 2016-12-31,Administrative boundary of a local government,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)","Our inventory addresses stationary energy and inboundary travel with consideration of CO2, CH4, and N2O, as required by the Global Covenant of Mayors in Year 1 of participation.",,350900,"Total Scope 1, Scope 2 and Waste Scope 3 (Total BASIC emissions)",203727,147172,,This is our first year of calculation,This year is the first of Easton’s community GHG inventory,26915,2015,1146500000,,,Lehigh Valley source. Scaled to population size,10,64,12,"(40.6884, -75.2207)","(37.09024, -95.712891)"
53959,"City of Fayetteville, AR","Fayetteville, AR",USA,North America,,Public,2017,2016-01-01 - 2016-12-31,A metropolitan area,U.S. Community Protocol for Accounting and Reporting of Greenhouse Gas Emissions (ICLEI),,CO2; CH4; N2O; HFCs,1454781,Total Scope 1 and Scope 2,,,"Data retrieved came directly from utility companies and ICLEI resources were used to ensure proper methodology was used but we are only able to include the 5 minimum sources: Electric, Gas, waste, water movement, and VMT. We also had to use certain defaults (such as the Default vehicle mix and the default municipal solid waste Emissions Factor) as we do not have specific data in those areas.",This is our first year of calculation,,82830,2016,,,,,14.5,1270,139.5,"(36.082156, -94.171854)","(37.09024, -95.712891)"
60318,Prefeitura de Porto Velho,Porto Velho,Brazil,Latin America,,Public,2017,2013-01-01 - 2013-12-31,Combination of administrative divisions,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)","O inventario de Porto Velho, na verdade pode ser  chamado de diagnostico,  uma vez que a maior parte dos dados foram obtidos de fontes secundária e extrapolados.",,,"Total Scope 1, Scope 2 and Waste Scope 3 (Total BASIC emissions)",,,,,,494013,2013,2363878,,2013,ibge,,,,"(-20.333764, -40.377582)","(-14.235004, -51.92528)"
58543,Byron Shire Council,Byron Shire,Australia,South Asia and Oceania,,Public,2017,2015-07-01 - 2016-06-30,Administrative boundary of a local government,Other,Methodology developed by researchers at Beyond Zero Emissions,CO2; CH4,263199,Total Scope 1 and Scope 2,,,,This is our first year of calculation,,29209,2011,1460000000,AUD     Australian Dollar,2015,NIEIR,23.7,,556,"(-28.6534, 153.5334)","(-25.274398, 133.775136)"
50572,"City of Saint Paul, MN","Saint Paul, MN",USA,North America,,Public,2017,2015-01-01 - 2015-12-31,Administrative boundary of a local government,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)",,,,"Total Scope 1, Scope 2 and Waste Scope 3 (Total BASIC emissions)",2878153,1179791,,This is our first year of calculation,This is our first year completing a GPC compliant inventory.,300353,2015,21200000000,USD     US Dollar,2015,,,,145,"(44.953703, -93.089958)","(37.09024, -95.712891)"
43912,City of Edmonton,Edmonton,Canada,North America,,Public,2017,2015-01-01 - 2015-12-31,Administrative boundary of a local government,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)","The City recently switched to the GPC Basic Plus reporting protocol from previously using IEAP supported by ICLEI. The process around data collection has become more complex as a result. In summary completing the inventory involves manually collecting empirical utility use information from the utilities for natural gas and electricity used within the geographic border of the City of Edmonton. This information is provided to us in various reporting categories such as residential, commercial and industrial. We are now receiving this information at the finest level of granularity that can be provided from the utilities. Propane fuel use for transportation is taken from Statistics Canada as recorded for the Province of Alberta, which is then prorated according to the population of Edmonton compared to the population of Alberta. The diesel and gasoline use in litres is done in a similar fashion, but the information in this case is provided to us from the Alberta provincial government. This information is further adjusted by provincial fleet data and mileage statistics available for vehicle type. The natural gas consumption in vehicles is received directly from the natural gas distributor. The conversion factors are derived from various sources: electricity grid intensity comes from Statistics Canada - this factor, is always two years behind the calendar year; natural gas and liquid fuel combustion factors are from US Environmental protection Agency, and Natural Resources Canada references, and the local utilities. The data are input manually each year into an excel spreadsheet model, and the conversion factors are checked for updates each year. Reports on the results are sent out on an as needed, customized basis.",,13357063,"Total Scope 1, Scope 2 and Waste Scope 3 (Total BASIC emissions)",10215142,6361560,,Increased,"The increase in the Community 2015 inventory from 2014 is roughly 2% (400,000 TCO2e greater in 2015 than realized in 2014 which had a total of 16,576,702 TCO2e). Comparing the numbers however is a bit unfair as the 2015 total was derived using the GPC reporting protocol and the 2014 used IEAP. New categories added to the inventory in 2015 include scope 3 emissions for the residential commercial and industrial sectors, as well as sectors of: Energy Industries, Energy generation to grid, Fugitive natural gas emissions, railway, aviation and off road, biological waste water, solid waste outside the city, biological waste outside the city, waste water outside the city, land and aggregate sources on land. The emissions from residential, commercial and industrial buildings all declined in 2015, more than likely due to the warmer weather throughout the year.",893000,2015,45228000000,CAD     Canadian Dollar,2015,Edmonton Chief Economist - John Rose - Real GDP at Market Prices in 2007 dollars,3.6,671,684,"(53.544389, -113.4909267)","(56.130366, -106.346771)"
55616,Los Altos Hills,Los Altos Hills,USA,North America,,Public,2017,2015-01-01 - 2015-12-31,Administrative boundary of a local government,U.S. Community Protocol for Accounting and Reporting of Greenhouse Gas Emissions (ICLEI),We also participated in the GPC community inventory pilot in 2015. We were the only city from the US in their initial pilot.,CO2,57243,Total Scope 1 and Scope 2,47552,9691,,Decreased,"From 2014 to 2015 our emissions decreased from 78,678 MT to 77,583 MT. This was primarily due to decreased VMT (data obtained from state agencies) and reductions in Heating Fuel use due to a milder winter.",7992,2016,9900000,USD     US Dollar,2016,"Property taxes, permit and license fees, charges for services",14.3,89,21.8,"(37.3797, -122.1375)","(37.09024, -95.712891)"
54409,City of Espoo,Espoo,Finland,Europe,,Public,2017,2015-01-01 - 2015-12-31,Administrative boundary of a local government,Other,Regionally developed methodology equivalent to GPC (and IPCC guidelines),CO2; CH4; N2O,1233581,Total Scope 1 and Scope 2,914868,318713,Regionally developed methodology equivalent to GPC (and IPCC guidelines). There has been no external verification or audition. Cities of the Helsinki metropolitan area have jointly approved the current calculations methodology. The person responsible for calculating emissions is mr. johannes.lounasheimo@hsy.fi,Decreased,"The energy company Fortum is producing even more of the district heat with renewables. More of the the electricity used is low emission energy, for excample norwegian hydropower.

The total emissions are decreasing slower because Espoo is a very fast growing city,",274522,2016,,,,NA,7.3,26,312,"(60.205491, 24.6559)","(61.9241, 25.7482)"
54388,Iskandar Regional Development Authority,Iskandar ,Malaysia,South Asia and Oceania,,Public,2017,2015-01-01 - 2015-12-31,A metropolitan area,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)",,,15.47,"Total Scope 1, Scope 2 and Waste Scope 3 (Total BASIC emissions)",21.27,6.79,,This is our first year of calculation,,1945000,2016,27025,,2012,"Iskandar Malaysia Comprehensive Development Plan, 2014-2025 (CDPii), March 2015 (GDP year: 2006)",30,547,2217,"(5.714476, 100.992084)","(4.210484, 101.975766)"
42123,City of Goiânia,Goiânia,Brazil,Latin America,,Public,2017,2017-01-01 - 2017-12-31,Administrative boundary of a local government,2006 IPCC Guidelines for National Greenhouse Gas Inventories,"The Protocol for Global Community - Scale GHG Emissions (GPC 2012) was used as standard for the categorization and allocation of emissions and aggregation of results.The GPC consists of a compilation of guidelines for the preparation of municipal inventories of GHG emissions. The GPC 2012 shares the terminology of various international programs reporting of emissions, including the C40 Cities Climate Leadership Group, the International Local Government GHG Emissions Analysis Protocol (IEAP-ICLEI) and the GHG Protocol Corporate Accounting and Reporting Standard. Moreover, GPC 2012 converses directly with the IPCC 2006 Guidelines for National GHG Inventories.Aiming at a broad identification of emission sources and the establishment of a flow of information necessary for the completion of this study, four teams were created themes, being: stationary units, mobile units, and waste, industrial processes and product uses. The teams were grouped in four thematic workshops held between 26 and 27 June 2012 at the Administrative Center of the city of Goiania. During the implementation of these workshops were identified institutions and those responsible for sending the information necessary for calculations of emissions of greenhouse gases in the municipality.For calculations of GHG emissions used the IPCC Inventory Software (IIS) version 2.0, a software developed and provided by the Intergovernmental Panel on Climate Change (IPCC).The data were placed on the software as a correspondence between GPC and IPCC categories, except in the case of the activities of electricity consumption (scope 2 emissions, the GPC category that has no corresponding IPCC - these emissions have been included in Section 5 - other).Another category that deserves observation refers to the disposal of solid waste in landfills. For this category we used the GPC, which allocates all expected emissions inventory in the year in which the waste is landfilled, IIS was not used for the calculation of this emission source.",,2016320,Total Scope 1 and Scope 2,,,,,,1301892,2010,30131330,BRL     Brazilian Real,2010,IBGE - Brazilian Institute of Geography and Statistical,23.2,749,739,"(-16.6868912, -49.2647943)","(-14.235004, -51.92528)"
35475,City of Calgary,Calgary,Canada,North America,,Public,2017,2016-01-01 - 2016-12-31,Administrative boundary of a local government,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)",This is the second year using this protocol. The inventory was completed to a BASIC level.,,17679137,"Total Scope 1, Scope 2 and Waste Scope 3 (Total BASIC emissions)",10178353,7502924,,Decreased,"The 2016 community wide GHG inventory shows a 3.1% decrease in emissions from 2015.  This is associated with a decrease in the burning of fossil fuels in the city boundaries.  The population has increased by 31,140 citizens from 2015 to 2016, which has driven an increase (+2.6%) in solid waste and emissions from wastewater treatment.  There was a 2.3% decrease in stationary energy (SE) use Scope 1 emissions, which may be due to a warmer than average winter, and 2.2% decrease in SE Scope 2 emissions relating to electricity, which may be due to more efficient use of electricity and more renewable energy on the Provincial grid.  The sector which saw the greatest decrease (-4.9%) in emissions was from Transportation.  This is likely a result of the economic downturn that Calgary has experienced since 2014.  A high unemployment rate means that less workers are commuting, and perhaps trips for leisure have also been curtailed.",1235055,2016,113400000000,CAD     Canadian Dollar,2016,http://www.calgaryeconomicdevelopment.com/dmsdocument/22,4.1,1084,848,"(51.048615, -114.070846)","(56.130366, -106.346771)"
31111,Tokyo Metropolitan Government,Tokyo,Japan,East Asia,C40,Public,2017,2013-04-01 - 2014-03-31,Administrative boundary of a local government,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)",,,70733403,"Total Scope 1, Scope 2 and Waste Scope 3 (Total BASIC emissions)",33363185,43602201,,This is our first year of calculation,,13646764,2017,94400000000000,JPY     Japanese yen,2016,,,,2191,"(35.6896342, 139.6921007)","(36.204824, 138.252924)"
54113,City of Flagstaff,Flagstaff,USA,North America,,Public,2017,2016-01-01 - 2016-12-31,Administrative boundary of a local government,Other: Excel,Formulas taken from The Climate Registry: Pacificorp Data ('07 Generation),CO2,1424563,Total Scope 1 and Scope 2,949707.2,474855.76,Our emissions inventory is based on the best data available. We have gaps in our methodology we hope to address in future years.,Increased,"Emissions resulting from transportation (specifically, the amount of gasoline and diesel) have increased since our last reported emissions inventory (2015 data). Additionally, we have improved some emissions data collection methods, which may have resulted in more accurate, but higher, emissions being recorded. We have also included natural gas used for transportation, which was not included in the previous inventory.",68667,2013,4903000000,USD     US Dollar,2015,"University of Arizona: Real GDP, Millions of Chained 2009 Dollars, Bureau of Economic Analysis https://ebr.eller.arizona.edu/current-indicators/browse-topic/gross-domestic-product",6.5,2134,165,"(35.1992, -111.6311)","(37.09024, -95.712891)"
