Year Reported to CDP,Account Number,Organization,City,Country,CDP Region,Reporting Authority,Access,City-wide Emissions Inventory,Accounting Year,Inventory Boundary,Primary Protocol,Primary Protocol Comment,Common Reporting Framework inventory format (GPC) ,Gases Included,Direct emissions/ Scope 1 (metric tonnes CO2e) for Total generation of grid supplied energy ,Direct emissions/ Scope 1 (metric tonnes CO2e) for Total emissions (excluding generation of grid-supplied energy) ,Indirect emissions from use of grid supplied energy/Scope 2 (metric tonnes CO2e) for Total generation of grid supplied energy,Indirect emissions from use of grid supplied energy/Scope 2 (metric tonnes CO2e) for Total emissions (excluding generation of grid-supplied energy),Emissions occurring outside city boundary/ Scope 3 (metric tonnes CO2e) for Total generation of grid supplied energy ,Emissions occurring outside city boundary/ Scope 3 (metric tonnes CO2e) for Total emissions (excluding generation of grid-supplied energy) ,Total Scope 1 Emissions (metric tonnes CO2e),Total Scope 2 Emissions (metric tonnes CO2e),Total Scope 3 emissions (metric tonnes CO2e),Total BASIC Emissions (GPC),Total BASIC+ Emissions (GPC),Chnage in emissions,Reason for change,​Land area (in square km),Population,Population Year,City Location,Last update
2018,49335,Metropolitan Government of Nashville and Davidson County,Nashville,United States of America,North America,"CDP Cities, ICLEI - Local Governments for Sustainability",public,Yes,2014-01-01 - 2014-12-31,Administrative boundary of a local government,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)",,,GPC gases,,,,,,,6680198,5801169,979925,13461292,13461292,Increased,Improved data accuracy,,667560,2017,POINT (-86.7816 36.1627),2020-05-01T03:57:54.890
2018,31166,Jakarta City Government,Jakarta,Indonesia,Southeast Asia and Oceania,"C40, CDP Cities, ICLEI - Local Governments for Sustainability, WWF",public,Yes,2017-01-01 - 2017-12-31,Administrative boundary of a local government,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)",,,GPC gases,,,,,,,19503.35,27752,,,,Increased,Increased energy/electricity consumption,,10075310,2014,POINT (106.865 -6.1751),2020-05-01T03:57:54.890
2018,31179,Gemeente Rotterdam,Rotterdam,Netherlands,Europe,"C40, CDP Cities, ICLEI - Local Governments for Sustainability",public,Yes,2016-01-01 - 2016-12-31,Other: Geopolitical Boundary - physical areas over which local government has jurisdictional control.,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)",,,GPC gases,,,,,,,34188.661,,,,,Increased,,,638.466,2017,POINT (4.45093 51.9164),2020-05-01T03:57:54.890
2018,50384,Prefeitura de Florianópolis,Florianópolis,Brazil,Latin America,"CDP Cities, ICLEI - Local Governments for Sustainability, WWF",public,Yes,2013-01-01 - 2013-12-31,A metropolitan area,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)",,,GPC gases,,,,,,,1358385,,,740635,2099020,,,,550000,2010,POINT (-48.5482 -27.595),2020-05-01T03:57:54.890
2018,35393,City of St Louis,St Louis,United States of America,North America,"CDP Cities, ICLEI - Local Governments for Sustainability",public,Yes,2015-01-01 - 2015-12-31,Administrative boundary of a local government,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)",,,GPC gases,,,,,,,2882605,,,7203267,7219170,Stayed the same,No new inventory to report,,319294,2010,POINT (-90.1994 38.627),2020-05-01T03:57:54.890
2018,54529,City of Leicester,Leicester,United Kingdom of Great Britain and Northern Ireland,Europe,"CDP Cities, ICLEI - Local Governments for Sustainability",public,Yes,2015-01-01 - 2015-12-31,Administrative boundary of a local government,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)",,,GPC gases,,,,,,,1043,379,383,1392,1804,Decreased,Technological change,,349500,2016,POINT (-1.1333 52.6333),2020-05-01T03:57:54.890
2018,60207,City of Windhoek,Windhoek,Namibia,Africa,"CDP Cities, ICLEI - Local Governments for Sustainability",public,No,,,,,,,,,,,,,,,,,,,,,322500,2011,POINT (17.0658 -22.5609),2020-05-01T03:57:54.890
2018,35993,Singapore Government,Singapore,Singapore,Southeast Asia and Oceania,"C40, CDP Cities, ICLEI - Local Governments for Sustainability",public,Yes,2012-01-01 - 2012-12-31,Administrative boundary of a local government,2006 IPCC Guidelines for National Greenhouse Gas Inventories,2006 IPCC Guidelines for National Greenhouse Gas Inventories,,"CH4, CO2, HFCs, N20, PFCs, SF6",,,,,,,48094650,0,,Not Applicable,Not Applicable,Increased,Financial conditions,,5610000,2017,POINT (103.82 1.35208),2020-05-01T03:57:54.890
2018,43912,City of Edmonton,Edmonton,Canada,North America,"CDP Cities, ICLEI - Local Governments for Sustainability",public,Yes,2017-01-01 - 2017-12-31,Administrative boundary of a local government,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)",,,GPC gases,,,,,,,10031542,6210270,2886586,15411583,18892134,Increased,Change in weather conditions,,950000,2017,POINT (-113.491 53.5444),2020-05-01T03:57:54.890
2018,58796,Odder Kommune,Odder,Denmark,Europe,"CDP Cities, ICLEI - Local Governments for Sustainability",public,No,,,,,,,,,,,,,,,,,,,,,22.626,2017,POINT (10.15 55.9757),2020-05-01T03:57:54.890
2018,8242,City of Helsinki,Helsinki,Finland,Europe,"CDP Cities, ICLEI - Local Governments for Sustainability, Union of the Baltic Cities",public,Yes,2017-01-01 - 2017-12-31,Administrative boundary of a local government,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)",,,GPC gases,,,,,,,2184276,483663,0,2668060,,Decreased,Technological change,,644700,2017,POINT (24.941 60.1733),2020-05-01T03:57:54.890
2018,59552,"City of Davis, CA","Davis, CA",United States of America,North America,"CDP Cities, ICLEI - Local Governments for Sustainability",public,Yes,2009-01-01 - 2010-01-01,Administrative boundary of a local government,,,,,,,,,,,,,,,,,,,68111,2016,POINT (-121.741 38.5449),2020-05-01T03:57:54.890
2018,54337,Greater Amman Municipality,Amman,Jordan,Middle East,"C40, CDP Cities, ICLEI - Local Governments for Sustainability, WWF",public,Yes,2016-01-01 - 2016-12-31,A metropolitan area,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)",,,GPC gases,,,,,,,3561386,4209529,244991,8015906,8015906,Increased,Population increase,,3800000,2017,POINT (35.9284 31.9454),2020-05-01T03:57:54.890
2018,54575,Vhembe District Municipality,Vhembe,South Africa,Africa,"CDP Cities, ICLEI - Local Governments for Sustainability",public,In progress,,,,,,,,,,,,,,,,,,,,,1441178,2017,POINT (29.974 -22.7695),2020-05-01T03:57:54.890
2018,54493,Kristiansand Municipality,Kristiansand,Norway,Europe,"CDP Cities, ICLEI - Local Governments for Sustainability, Union of the Baltic Cities",public,Yes,2016-01-01 - 2016-01-12,Administrative boundary of a local government,,,,,,,,,,,,,,,,,,,91440,2017,POINT (8.0182 58.1599),2020-05-01T03:57:54.890
2018,35859,City of Cleveland,Cleveland,United States of America,North America,"CDP Cities, ICLEI - Local Governments for Sustainability, WWF",public,Yes,2016-01-01 - 2016-12-31,A metropolitan area,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)",,,GPC gases,,,,,,,8929029,3076598,536417,7846700,1254024,Decreased,Technological change,,396815,2010,POINT (-81.6944 41.4993),2020-05-01T03:57:54.890
2018,54111,City of Iowa City,Iowa City,United States of America,North America,"CDP Cities, ICLEI - Local Governments for Sustainability",public,Yes,2016-01-01 - 2016-12-31,Administrative boundary of a local government,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)",,,GPC gases,,,,,,,502858,430270,,933127,,Decreased,Change in weather conditions,,74398,2016,POINT (-91.5302 41.6611),2020-05-01T03:57:54.890
2018,54109,City of Bloomington,Bloomington,United States of America,North America,"CDP Cities, ICLEI - Local Governments for Sustainability",public,Yes,2016-01-01 - 2016-12-31,Administrative boundary of a local government,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)",,,GPC gases,,,,,,,385100,849669,93841,1281983,1328610,Decreased,Technological change,,84067,2016,POINT (-86.5264 39.1653),2020-05-01T03:57:54.890
2018,35879,City of Minneapolis,Minneapolis,United States of America,North America,"CDP Cities, ICLEI - Local Governments for Sustainability",public,Yes,2016-01-01 - 2016-12-31,Administrative boundary of a local government,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)",,,GPC gases,,,,,,,2522163,1470842,124288,4117293,4117293,Decreased,Technological change,,419952,2016,POINT (-93.2667 44.9833),2020-05-01T03:57:54.890
2018,36504,Comune di Rimini,Rimini,Italy,Europe,"CDP Cities, ICLEI - Local Governments for Sustainability",public,In progress,,,,,,,,,,,,,,,,,,,,,148923,2016,POINT (12.5695 44.0678),2020-05-01T03:57:54.890
2018,60546,Nanjing Municipal People's Government,Nanjing,China,East Asia,"C40, CDP Cities, ICLEI - Local Governments for Sustainability",public,Yes,2005-01-01 - 2005-12-31,Administrative boundary of a local government,2006 IPCC Guidelines for National Greenhouse Gas Inventories,具体地区或国家的方法,,"CH4, CO2, HFCs, N20, PFCs, SF6",,,,,,,,,,Not Applicable,Not Applicable,,,,8335000,0,POINT (118.797 32.0603),2020-05-01T03:57:54.890
2018,43905,City of San Antonio,San Antonio,United States of America,North America,"CDP Cities, ICLEI - Local Governments for Sustainability",public,Yes,2016-01-01 - 2016-12-31,Administrative boundary of a local government,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)",,,GPC gases,,,,,,,,,,14770253,14770253,Decreased,Change in available data,,1469845,2015,POINT (-98.4936 29.4241),2020-05-01T03:57:54.890
2018,58636,"City of Bellingham, WA",Bellingham,United States of America,North America,"CDP Cities, ICLEI - Local Governments for Sustainability",public,Yes,2015-01-01 - 2015-12-31,Administrative boundary of a local government,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)",,,GPC gases,,,,,,,,,,,,,,,86570,2017,POINT (-122.479 48.7519),2020-05-01T03:57:54.890
2018,831617,Commune de Bouaké,Bouaké,Côte d'Ivoire,Africa,"CDP Cities, ICLEI - Local Governments for Sustainability",public,In progress,,,,,,,,,,,,,,,,,,,,,715435,2013,POINT (-5.0149 7.4137),2020-05-01T03:57:54.890
2018,31149,City of Athens,Athens,Greece,Europe,"C40, CDP Cities, ICLEI - Local Governments for Sustainability",public,Yes,2016-01-01 - 2016-12-31,Administrative boundary of a local government,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)",,,GPC gases,,,,,,,1330352,2697612,443058,4391579,4471023,Decreased,Technological change,,664046,2011,POINT (23.7275 37.9838),2020-05-01T03:57:54.890
2018,35274,"City of Portland, ME","Portland, ME",United States of America,North America,"CDP Cities, ICLEI - Local Governments for Sustainability",public,Yes,2010-01-01 - 2010-12-31,Administrative boundary of a local government,,,,,,,,,,,,,,,,,,,66937,2017,POINT (-70.2553 43.6615),2020-05-01T03:57:54.890
2018,36426,Riga City,Riga,Latvia,Europe,"CDP Cities, ICLEI - Local Governments for Sustainability, Union of the Baltic Cities",public,Yes,2015-01-01 - 2015-12-31,Administrative boundary of a local government,2006 IPCC Guidelines for National Greenhouse Gas Inventories,"City-wide GHG emissions inventory is only for CO2 emissions in Riga city. CO2 emissions are calculated using IPCC 2006 Guidelines and Guidebook “How to Develop a Sustainable Energy Action Plan (SEAP)”.Calculation of CO2 emissions does not take into account energy consumption that the municipality cannot influence and beyond the competence of the municipality, such as sea and rail transport, all types of freight transit, aviation services, agricultural and construction transport techniques, as well as emissions from industrial technologies, refrigeration and air conditioning systems, natural processes for the decomposition of organic substances, sewage treatment pools, storage of solid municipal waste sites and open burning processes.Sources of information:CO2 emissions inventory for 2015 and 2016 of Riga smart city sustainable energy action plan 2014-2020",,CO2,,,,,,,,,,Not Applicable,Not Applicable,,,,637971,2017,POINT (24.1052 56.9496),2020-05-01T03:57:54.890
2018,31180,Región Metropolitana de Santiago,Santiago,Chile,Latin America,"C40, CDP Cities, ICLEI - Local Governments for Sustainability",public,Yes,2013-01-01 - 2013-12-31,Administrative boundary of a local government,,,,,,,,,,,,,,Not Applicable,Not Applicable,,,,7112808,2017,POINT (-70.6693 -33.4489),2020-05-01T03:57:54.890
2018,55328,Município de Câmara de Lobos,Câmara de Lobos,Portugal,Europe,"CDP Cities, ICLEI - Local Governments for Sustainability",public,Yes,2015-01-01 - 2015-12-31,A metropolitan area,,,,,,,,,,,18049.442941,2.882653,,Not Applicable,Not Applicable,,,,,0,POINT (-16.9833 32.6333),2020-05-01T03:57:54.890
2018,60114,City of Gdynia,Gdynia,Poland,Europe,"CDP Cities, ICLEI - Local Governments for Sustainability, Union of the Baltic Cities",public,,,,,,,,,,,,,,,,,,,,,,246306,2017,POINT (18.5305 54.5189),2020-05-01T03:57:54.890
2018,60392,Municipalidad de San Isidro (Lima),San Isidro (Lima),Peru,Latin America,"CDP Cities, ICLEI - Local Governments for Sustainability",public,Yes,2015-01-01 - 2015-12-31,Administrative boundary of a local government,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)",,,GPC gases,,,,,,,96487.77,39367.49,,,102568.82,This is our first year of calculation,Lack of knowledge overcome,,54.206,2015,POINT (-77.0273 -12.0977),2020-05-01T03:57:54.890
2018,68385,Municipio de Chorrera,Chorrera,Panama,Latin America,"CDP Cities, ICLEI - Local Governments for Sustainability",public,No,,,,,,,,,,,,,,,,,,,,,161470,2010,POINT (-79.7736 8.88289),2020-05-01T03:57:54.890
2018,58531,"City of Somerville, MA",Somerville,United States of America,North America,"CDP Cities, ICLEI - Local Governments for Sustainability",public,Yes,2016-01-01 - 2016-12-31,Administrative boundary of a local government,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)",,,GPC gases,,,,,,,467600,124237,26537,612200,618374,Decreased,Change in weather conditions,,79507,2016,POINT (-71.0826 42.3934),2020-05-01T03:57:54.890
2018,31169,Government of Hong Kong Special Administrative Region,Hong Kong,"China, Hong Kong Special Administrative Region",East Asia,"C40, CDP Cities, ICLEI - Local Governments for Sustainability",public,Yes,2015-01-01 - 2015-12-31,Administrative boundary of a local government,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)",,,GPC gases,,,,,,,41128067,27328327,,39841930,41128067,Decreased,Policy change,,7391700,2017,POINT (114.14 22.2881),2020-05-01T03:57:54.890
2018,54521,BCP Council,Bournemouth,United Kingdom of Great Britain and Northern Ireland,Europe,"CDP Cities, ICLEI - Local Governments for Sustainability, WWF",public,Yes,2013-01-01 - 2013-12-31,Administrative boundary of a local government,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)",,,GPC gases,,,,,,,380799,,,731230,761873,Stayed the same,No new inventory to report,,193700,2016,POINT (-1.88076 50.7192),2020-05-01T03:57:54.890
2018,69834,Municipalidad de General Alvear (Mendoza),"General Alvear, Buenos Aires",Argentina,Latin America,"CDP Cities, ICLEI - Local Governments for Sustainability",public,Yes,2014-01-01 - 2014-12-31,Administrative boundary of a local government,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)",,,GPC gases,,,,,,,365148.77,30341.85,4653.97,180114.77,400144.59,This is our first year of calculation,Lack of knowledge overcome,,46429,2010,POINT (-67.6955 -34.978),2020-05-01T03:57:54.890
2018,74594,City of Boynton Beach,Boynton Beach,United States of America,North America,"CDP Cities, ICLEI - Local Governments for Sustainability",public,In progress,,,,,,,,,,,,,,,,,,,,,73992,2017,POINT (-80.216 26.4986),2020-05-01T03:57:54.890
2018,49787,City of Benicia,Benicia,United States of America,North America,"CDP Cities, ICLEI - Local Governments for Sustainability, WWF",public,Yes,2016-01-01 - 2016-12-31,Administrative boundary of a local government,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)",,,GPC gases,,,,,,,93726.37,18171.37,14044.75,122687.97,125942.49,Decreased,Policy change,,27780,2016,POINT (-122.159 38.0494),2020-05-01T03:57:54.890
2018,50650,City of Gibraltar,Gibraltar,Gibraltar,Europe,"CDP Cities, ICLEI - Local Governments for Sustainability",public,Yes,2016-01-01 - 2016-12-31,Administrative boundary of a local government,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)",,,GPC gases,,,,,,,289561,165285,349667,283328,622317,Decreased,Behavioural change,,34408,2016,POINT (-5.35359 36.1408),2020-05-01T03:57:54.890
2018,31446,Taipei City Government,Taipei,"Taiwan, Greater China",East Asia,"CDP Cities, ICLEI - Local Governments for Sustainability",public,Yes,2016-01-01 - 2016-12-31,Administrative boundary of a local government,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)",,,GPC gases,,,,,,,3649758,8744742,540497,12391612,12934997,Increased,Increased energy/electricity consumption,,2683257,2017,POINT (121.564 25.0375),2020-05-01T03:57:54.890
2018,31172,Mexico City,Mexico City,Mexico,Latin America,"C40, CDP Cities, ICLEI - Local Governments for Sustainability, WWF",public,Yes,2016-01-01 - 2016-12-31,Administrative boundary of a local government,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)",,,GPC gases,,,,,,,21327895.49,6446871.15,12937124.05,32087693.68,40487313.04,Increased,Improved data accuracy,,8833416,2016,POINT (-99.1332 19.4326),2020-05-01T03:57:54.890
2018,35878,City of Sacramento,Sacramento,United States of America,North America,"CDP Cities, ICLEI - Local Governments for Sustainability",public,Yes,2015-01-01 - 2015-12-31,Administrative boundary of a local government,Other,,,,,,,,,,,,,Not Applicable,Not Applicable,,,,495234,2016,POINT (-121.494 38.5816),2020-05-01T03:57:54.890
2018,31055,Glasgow City Council,Glasgow,United Kingdom of Great Britain and Northern Ireland,Europe,"CDP Cities, ICLEI - Local Governments for Sustainability, WWF",public,No,,,,,,,,,,,,,,,,,,,,,598830,2017,POINT (-4.21278 55.8593),2020-05-01T03:57:54.890
2018,50394,Prefeitura Municipal de João Pessoa,João Pessoa,Brazil,Latin America,"CDP Cities, ICLEI - Local Governments for Sustainability",public,Yes,2014-01-01 - 2014-12-31,Administrative boundary of a local government,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)",,,GPC gases,,,,,,,2309846,194421,333232,1550999,,This is our first year of calculation,Lack of knowledge overcome,,723515,2010,POINT (-34.8639 -7.16882),2020-05-01T03:57:54.890
2018,54625,Prefeitura de Londrina,Londrina,Brazil,Latin America,"CDP Cities, ICLEI - Local Governments for Sustainability",public,Yes,2014-01-01 - 2014-12-31,Administrative boundary of a local government,U.S. Community Protocol for Accounting and Reporting of Greenhouse Gas Emissions (ICLEI),"A Metodologia GPC foi criada pelo ICLEI em parceria com a WRI (World Resources Institute) e a C40 (Climate Leadership Group) em 2014, tendo como base os Manuais para Inventários de GEE Nacionais de 2006, publicados pelo IPCC. A GPC tem como objetivo ser uma metodologia robusta e clara, que permita maior agregação e confiabilidade de dados e comparações mais confiáveis entre diferentes inventários, pré-estabelecendo requisitos e provendo orientações para os cálculos e reportes de resultados dos inventários.",,"CH4, CO2, N20",,,,,,,1147116,117790,0,Not Applicable,Not Applicable,,,,506701,2010,POINT (-51.1505 -23.3356),2020-05-01T03:57:54.890
2018,50541,City of Greensboro,Greensboro,United States of America,North America,"CDP Cities, ICLEI - Local Governments for Sustainability",public,Yes,2013-01-01 - 2013-12-31,Administrative boundary of a local government,U.S. Community Protocol for Accounting and Reporting of Greenhouse Gas Emissions (ICLEI),"Prepared using the  Clean Air and Climate Protection Software package, created by STAPPA/ALAPCO and ICLEI.",,CO2,,,,,,,,,,Not Applicable,Not Applicable,Decreased,Financial conditions,,290222,2017,POINT (-79.792 36.0726),2020-05-01T03:57:54.890
2018,31146,Addis Ababa City Administration,Addis Ababa,Ethiopia,Africa,"C40, CDP Cities, ICLEI - Local Governments for Sustainability",public,No,,,,,,,,,,,,,,,,,,,,,3103374,2013,POINT (38.7544 9.02887),2020-05-01T03:57:54.890
2018,826209,Aipromades Lago de Chapala,Chapala,Mexico,Latin America,"CDP Cities, ICLEI - Local Governments for Sustainability",public,No,,,,,,,,,,,,,,,,,,,,,601263,2015,POINT (-103.191 20.2962),2020-05-01T03:57:54.890
2018,74418,"Town of Breckenridge, CO",Breckenridge,United States of America,North America,"CDP Cities, ICLEI - Local Governments for Sustainability",public,In progress,,,,,,,,,,,,,,,,,,,,,5035,2016,POINT (106.038 39.4817),2020-05-01T03:57:54.890
2018,73879,Roskilde,Roskilde,Denmark,Europe,"CDP Cities, ICLEI - Local Governments for Sustainability",public,Yes,2016-01-01 - 2016-12-31,Administrative boundary of a local government,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)",,,GPC gases,,,,,,,422955,,,,,Decreased,Technological change,,87011,2017,POINT (12.0878 55.6419),2020-05-01T03:57:54.890
2018,58395,Bærum Kommune,Bærum,Norway,Europe,"CDP Cities, ICLEI - Local Governments for Sustainability, WWF",public,Yes,2016-01-01 - 2016-12-31,Administrative boundary of a local government,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)",,,GPC gases,,,,,,,219503,2445,10520,232468,,Decreased,Legislative change,,125708,2017,POINT (10.5938 59.9205),2020-05-01T03:57:54.890
2018,35885,Tel Aviv-Yafo Municipality,Tel Aviv-Yafo,Israel,Middle East,"C40, CDP Cities, ICLEI - Local Governments for Sustainability",public,Yes,2017-01-01 - 2017-12-31,Administrative boundary of a local government,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)",,,GPC gases,,,,,,,,,,2635614,,Decreased,Change in available data,,438820,2016,POINT (34.7823 32.0816),2020-05-01T03:57:54.890
2018,54692,Prefeitura Municipal de Sertãozinho,Sertãozinho,Brazil,Latin America,"CDP Cities, ICLEI - Local Governments for Sustainability, WWF",public,No,,,,,,,,,,,,,,,,,,,,,122643,2017,POINT (-47.9947 -21.1451),2020-05-01T03:57:54.890
2018,60216,City of Växjö,Växjö,Sweden,Europe,"CDP Cities, ICLEI - Local Governments for Sustainability, Union of the Baltic Cities, WWF",public,Yes,2016-01-01 - 2016-12-31,Administrative boundary of a local government,City specific methodology,"we have used and refined the method since the mid 90's when the politicians decided that we are going to be a fossil fuel free city, hence an inventory method was needed to be developed. we calculate data from various companies, authorities etc. Some input is estimated  (espcially use of various small-scale renewable energy sources). When it comes to other GHG than CO2, we totally rely on national monitoring and breakdown on local level.",,"CH4, CO2, HFCs, N20, PFCs, SF6",,,,,,,265452,3678,0,Not Applicable,Not Applicable,Decreased,Technological change,,91060,2017,POINT (14.8091 56.8777),2020-05-01T03:57:54.890
2018,50378,Municipalidad de San José,San José,Costa Rica,Latin America,"CDP Cities, ICLEI - Local Governments for Sustainability, WWF",public,Yes,- 2017-12-31,Administrative boundary of a local government,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)",,,GPC gases,,,,,,,939862.57,49328,79127,1116787.51,,This is our first year of calculation,,,342188,2017,POINT (9.9326 -84.0796),2020-05-01T03:57:54.890
2018,31175,City of Paris,Paris,France,Europe,"C40, CDP Cities, ICLEI - Local Governments for Sustainability, WWF",public,Yes,2014-01-01 - 2014-12-31,Administrative boundary of a local government,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)",,,GPC gases,,,,,,,3359242,,,5489249,7949494,Decreased,,,2265886,2015,POINT (2.35222 48.8566),2020-05-01T03:57:54.890
2018,3203,City of Chicago,Chicago,United States of America,North America,"C40, CDP Cities, ICLEI - Local Governments for Sustainability",public,Yes,2015-01-01 - 2015-12-31,Administrative boundary of a local government,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)",,,GPC gases,,,,,,,16784486,14766295,1100599,32651379,,Decreased,Policy change,,2714017,2016,POINT (-87.6298 41.8781),2020-05-01T03:57:54.890
2018,31156,Municipality of Curitiba,Curitiba,Brazil,Latin America,"C40, CDP Cities, ICLEI - Local Governments for Sustainability, WWF",public,Yes,2013-01-01 - 2013-12-31,Administrative boundary of a local government,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)",,,GPC gases,,,,,,,3240379,410467,1271752,4421196,4422598,Increased,Increased energy/electricity consumption,,1751907,2010,POINT (-49.2647 -25.4311),2020-05-01T03:57:54.890
2018,43937,Wellington City Council,Wellington,New Zealand,Southeast Asia and Oceania,"CDP Cities, ICLEI - Local Governments for Sustainability, WWF",public,Yes,2014-07-01 - 2015-06-30,Administrative boundary of a local government,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)",,,GPC gases,,,,,,,621179,,,773061,1084979,Decreased,Technological change,,209102,2017,POINT (174.776 -41.2865),2020-05-01T03:57:54.890
2018,60633,La mairie de Bujumbura,Bujumbura,Burundi,Africa,"CDP Cities, ICLEI - Local Governments for Sustainability",public,No,,,,,,,,,,,,,,,,,,,,,1000000,2017,POINT (29.3599 -3.36137),2020-05-01T03:57:54.890
2018,50680,Município de Cascais,Cascais,Portugal,Europe,"CDP Cities, ICLEI - Local Governments for Sustainability",public,Yes,2010-01-01 - 2010-12-31,Administrative boundary of a local government,2006 IPCC Guidelines for National Greenhouse Gas Inventories,"this was made with calculous platforms from international organizations such as UN (IPCC, and ICLEI) as well as EU comission",,CO2,,,,,,,565382,266221,,Not Applicable,Not Applicable,,,,208122,2014,POINT (-9.42229 38.697),2020-05-01T03:57:54.890
2018,35848,Municipality of Belo Horizonte,Belo Horizonte,Brazil,Latin America,"CDP Cities, ICLEI - Local Governments for Sustainability, WWF",public,Yes,2015-01-01 - 2015-12-31,Administrative boundary of a local government,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)",,,GPC gases,,,,,,,3223716,542481,1619505,5385703,,Increased,Change in accounting methodology,,2375151,2010,POINT (-43.9345 -19.9167),2020-05-01T03:57:54.890
2018,35865,Municipality of Fortaleza,Fortaleza,Brazil,Latin America,"CDP Cities, ICLEI - Local Governments for Sustainability, WWF",public,Yes,2014-01-01 - 2014-12-31,Administrative boundary of a local government,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)",,,GPC gases,,,,,,,4037064.53,522914.8795,579534.655,5139514,0,Increased,Population increase,,2627.482,2017,POINT (-48.3936 -10.7183),2020-05-01T03:57:54.890
2018,35880,Municipality of Porto Alegre,Porto Alegre,Brazil,Latin America,"CDP Cities, ICLEI - Local Governments for Sustainability",public,Yes,2013-01-01 - 2013-12-31,Administrative boundary of a local government,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)",,,GPC gases,,,,,,,2351195,,,2829128,,,,,1409351,2010,POINT (51 30),2020-05-01T03:57:54.890
2018,55325,Município de Águeda,Águeda,Portugal,Europe,"CDP Cities, ICLEI - Local Governments for Sustainability",public,Yes,2013-01-01 - 2013-12-31,,,,,,,,,,,,,,,,,,,,47729,2011,POINT (-8.44582 40.5753),2020-05-01T03:57:54.890
